,loudness-dBFS,loudness-TP,loudness-dB,mfcc-0,mfcc-1,mfcc-2,mfcc-3,mfcc-4,mfcc-5,mfcc-6,mfcc-7,mfcc-8,mfcc-9,mfcc-10,mfcc-11,mfcc-12,chroma-A,chroma-A#,chroma-B,chroma-C,chroma-C#,chroma-D,chroma-D#,chroma-E,chroma-F,chroma-F#,chroma-G,chroma-G#,specshape-centroid,specshape-spread,specshape-skewness,specshape-kurtosis,specshape-rolloff,specshape-flatness,specshape-crest,sinefeaturefreqs-0,sinefeaturefreqs-1,sinefeaturefreqs-2,sinefeaturefreqs-3,sinefeaturefreqs-4,sinefeaturefreqs-5,sinefeaturefreqs-6,sinefeaturefreqs-7,sinefeaturefreqs-8,sinefeaturefreqs-9,sinefeaturemags-0,sinefeaturemags-1,sinefeaturemags-2,sinefeaturemags-3,sinefeaturemags-4,sinefeaturemags-5,sinefeaturemags-6,sinefeaturemags-7,sinefeaturemags-8,sinefeaturemags-9
0,-18.8261,-6.20161,0.125019,-1980.04,-7.51435e-14,2.44748e-13,-9.98277e-14,4.23265e-14,-1.14812e-13,1.61098e-13,-4.53178e-14,9.04209e-14,-5.35277e-13,1.14261e-13,-3.12209e-13,-2.84217e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11025.0,6415.21,-4.33459e-17,1.79985,20938.8,2.12152e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-18.0605,-6.20161,0.14825,-31.2685,-47.8252,-75.2169,-80.9268,-62.9243,-64.1838,-72.8783,-64.8827,-67.0033,-71.7047,-66.8484,-66.7567,-65.205,0.0216572,0.0211821,0.0209482,0.0223584,0.0238449,0.0246547,0.0239555,0.0223348,0.0212044,0.0216974,0.0223042,0.0218485,3668.91,4919.38,1.98576,6.18873,15848.5,-7.66631,19.6139,283.647,1069.35,1680.7,2361.99,3019.59,3736.46,4477.65,5263.03,6372.39,7255.47,0.0820991,0.0531427,0.043236,0.0297353,0.0245148,0.0160536,0.0101594,0.00695859,0.0032557,0.00378151
2,-16.5801,-6.20161,0.152002,-55.1826,-24.3606,-88.0759,-61.1116,-75.774,-73.4918,-72.6398,-71.6448,-72.3881,-68.5364,-68.5126,-62.7962,-65.5293,0.0308549,0.0305516,0.0296634,0.0318357,0.0336113,0.0355744,0.0355711,0.033429,0.0321554,0.0317583,0.0326115,0.031691,2074.46,2882.38,2.77145,12.9611,7621.27,-16.8649,24.5678,396.015,802.268,1167.99,1559.61,1898.37,2350.52,2782.08,3194.2,3668.56,4088.75,0.127578,0.0537958,0.0446205,0.0338224,0.0233809,0.020355,0.0172817,0.0160919,0.0161144,0.0128664
3,-16.363,-6.20161,0.171913,-51.8753,-12.7876,-82.9162,-56.8281,-70.4391,-58.0258,-61.2436,-65.7907,-76.66,-75.0406,-73.7965,-65.9422,-70.1201,0.129184,0.112894,0.105281,0.123612,0.13801,0.151492,0.162416,0.168609,0.169438,0.168816,0.160813,0.145677,1416.09,2353.57,3.3919,18.1483,6056.99,-21.4198,28.6735,211.577,1093.83,1595.23,2045.84,2568.92,2953.81,3491.88,3933.47,4514.2,5209.76,0.29277,0.0568462,0.0564281,0.0431108,0.00699604,0.0180435,0.0117091,0.00860548,0.00835962,0.00666366
4,-15.2938,-6.07482,0.181683,-52.1488,-16.7614,-82.5372,-57.3615,-71.1857,-66.0111,-63.1623,-69.043,-71.6645,-67.4307,-70.6938,-61.4358,-68.6901,0.101925,0.0945318,0.0897925,0.0971848,0.101875,0.107001,0.110724,0.111167,0.110247,0.112221,0.111087,0.10742,1549.1,2572.98,3.19125,16.3185,6617.26,-19.9233,27.8485,828.078,1185.23,1575.16,2037.73,2926.7,3832.84,4085.33,5011.64,5701.06,6273.05,0.0543792,0.0335821,0.0379593,0.0320045,0.017845,0.0111033,0.0123415,0.0109196,0.00791815,0.00450104
5,-14.8137,-6.07482,0.188092,-52.7907,-18.5044,-85.2739,-53.5918,-66.6518,-62.6218,-61.4114,-68.5847,-73.8529,-67.1704,-68.84,-64.3385,-71.1098,0.139977,0.129596,0.123758,0.135846,0.143866,0.15141,0.158175,0.161505,0.161101,0.163577,0.159685,0.150369,1481.15,2502.31,3.19114,16.698,6128.24,-20.2716,28.7092,692.607,1544.19,2049.05,2540.34,3001.11,4106.05,4460.42,5080.76,5736.4,6183.09,0.0471023,0.0393472,0.0390781,0.012878,0.0253436,0.0142053,0.00936717,0.0133433,0.0117063,0.00439409
6,-14.5126,-6.07482,0.188758,-57.0701,-8.9557,-84.6203,-54.2271,-72.0222,-72.5887,-65.3516,-69.0561,-72.3584,-66.1965,-64.2476,-65.9408,-68.5862,0.112357,0.104919,0.0998917,0.107036,0.110886,0.114021,0.117762,0.119574,0.11873,0.12052,0.119973,0.117626,1397.0,2314.74,3.33797,18.6309,5704.72,-21.8399,28.3331,852.625,1545.63,2061.05,2870.0,3348.65,3714.45,4195.06,5108.36,5725.83,6193.33,0.0771606,0.0269557,0.0319412,0.0163002,0.0119032,0.0107449,0.00770554,0.0163546,0.00898665,0.00594701
7,-14.4819,-6.07482,0.172755,-65.9964,-14.541,-82.2461,-52.583,-68.0266,-67.2045,-63.155,-63.0704,-67.2892,-68.4578,-71.526,-62.7477,-66.8344,0.0911414,0.0787398,0.070499,0.0791932,0.0882445,0.0981004,0.107422,0.113797,0.115252,0.114059,0.109069,0.101234,1417.09,2430.12,3.41257,18.725,5737.51,-21.2941,29.3936,172.236,770.127,1447.62,2573.05,3014.04,3412.48,4088.27,5098.66,5642.11,6280.12,0.249031,0.0699024,0.0357381,0.0100999,0.0132407,0.0155944,0.012181,0.0138094,0.00736449,0.00235223
8,-15.2514,-6.07482,0.182652,-66.4428,-2.74637,-86.5863,-50.2882,-64.5675,-68.2471,-68.4883,-62.3224,-75.7768,-75.6495,-73.9183,-58.7935,-64.1471,0.0987947,0.0817991,0.0716944,0.0852072,0.0995505,0.113938,0.126853,0.13532,0.137752,0.135855,0.128171,0.114353,1331.69,2102.26,3.43695,20.289,5034.62,-23.8101,29.6427,226.043,610.479,1550.19,2854.61,3455.35,3922.6,5065.6,5543.96,5881.76,6732.62,0.288389,0.0579244,0.0543352,0.0127168,0.020418,0.0119478,0.0127529,0.00310359,0.00307352,0.00175629
9,-14.7675,-6.07482,0.175141,-74.8767,-8.97393,-80.9698,-44.1403,-61.3746,-74.9487,-81.1172,-68.5644,-65.031,-66.3027,-68.1976,-67.5022,-74.1661,0.0520384,0.0455042,0.0421548,0.0493792,0.0557998,0.0617602,0.0667652,0.0696945,0.0693093,0.0669771,0.0626906,0.0575708,1518.33,2352.75,3.26595,18.2273,5489.55,-21.6787,29.401,234.012,791.406,1973.66,2571.59,2990.63,3461.35,4013.49,5032.06,5607.56,6199.11,0.221739,0.0419499,0.0145166,0.0160262,0.0159476,0.0161618,0.01704,0.00617716,0.00395599,0.00136461
10,-15.1323,-6.07482,0.18819,-69.0946,-4.39854,-83.245,-44.8685,-65.0328,-69.9991,-76.7242,-61.2697,-71.381,-78.5873,-72.5251,-61.1143,-65.0646,0.0880636,0.0730842,0.0651172,0.0782834,0.0919274,0.106036,0.118517,0.126543,0.128244,0.124689,0.115467,0.102573,1396.94,2173.07,3.18089,17.5033,5101.61,-23.4986,29.9068,241.59,1559.51,2007.05,2561.91,2869.72,3428.12,3983.41,5054.2,5759.01,6328.03,0.296593,0.0371655,0.0055744,0.0135416,0.0177238,0.0169569,0.0219869,0.00983014,0.00321613,0.00170917
