,loudness-dBFS,loudness-TP,loudness-dB,mfcc-0,mfcc-1,mfcc-2,mfcc-3,mfcc-4,mfcc-5,mfcc-6,mfcc-7,mfcc-8,mfcc-9,mfcc-10,mfcc-11,mfcc-12,chroma-A,chroma-A#,chroma-B,chroma-C,chroma-C#,chroma-D,chroma-D#,chroma-E,chroma-F,chroma-F#,chroma-G,chroma-G#,specshape-centroid,specshape-spread,specshape-skewness,specshape-kurtosis,specshape-rolloff,specshape-flatness,specshape-crest,sinefeaturefreqs-0,sinefeaturefreqs-1,sinefeaturefreqs-2,sinefeaturefreqs-3,sinefeaturefreqs-4,sinefeaturefreqs-5,sinefeaturefreqs-6,sinefeaturefreqs-7,sinefeaturefreqs-8,sinefeaturefreqs-9,sinefeaturemags-0,sinefeaturemags-1,sinefeaturemags-2,sinefeaturemags-3,sinefeaturemags-4,sinefeaturemags-5,sinefeaturemags-6,sinefeaturemags-7,sinefeaturemags-8,sinefeaturemags-9
0,-14.3265,-0.204371,0.226972,-79.5051,-56.211,-86.6856,-71.0796,-82.0626,-78.9569,-84.4775,-65.3309,-64.5183,-65.7784,-57.5266,-55.3306,-55.9504,0.0047804,0.00433642,0.00409038,0.00402566,0.00408953,0.00458471,0.00533028,0.00641555,0.00672994,0.00590447,0.00531485,0.00512222,3601.51,4052.72,1.85546,6.38087,12387.5,-9.77381,24.4658,665.645,1386.88,2147.2,2630.27,3317.26,4017.86,4661.15,5407.4,6040.74,6592.02,0.0599309,0.0186211,0.00866383,0.00750617,0.0126518,0.00797167,0.00903084,0.00412822,0.00264478,0.0020502
1,-12.8806,-0.204371,0.257778,-28.5555,-71.4124,-85.9677,-70.0297,-86.8724,-81.6666,-83.2353,-71.5474,-60.0831,-64.0495,-57.1983,-54.1061,-51.3425,0.0294948,0.0272431,0.0273998,0.0276997,0.030099,0.0384777,0.0486148,0.0601873,0.0621362,0.0510305,0.0399029,0.0355043,4367.64,4775.18,1.61122,5.24742,14883.3,-8.16217,25.7839,655.82,1315.13,1999.81,2661.21,3317.77,3974.09,4659.52,5340.08,6011.16,6679.07,0.193575,0.0560062,0.0262191,0.027594,0.0452085,0.0231126,0.0283746,0.0116546,0.0154656,0.0123383
2,-11.7751,-0.204371,0.283823,-11.3901,-67.2422,-86.1586,-69.7192,-92.833,-82.6988,-86.2137,-68.3732,-60.3463,-67.2008,-62.225,-53.1251,-49.114,0.0763542,0.0702137,0.0695799,0.0706555,0.0801836,0.102666,0.135624,0.168405,0.174309,0.144182,0.110304,0.0941319,4021.17,4610.75,1.75021,5.91765,13992.6,-10.3708,26.8424,656.659,1317.37,1942.95,2633.52,3301.88,3954.32,4608.57,5264.95,5945.01,6605.62,0.324786,0.101148,0.0282802,0.0338476,0.0696242,0.0358679,0.0348048,0.013183,0.0261652,0.0182018
3,-10.9391,-0.204371,0.303868,2.29162,-65.7939,-85.4405,-73.2256,-91.6791,-83.7604,-84.1367,-69.5914,-61.0985,-68.0802,-62.6355,-49.7594,-51.8544,0.140169,0.13149,0.12861,0.130943,0.149311,0.190965,0.250832,0.31065,0.321975,0.26545,0.203225,0.171212,3889.83,4672.23,1.86504,6.27091,14135.4,-10.4655,27.1651,656.706,1314.43,1962.6,2622.35,3293.98,3946.88,4595.23,5219.89,5936.47,6636.2,0.440317,0.145704,0.0409902,0.0350741,0.0893462,0.0471867,0.0459658,0.0120207,0.0276307,0.0186683
4,-10.3463,-0.204371,0.320929,-2.68718,-64.6095,-92.1174,-78.3145,-91.2231,-86.5411,-87.1798,-64.7433,-66.9956,-66.1158,-59.7203,-49.6165,-50.2699,0.141542,0.131458,0.133307,0.136957,0.157607,0.209091,0.272515,0.338063,0.351157,0.286186,0.21435,0.176369,3476.07,4230.13,2.04101,7.15575,12780.0,-11.9733,27.764,655.894,1312.89,1979.56,2635.07,3304.0,3964.33,4622.23,5287.86,5939.32,6583.15,0.459992,0.160147,0.0506406,0.0338559,0.092269,0.0508385,0.055701,0.0153321,0.0251888,0.00728714
5,-9.87183,-0.204371,0.331374,-7.6931,-63.525,-88.5664,-77.6423,-93.2919,-86.1206,-89.5178,-62.3841,-69.1591,-66.9263,-60.5192,-51.2683,-49.7858,0.131092,0.123258,0.12375,0.128406,0.151137,0.201988,0.263032,0.325182,0.33801,0.275054,0.203673,0.162423,3370.3,4144.49,1.96793,6.73881,12636.7,-12.6651,28.1916,655.645,1309.77,1962.17,2643.81,3291.67,3952.17,4627.17,5288.18,5950.11,6595.5,0.45103,0.160043,0.0433743,0.0280717,0.0777622,0.0414172,0.0527402,0.0140194,0.0240779,0.00364252
6,-9.59365,-0.204371,0.331456,-15.2923,-59.7997,-86.2936,-75.2031,-97.2954,-80.6941,-91.1809,-59.163,-65.8626,-67.367,-58.8071,-50.4011,-47.0104,0.123068,0.115741,0.115453,0.121182,0.142928,0.189705,0.251157,0.310318,0.322959,0.262636,0.192773,0.151533,3182.17,3873.24,1.83495,6.03354,11354.5,-14.6909,28.7196,655.307,1309.57,1961.28,2638.15,3292.73,3945.89,4602.48,5250.12,5951.37,6552.21,0.440802,0.159048,0.0404815,0.0194334,0.0701927,0.0326566,0.0399842,0.00921495,0.0239466,0.00171262
7,-9.59149,-0.204371,0.325263,-19.234,-63.5368,-85.9754,-79.1637,-100.838,-85.2452,-91.5381,-63.6843,-64.3839,-74.2231,-56.6391,-51.4448,-47.4398,0.11768,0.111107,0.110946,0.116907,0.137454,0.182051,0.240762,0.296889,0.308946,0.250905,0.183882,0.144319,3215.42,3946.64,1.84227,6.12647,11185.3,-14.5645,28.7472,655.238,1309.89,1968.99,2637.98,3293.11,3947.24,4610.74,5244.41,5942.33,6584.22,0.431417,0.155662,0.0442738,0.0133184,0.0666962,0.0295606,0.0372623,0.00720599,0.0217836,0.00243705
8,-9.7553,-1.20541,0.319469,-22.065,-63.4689,-88.5326,-76.8976,-106.101,-85.4203,-91.1036,-63.4768,-65.4487,-74.4708,-57.0749,-50.0383,-46.9424,0.113594,0.107164,0.107073,0.113165,0.132176,0.174222,0.22986,0.283594,0.295494,0.240391,0.176217,0.138409,3168.98,3797.4,1.76784,5.83708,10708.4,-14.9488,28.7454,655.376,1311.5,1971.44,2639.1,3297.08,3953.06,4620.05,5273.34,5943.59,6602.38,0.421989,0.151539,0.0435802,0.00969756,0.0637816,0.0265675,0.0364493,0.00739712,0.0208876,0.00484358
9,-9.91144,-2.3173,0.313746,-20.4361,-59.071,-80.8872,-72.4594,-105.811,-82.0249,-82.9756,-63.8927,-63.4887,-73.2666,-57.8123,-47.3268,-48.5683,0.111384,0.10716,0.105662,0.111265,0.128222,0.168429,0.221953,0.274495,0.28656,0.233699,0.170789,0.132936,3145.14,3841.76,1.83189,6.21071,10704.8,-13.9812,28.8102,655.369,1312.68,1974.39,2600.02,3292.6,3948.28,4636.14,5306.56,5919.26,6622.25,0.416002,0.147973,0.0450342,0.00558389,0.0537946,0.0193291,0.0329428,0.00594026,0.0221702,0.00995108
