,loudness-dBFS,loudness-TP,loudness-dB,mfcc-0,mfcc-1,mfcc-2,mfcc-3,mfcc-4,mfcc-5,mfcc-6,mfcc-7,mfcc-8,mfcc-9,mfcc-10,mfcc-11,mfcc-12,chroma-A,chroma-A#,chroma-B,chroma-C,chroma-C#,chroma-D,chroma-D#,chroma-E,chroma-F,chroma-F#,chroma-G,chroma-G#,specshape-centroid,specshape-spread,specshape-skewness,specshape-kurtosis,specshape-rolloff,specshape-flatness,specshape-crest,sinefeaturefreqs-0,sinefeaturefreqs-1,sinefeaturefreqs-2,sinefeaturefreqs-3,sinefeaturefreqs-4,sinefeaturefreqs-5,sinefeaturefreqs-6,sinefeaturefreqs-7,sinefeaturefreqs-8,sinefeaturefreqs-9,sinefeaturemags-0,sinefeaturemags-1,sinefeaturemags-2,sinefeaturemags-3,sinefeaturemags-4,sinefeaturemags-5,sinefeaturemags-6,sinefeaturemags-7,sinefeaturemags-8,sinefeaturemags-9
0,-69.3397,-56.8279,0.0102076,-261.686,15.375,12.5656,12.2431,18.0539,16.4049,17.2556,12.7264,4.43187,4.25846,3.72395,-2.03296,-2.3989,7.95519e-06,7.46034e-06,6.93437e-06,6.81979e-06,6.86409e-06,7.02881e-06,7.25054e-06,7.36567e-06,7.35763e-06,7.6315e-06,7.86603e-06,8.06087e-06,1748.32,4193.74,3.01877,11.7187,12250.7,-15.2075,43.9898,193.04,385.897,1276.83,1773.91,0.0,0.0,0.0,0.0,0.0,0.0,0.000584987,1.78711e-05,1.86598e-05,1.70897e-05,0.0,0.0,0.0,0.0,0.0,0.0
1,-39.8215,-25.8803,0.0270028,-24.1578,-10.4557,3.82318,12.9569,2.48399,13.2722,-1.63574,3.05825,-7.26393,-3.97824,0.509044,5.56553,2.23479,0.000204337,0.000173752,0.000121466,0.000108646,0.000109744,0.000120796,0.00012981,0.000150137,0.000149667,0.000146712,0.000170776,0.000191663,5849.4,5192.04,0.782193,2.74962,15760.4,-5.60667,24.1198,176.457,336.155,557.963,841.33,1113.2,1280.19,1473.9,1794.96,2038.65,2205.9,0.00371035,0.00157062,0.000702275,0.000541662,0.000457545,0.000387177,0.000223721,0.0016962,0.000610039,0.000459405
2,-31.3718,-20.9433,0.0517055,27.1686,2.84175,6.02345,16.4814,1.11173,14.406,5.60113,10.5352,-1.24769,1.26035,-1.86974,0.857302,-6.64122,0.00297753,0.00287649,0.00287544,0.00302235,0.00324619,0.00341587,0.00414756,0.0047753,0.00493642,0.0045804,0.00403002,0.00322836,4442.57,4856.92,1.13807,3.48886,14115.4,-8.22462,32.7082,160.921,384.937,526.578,630.086,808.702,1110.01,1236.36,1516.35,1762.47,1844.25,0.0275309,0.00819741,0.00131774,0.000655122,0.00283,0.00366206,0.00230401,0.00185158,0.00396835,0.00288615
3,-25.7293,-18.3047,0.0501347,21.6556,25.7184,4.65654,17.6119,4.55339,17.2944,9.2943,6.92089,-8.3054,-5.68412,-6.02356,-1.28337,-1.95216,0.0438673,0.033785,0.0220542,0.0145792,0.0107802,0.0112653,0.0156653,0.0211354,0.024785,0.0284026,0.0360853,0.044343,2303.93,3682.99,2.25495,8.0585,11016.8,-14.5586,40.1435,204.087,380.15,456.509,620.468,689.936,940.234,1065.75,1186.29,1306.26,1636.65,0.0832856,0.00848399,0.0042797,0.00211594,0.0021372,0.00162252,0.00169637,0.0041152,0.00180465,0.00423691
4,-25.9972,-18.3047,0.0482063,-13.7915,44.326,8.35984,26.7453,13.5664,6.47168,-2.90554,-0.284329,-9.53814,-3.29829,-1.60663,-1.36527,-3.70442,0.0255842,0.0200421,0.0137596,0.009895,0.0083141,0.00984193,0.014222,0.0192338,0.0217077,0.0215694,0.0231426,0.0262785,1383.57,2764.04,3.43719,16.6494,6750.32,-20.0524,40.3505,196.857,324.97,461.527,685.228,929.382,1044.73,1159.35,1276.21,1535.14,1656.89,0.0644474,0.0178853,0.00871086,0.00417103,0.00216428,0.000669361,0.00128315,0.000814477,0.000790904,0.00194572
5,-26.3379,-19.3792,0.0481249,-17.121,43.1733,10.3597,27.0688,10.0946,6.94842,-0.319456,0.38759,-3.1523,-2.91036,-6.61791,-6.91256,-5.5972,0.028612,0.0224976,0.0161303,0.0120553,0.00925601,0.00936628,0.0133319,0.0189872,0.0220515,0.0226907,0.0254207,0.0292496,1327.14,2748.8,3.46603,16.6229,7040.87,-21.4677,41.143,200.957,352.392,460.91,670.421,755.184,997.42,1173.41,1333.21,1569.63,1663.9,0.0667912,0.0164963,0.0039776,0.00344344,0.00193888,0.00118489,0.00177639,0.00176674,0.000635818,0.000332406
6,-26.3526,-19.3792,0.0426006,-18.5964,37.6009,10.2192,24.791,12.5956,10.0937,0.76559,1.15804,-4.61704,-4.36639,-3.60297,-6.1545,-6.35027,0.0347038,0.0273254,0.0193845,0.0140738,0.0101012,0.00918719,0.0123881,0.0173475,0.0204752,0.0225614,0.0279335,0.0345612,1398.75,2909.39,3.35898,15.4695,7751.04,-20.4702,42.3351,206.532,338.451,467.749,668.517,800.284,987.295,1173.17,1320.99,1399.93,1576.26,0.0728405,0.0128666,0.00366247,0.00416434,0.000787327,0.00196894,0.000635118,0.00128467,0.000375691,0.000833408
7,-27.4117,-20.2454,0.043409,-25.233,44.4618,4.75616,31.9527,5.9763,4.52957,-3.41168,3.2081,-7.55451,-3.50557,-3.84475,-4.88003,-8.80693,0.0131256,0.0106918,0.00852961,0.00713106,0.00617231,0.00688072,0.00948268,0.0126171,0.013901,0.0130544,0.0129064,0.0137269,1419.22,2685.33,3.10537,14.1779,7213.06,-22.0462,39.6548,35.6421,192.206,325.737,456.073,665.284,992.012,1182.64,1320.97,1401.61,1582.3,0.00106751,0.051724,0.015294,0.00396144,0.00451355,0.00211396,0.000936126,0.00125251,0.000342018,0.000595227
8,-27.2484,-20.2454,0.0349164,-41.3918,65.5805,-7.43905,39.1088,1.93318,10.3847,-5.97494,4.1906,-7.85472,-3.13078,-6.90551,-5.06181,-11.3643,0.0343061,0.0276128,0.0204524,0.0153417,0.0108147,0.00894699,0.0107655,0.0142163,0.0167232,0.0193764,0.0258694,0.0334657,962.901,1917.22,3.72581,20.5006,4981.23,-29.6105,42.6437,211.496,324.091,465.382,658.903,773.956,991.076,1187.12,1331.72,1659.43,1806.93,0.0715776,0.0147851,0.00370361,0.00445593,0.000848788,0.00208036,0.00109514,0.00122205,0.000386327,0.000677718
9,-29.1394,-21.5249,0.0360877,-57.5246,71.7884,-12.6469,37.0684,2.14398,8.9163,-4.43513,-0.434359,-7.82262,-6.4397,-3.11366,-5.83042,-7.65203,0.00276483,0.00328475,0.00443857,0.0049727,0.0046561,0.00491497,0.00570965,0.00651981,0.00646273,0.00516852,0.00386674,0.00304387,1089.62,1925.39,3.41776,18.7264,5068.8,-28.9509,38.7492,60.7394,180.047,258.504,472.474,658.079,799.003,996.107,1191.27,1335.61,1628.23,0.00189417,0.0298722,0.0240433,0.00323011,0.00449747,0.000649628,0.00165256,0.000810458,0.00118994,0.000498476
