,loudness-dBFS,loudness-TP,loudness-dB,mfcc-0,mfcc-1,mfcc-2,mfcc-3,mfcc-4,mfcc-5,mfcc-6,mfcc-7,mfcc-8,mfcc-9,mfcc-10,mfcc-11,mfcc-12,chroma-A,chroma-A#,chroma-B,chroma-C,chroma-C#,chroma-D,chroma-D#,chroma-E,chroma-F,chroma-F#,chroma-G,chroma-G#,specshape-centroid,specshape-spread,specshape-skewness,specshape-kurtosis,specshape-rolloff,specshape-flatness,specshape-crest,sinefeaturefreqs-0,sinefeaturefreqs-1,sinefeaturefreqs-2,sinefeaturefreqs-3,sinefeaturefreqs-4,sinefeaturefreqs-5,sinefeaturefreqs-6,sinefeaturefreqs-7,sinefeaturefreqs-8,sinefeaturefreqs-9,sinefeaturemags-0,sinefeaturemags-1,sinefeaturemags-2,sinefeaturemags-3,sinefeaturemags-4,sinefeaturemags-5,sinefeaturemags-6,sinefeaturemags-7,sinefeaturemags-8,sinefeaturemags-9
0,-41.5457,-32.8078,0.0100177,-17.1464,10.1031,-8.89403,16.5631,-1.62241,8.46743,-3.93892,10.7804,-5.6072,2.08656,-10.3817,1.59813,-3.86843,0.000278423,0.000280306,0.000349516,0.000387511,0.000493989,0.000405184,0.000321005,0.000283376,0.000285613,0.000275264,0.000276982,0.00035005,4148.26,4273.14,1.29663,4.18108,13228.7,-10.7599,25.6548,90.7683,212.07,280.282,516.001,813.914,1112.01,1388.91,1663.71,1922.77,2212.22,0.00271925,0.00511183,0.00505719,0.00194692,0.00094441,0.00339343,0.000588928,0.00209338,0.001089,0.00139433
1,-39.9846,-32.8078,0.00921164,-21.9302,15.5952,-8.48577,21.4008,-9.04223,2.55096,-1.14518,12.022,1.66008,2.79901,-9.55783,-1.45023,-7.23407,0.000327972,0.000320158,0.000330418,0.000618033,0.00131901,0.000507947,0.000239434,0.000230775,0.000242619,0.000285339,0.000297996,0.000349586,3700.4,3866.83,1.40997,4.85189,12033.3,-13.258,30.3073,98.5579,204.665,460.482,607.94,810.047,932.848,1105.75,1243.65,1356.12,1503.82,0.00360223,0.00518175,0.00223501,0.000916839,0.00167933,0.000753179,0.00915773,0.000254177,0.000536267,0.000257626
2,-40.7133,-33.0336,0.00846669,-35.9664,19.54,-18.3215,19.1606,-6.0421,7.17002,5.24102,15.7981,1.26973,5.71156,-7.23746,-3.11539,-5.73031,0.000316606,0.000289328,0.000247287,0.000475486,0.00110176,0.00048228,0.000183411,0.000158931,0.000170736,0.000201417,0.00024596,0.000317061,3346.54,3521.4,1.5972,5.84605,10864.7,-15.3452,31.4973,103.286,222.484,547.511,826.782,929.742,1112.64,1254.2,1372.49,1547.61,1668.17,0.00338745,0.00542167,0.000717556,0.00134353,0.000459851,0.00825791,0.000462356,0.00060778,0.000310093,0.00201994
3,-41.4457,-34.2947,0.00766295,-47.6828,26.5724,-23.406,22.1335,-8.46687,8.84097,2.91326,19.0539,-0.892456,2.50294,-6.77044,-7.27827,-5.81804,0.000178094,0.000197127,0.000217578,0.000462539,0.00101523,0.000534069,0.000259763,0.000162159,0.000124201,0.000114338,0.000128207,0.000190555,3056.99,3212.55,1.60778,5.93806,10011.5,-18.362,31.7934,100.056,277.157,514.261,597.092,828.632,946.817,1113.37,1240.18,1407.81,1562.07,0.00273396,0.00526868,0.000574562,0.000469564,0.00158432,0.000471617,0.00753107,0.00047494,0.000439709,0.000335843
4,-42.3121,-34.6024,0.00709669,-60.7303,26.6966,-28.9328,18.5345,-8.13945,5.23259,7.97627,21.6037,2.14344,5.86048,-4.02112,-4.91613,-7.26051,0.000135956,0.000138319,0.0001469,0.000368387,0.000828249,0.000367427,0.000144534,8.6283e-05,5.57631e-05,7.03024e-05,9.34816e-05,0.000147886,2944.3,3017.21,1.77793,7.19626,9152.0,-18.7137,32.5086,101.782,269.262,606.201,830.295,929.344,1111.32,1254.88,1375.48,1571.19,1668.12,0.00197514,0.00427614,0.000546662,0.00174316,0.000456108,0.0069999,0.000599567,0.000381141,0.000440754,0.00186729
5,-42.9789,-34.6024,0.00654976,-65.7294,25.5599,-28.5973,17.4829,-6.40116,5.88816,8.73421,18.9528,4.40468,4.89992,-4.0767,-5.39424,-10.671,0.000105338,0.000106382,0.000119685,0.000311181,0.000702576,0.00030527,0.000115074,6.81407e-05,4.51909e-05,5.01655e-05,7.04251e-05,0.000121224,2933.28,3048.73,1.8862,7.81638,9102.64,-18.0417,32.71,103.545,272.508,436.602,559.291,635.445,834.266,1111.54,1246.08,1398.3,1562.75,0.00189191,0.0038699,0.000154036,0.000267362,0.000304892,0.00172119,0.00645436,0.000527708,0.000227321,0.000346385
6,-43.6755,-36.6357,0.00629003,-72.1683,28.7868,-28.0322,13.4894,-3.37588,7.05477,6.74701,16.7316,2.71347,2.17323,-4.60799,-9.22181,-13.3101,8.14046e-05,9.96179e-05,0.000147528,0.000338559,0.000692221,0.000337667,0.000157326,8.53383e-05,4.24448e-05,3.46275e-05,4.86643e-05,9.24034e-05,2698.02,2984.12,2.14808,9.10009,8891.36,-18.1586,32.9111,108.268,278.109,435.927,554.744,631.081,837.21,1111.06,1246.1,1392.38,1550.71,0.00127312,0.00494757,6.48263e-05,0.00029822,0.000210748,0.00147994,0.00606691,0.000566187,0.000138747,0.00039473
7,-44.0269,-36.3892,0.00623862,-82.5026,37.483,-35.5003,12.205,-4.87194,6.20918,3.50677,14.8328,2.52481,3.44659,0.707669,-6.68844,-10.8471,5.81791e-05,6.74882e-05,9.83827e-05,0.000258447,0.000592383,0.000251712,9.21325e-05,4.56367e-05,2.16221e-05,1.93023e-05,3.55821e-05,7.9714e-05,2552.5,2661.59,2.27865,10.4927,7703.29,-20.8892,33.4692,104.736,276.45,380.449,590.033,833.795,928.475,1111.42,1250.29,1359.06,1667.58,0.00136846,0.00415707,0.000182179,0.000363358,0.00147219,0.000456348,0.00570734,0.000606174,7.86939e-05,0.00167399
8,-44.0982,-37.3755,0.00609167,-89.5434,45.8559,-40.7489,13.9743,-2.95927,6.50276,2.51407,13.1364,5.65101,0.546585,-4.12837,-8.65313,-9.45008,6.43184e-05,6.8197e-05,0.000105641,0.000257901,0.000569539,0.000286824,0.000140464,7.43516e-05,3.59131e-05,2.24358e-05,3.46725e-05,9.82873e-05,2335.67,2412.09,2.44688,12.8477,6689.71,-22.9561,32.9503,107.113,282.356,598.03,834.05,949.651,1111.26,1244.09,1370.99,1667.53,1937.93,0.00121949,0.00466778,0.000359799,0.00154637,0.000428728,0.00538921,0.000542002,7.94001e-05,0.00162933,0.00064237
9,-44.3053,-37.3755,0.00566249,-97.2914,48.5283,-45.7568,15.3514,-0.79812,6.54973,6.20731,14.2762,9.86673,1.5249,-3.834,-8.38258,-9.83776,7.97797e-05,7.19707e-05,0.000113797,0.00025147,0.00052417,0.000234381,9.53692e-05,4.85051e-05,2.37221e-05,1.79393e-05,3.77238e-05,0.000137036,2295.94,2269.43,2.42229,13.7608,6203.08,-24.0859,32.899,107.118,274.418,464.471,634.811,832.389,946.495,1111.38,1254.59,1389.57,1565.34,0.00108788,0.00440809,0.000116601,0.000230506,0.00153529,0.000319471,0.00512914,0.000540734,0.000160584,0.000238196
