,loudness-dBFS,loudness-TP,loudness-dB,mfcc-0,mfcc-1,mfcc-2,mfcc-3,mfcc-4,mfcc-5,mfcc-6,mfcc-7,mfcc-8,mfcc-9,mfcc-10,mfcc-11,mfcc-12,chroma-A,chroma-A#,chroma-B,chroma-C,chroma-C#,chroma-D,chroma-D#,chroma-E,chroma-F,chroma-F#,chroma-G,chroma-G#,specshape-centroid,specshape-spread,specshape-skewness,specshape-kurtosis,specshape-rolloff,specshape-flatness,specshape-crest,sinefeaturefreqs-0,sinefeaturefreqs-1,sinefeaturefreqs-2,sinefeaturefreqs-3,sinefeaturefreqs-4,sinefeaturefreqs-5,sinefeaturefreqs-6,sinefeaturefreqs-7,sinefeaturefreqs-8,sinefeaturefreqs-9,sinefeaturemags-0,sinefeaturemags-1,sinefeaturemags-2,sinefeaturemags-3,sinefeaturemags-4,sinefeaturemags-5,sinefeaturemags-6,sinefeaturemags-7,sinefeaturemags-8,sinefeaturemags-9
0,-17.1687,-9.56514,0.150311,-102.428,34.8904,-102.001,-55.1962,-58.8425,-78.0025,-69.6811,-87.4698,-78.4741,-65.9339,-63.2574,-64.188,-64.3071,0.0617759,0.0603256,0.057792,0.065232,0.0722837,0.076886,0.0801009,0.081577,0.0792679,0.0743672,0.0691664,0.0648776,1194.63,1446.73,3.66935,30.2838,3952.69,-32.5308,30.4063,377.849,1855.86,2580.05,2988.41,4143.22,4497.46,5222.98,6772.81,7531.48,8290.18,0.244154,0.0541619,0.0147887,0.0177621,0.00420038,0.00619855,0.00486588,0.00199459,0.000318543,0.000217325
1,-16.4602,-9.50231,0.161367,-106.687,39.5088,-103.738,-54.0546,-60.119,-78.6466,-68.159,-86.474,-77.0783,-68.396,-62.8024,-64.4247,-64.2574,0.0611759,0.058629,0.0552258,0.0625264,0.0703179,0.0756171,0.0795089,0.0815653,0.0796232,0.0750331,0.0697208,0.0650546,1169.84,1448.08,4.0812,37.2211,3898.44,-32.8442,30.6702,371.687,1846.63,2165.03,2580.55,2996.72,4186.94,4472.03,5221.48,5599.88,6774.73,0.243832,0.054349,0.0225595,0.0142858,0.018287,0.00431099,0.00572418,0.00465397,0.00164909,0.0017226
2,-15.8437,-9.50231,0.172212,-107.732,38.535,-100.857,-57.4736,-58.0821,-81.3978,-66.5263,-84.3935,-77.7004,-68.4378,-65.2109,-62.2757,-65.3688,0.0588504,0.0554492,0.05134,0.0582491,0.0664707,0.0722942,0.0766826,0.0791626,0.077626,0.07337,0.0680327,0.0632437,1145.75,1436.06,4.17602,38.0189,3835.51,-32.5119,30.923,368.753,1837.81,2183.44,2576.99,2999.31,4209.96,4447.83,5222.64,5654.4,5966.69,0.242712,0.0553663,0.0224277,0.0134429,0.0197099,0.00454126,0.00555778,0.00445643,0.00153777,0.00112763
3,-15.2787,-9.50231,0.171279,-108.535,38.1088,-99.4504,-59.7187,-57.006,-80.9642,-67.8009,-81.7871,-78.7432,-67.6928,-66.5081,-62.7419,-64.895,0.0569865,0.0528575,0.0481833,0.0548837,0.0635043,0.0699028,0.0747836,0.0776264,0.076468,0.0723831,0.0668989,0.0618911,1137.93,1422.12,4.2286,38.692,3539.51,-32.4209,31.1983,365.511,1831.54,2211.31,2584.4,2984.87,4184.83,4445.08,5230.13,5679.33,5993.65,0.242108,0.0572456,0.0201401,0.0124796,0.0174047,0.00457933,0.00550973,0.0043099,0.00137373,0.00113998
4,-15.3259,-9.50231,0.171912,-112.439,41.9684,-100.422,-61.9193,-54.0644,-81.8332,-67.8563,-80.5042,-80.4969,-65.4179,-68.3292,-63.436,-63.095,0.0560639,0.0515492,0.0466362,0.0533722,0.0622146,0.0690524,0.0742847,0.0773407,0.0764377,0.072334,0.0666329,0.0613482,1120.87,1379.85,4.23304,39.8797,3423.32,-33.4148,31.3541,362.834,1831.68,2231.09,2584.51,2961.17,4148.94,4452.69,5239.8,5680.49,6000.3,0.242083,0.0568425,0.0190184,0.0116322,0.0158554,0.00458376,0.00543675,0.00441223,0.00120406,0.00108626
5,-15.2939,-9.20915,0.169506,-111.316,39.4572,-97.7237,-64.9615,-52.5012,-80.9815,-68.8456,-80.7021,-80.0652,-66.683,-66.0232,-65.9027,-61.9252,0.0545479,0.0503556,0.0457672,0.052459,0.0609633,0.0676884,0.0727884,0.0756944,0.0748372,0.0706447,0.0649103,0.0596734,1120.76,1408.53,4.62835,45.2781,3386.33,-32.4753,31.3275,364.077,1839.28,2220.5,2580.62,2936.6,3297.81,4112.03,4472.04,5245.08,5658.66,0.239959,0.0532502,0.0182616,0.0108937,0.0152625,0.00899906,0.00462803,0.00536722,0.00476188,0.00105988
6,-15.4163,-8.57694,0.167316,-114.561,43.418,-100.639,-62.8634,-53.1905,-80.346,-68.4533,-82.2489,-80.0302,-66.3196,-66.1821,-65.4592,-62.7387,0.0544769,0.0508788,0.0468864,0.0538248,0.0619306,0.0683946,0.0731943,0.075785,0.0748115,0.0703763,0.0645682,0.059326,1105.71,1365.22,4.47262,44.5566,3350.22,-33.4938,31.2387,365.83,1850.05,2186.32,2537.36,2920.77,3359.52,4090.28,4495.29,5239.98,5617.01,0.238916,0.0505766,0.0176936,0.00999723,0.0150372,0.0113832,0.00477753,0.00545643,0.00387963,0.000994235
7,-15.5293,-9.50231,0.16686,-112.759,40.0635,-97.0787,-65.7954,-50.5376,-80.2647,-70.9295,-79.9338,-83.5842,-64.6562,-65.6788,-66.414,-61.519,0.0547225,0.0519955,0.048839,0.0560545,0.0635794,0.0694909,0.0737094,0.0757654,0.0745007,0.0697868,0.0640669,0.0590212,1104.49,1394.41,4.69454,46.7937,3338.95,-32.6917,31.0926,370.357,1147.91,1860.61,2915.29,3317.57,4084.69,4509.08,5235.83,5985.48,6440.73,0.238143,0.0166611,0.0488773,0.0146933,0.0088973,0.00486732,0.00550694,0.00356745,0.000870346,0.000263264
8,-15.553,-9.50231,0.167693,-113.332,40.5764,-97.8478,-64.3495,-49.6228,-81.3722,-69.6848,-82.9439,-81.5439,-66.7611,-64.911,-64.6499,-63.2268,0.0559194,0.0538764,0.0514634,0.0591007,0.0661673,0.0715822,0.0752834,0.0768559,0.0752685,0.0702764,0.0646477,0.0597546,1101.3,1392.92,4.70279,47.3331,3350.14,-32.7423,30.9865,373.86,1172.28,1868.7,2922.37,3192.68,4106.71,4496.53,5227.79,5990.55,6773.69,0.238388,0.0162409,0.0476705,0.01424,0.00926045,0.00453348,0.00517105,0.00335596,0.000726064,0.000856907
9,-15.5097,-9.59235,0.168476,-117.394,44.6369,-99.4598,-64.956,-46.1533,-84.18,-69.7474,-81.532,-84.7639,-64.5631,-65.8946,-64.4359,-60.0703,0.0564091,0.0550056,0.053239,0.0610775,0.0676612,0.0725119,0.0756825,0.076816,0.074926,0.0697837,0.064359,0.0597293,1097.2,1372.39,4.64432,47.3697,3358.93,-33.8367,30.9141,377.854,1179.86,1873.28,2941.05,4131.12,4482.38,5217.48,5962.07,6771.92,7561.89,0.237657,0.0159747,0.0468403,0.0138262,0.00445509,0.00489928,0.00321462,0.000587236,0.000777194,8.60539e-05
10,-15.4693,-9.59235,0.168629,-118.253,45.0467,-99.2984,-64.8616,-46.3717,-84.2506,-70.1116,-82.4078,-82.8209,-67.1144,-65.2036,-62.0609,-62.8926,0.0566391,0.0556235,0.05426,0.0622069,0.0685244,0.0729658,0.075781,0.0766584,0.0745495,0.0693568,0.0640985,0.0596354,1091.07,1384.56,4.97354,52.8136,3353.44,-33.4682,30.9002,381.302,1171.15,1874.07,2967.02,4156.1,4461.89,5214.58,5986.43,6766.71,7541.77,0.238093,0.0158745,0.0462082,0.0136515,0.00437316,0.00470862,0.0029787,0.000513589,0.000703264,8.92022e-05
11,-15.4614,-9.59235,0.168536,-117.607,43.9674,-97.867,-64.7015,-48.3673,-82.6422,-71.8218,-81.7589,-81.0025,-69.7507,-63.4123,-62.3958,-62.269,0.0568972,0.0558679,0.0546096,0.0626269,0.0688932,0.0731366,0.0758154,0.0766412,0.0744527,0.0693068,0.0641784,0.0598078,1084.2,1351.19,4.78462,49.7215,3340.97,-33.73,30.9963,382.207,1139.78,1869.88,2987.66,4170.6,4437.59,5218.58,6007.0,6774.86,7469.31,0.238205,0.0158476,0.045495,0.0137665,0.00424678,0.00445656,0.00276002,0.000497501,0.000657937,0.000166804
12,-15.4662,-9.59235,0.164893,-119.896,44.6966,-94.4072,-69.2737,-44.4782,-85.7205,-71.4763,-80.4965,-81.4428,-69.2768,-64.0657,-60.3264,-64.2735,0.0565971,0.0552575,0.0538251,0.0617392,0.0680801,0.0722843,0.0749778,0.0758904,0.073764,0.0688144,0.0638643,0.0595781,1062.32,1361.58,5.25219,56.1579,3295.13,-33.6551,31.0449,381.22,1861.91,2549.56,2999.32,4163.57,4429.85,5225.48,6019.1,6783.8,7499.59,0.237066,0.0448414,0.00711792,0.0139636,0.00405572,0.00420304,0.0026021,0.000444018,0.000583473,0.000113615
13,-15.656,-9.59235,0.162911,-122.804,46.9052,-93.5268,-69.4903,-45.6853,-84.3303,-73.3007,-78.3832,-80.6979,-71.3362,-61.7005,-62.0201,-62.924,0.0563485,0.0543608,0.0523946,0.0601615,0.066865,0.0714048,0.0744353,0.0756641,0.0737878,0.0690866,0.0641679,0.0597447,1031.62,1331.33,5.47504,61.0504,3252.3,-34.2468,31.1442,376.901,1853.88,2552.87,3001.36,4147.77,4435.64,5240.49,6011.57,6775.9,7645.54,0.235788,0.0447365,0.0066826,0.0144049,0.00404416,0.00406749,0.00245444,0.000365079,0.000530622,2.95312e-05
14,-15.761,-9.59235,0.161619,-125.286,48.5291,-93.0346,-70.5474,-45.8089,-85.7472,-71.0478,-78.3423,-80.6646,-70.0886,-64.5479,-60.3042,-62.5871,0.0543249,0.0517539,0.0492416,0.0565555,0.0634551,0.0682886,0.071625,0.0731516,0.0715968,0.067244,0.0624372,0.0580273,1011.58,1298.15,5.45374,61.2411,3220.15,-35.0822,31.2718,373.659,1845.43,2538.49,3000.26,4124.67,4455.39,5247.4,6012.51,6751.92,7250.78,0.232626,0.0450316,0.00634522,0.0151508,0.00399792,0.00381347,0.00278269,0.000317689,0.000513967,8.1193e-05
15,-15.8302,-9.64052,0.161875,-124.771,47.0354,-91.7507,-70.7762,-48.5611,-82.71,-73.3221,-74.7195,-83.1043,-67.9622,-66.1762,-61.3531,-61.774,0.0526613,0.0493334,0.0461958,0.0532316,0.0605033,0.0658681,0.0697015,0.0716291,0.0704315,0.0663283,0.0614492,0.0568648,1002.0,1323.79,5.81251,66.3917,3189.76,-33.8592,31.4507,370.067,1837.69,2184.41,2532.4,2988.61,4107.17,4480.25,5242.02,6021.84,6764.0,0.231868,0.0457498,0.0155525,0.00550735,0.0138636,0.00396951,0.00355716,0.00220451,0.000391872,0.000502345
16,-15.8164,-9.70921,0.161264,-126.455,48.1669,-91.4775,-71.5174,-49.1265,-82.1171,-71.8162,-76.7611,-79.4923,-70.7592,-64.6261,-63.494,-61.8782,0.0516186,0.0475154,0.0437949,0.0507589,0.0584867,0.0644735,0.0688672,0.0712136,0.0703447,0.0663705,0.0613095,0.0564081,985.132,1271.25,5.66942,65.2882,3135.4,-34.7775,31.7316,365.746,1832.16,2218.52,2969.56,3264.18,4089.21,4505.45,5234.78,6005.16,6769.5,0.23223,0.0467548,0.0147199,0.0125318,0.00797587,0.0040388,0.00348107,0.00197818,0.000408868,0.000413727
17,-15.8492,-9.92777,0.162085,-125.789,46.0411,-88.763,-74.0055,-48.4736,-81.2661,-72.4661,-75.5032,-80.64,-69.4738,-65.4543,-64.4442,-61.4542,0.0505619,0.0461571,0.0421905,0.0490897,0.0569918,0.0633149,0.0680033,0.0705451,0.0698532,0.0659378,0.0607634,0.0556562,988.521,1312.45,6.03857,68.9813,3104.94,-33.6439,31.9254,363.778,1832.14,2234.53,2952.11,3311.91,4080.58,4513.9,5226.77,6007.09,6771.24,0.23214,0.0468267,0.0142647,0.0119488,0.00761518,0.00409534,0.00336149,0.00189675,0.000369332,0.000444646
18,-15.8051,-10.0244,0.161125,-126.757,46.8656,-89.6542,-73.1115,-49.7156,-78.9074,-74.6504,-73.7887,-81.5946,-70.0589,-63.7246,-66.7517,-60.0995,0.0498254,0.0454945,0.0416263,0.0485757,0.056431,0.062814,0.0675567,0.0701196,0.0694642,0.0654962,0.0602246,0.0549837,981.708,1270.74,5.71112,64.9789,3088.96,-34.3153,31.9647,363.472,1838.4,2220.5,2941.75,3329.85,4101.69,4485.58,5227.76,5761.21,5982.93,0.231576,0.0445523,0.0139026,0.011644,0.0074367,0.00348683,0.00292497,0.00187243,0.000238072,0.00038237
