,loudness-dBFS,loudness-TP,loudness-dB,mfcc-0,mfcc-1,mfcc-2,mfcc-3,mfcc-4,mfcc-5,mfcc-6,mfcc-7,mfcc-8,mfcc-9,mfcc-10,mfcc-11,mfcc-12,chroma-A,chroma-A#,chroma-B,chroma-C,chroma-C#,chroma-D,chroma-D#,chroma-E,chroma-F,chroma-F#,chroma-G,chroma-G#,specshape-centroid,specshape-spread,specshape-skewness,specshape-kurtosis,specshape-rolloff,specshape-flatness,specshape-crest,sinefeaturefreqs-0,sinefeaturefreqs-1,sinefeaturefreqs-2,sinefeaturefreqs-3,sinefeaturefreqs-4,sinefeaturefreqs-5,sinefeaturefreqs-6,sinefeaturefreqs-7,sinefeaturefreqs-8,sinefeaturefreqs-9,sinefeaturemags-0,sinefeaturemags-1,sinefeaturemags-2,sinefeaturemags-3,sinefeaturemags-4,sinefeaturemags-5,sinefeaturemags-6,sinefeaturemags-7,sinefeaturemags-8,sinefeaturemags-9
0,-26.3775,-14.1505,0.0565001,-252.485,-32.2914,-49.6387,-70.6341,-65.5632,-66.0559,-68.3629,-58.0556,-52.268,-66.1611,-59.9374,-57.8452,-56.7291,1.32453e-05,1.27834e-05,1.27173e-05,1.36388e-05,1.40091e-05,1.4491e-05,1.49585e-05,1.51595e-05,1.48863e-05,1.41934e-05,1.37906e-05,1.3538e-05,3219.04,5158.44,2.12235,6.53159,16778.0,-8.51325,21.7891,2768.75,7572.77,9472.97,11584.3,14149.8,15810.9,17947.4,21557.4,0.0,0.0,0.000198914,6.03613e-05,5.86747e-05,3.88423e-05,3.16391e-05,3.26256e-05,3.4324e-05,3.45163e-05,0.0,0.0
1,-24.959,-12.5323,0.0598596,-103.612,-10.0386,-74.793,-73.3264,-65.3641,-70.6817,-71.4842,-64.4055,-63.5807,-74.0954,-68.0666,-64.9326,-61.6268,0.00623613,0.0058842,0.00585663,0.00670259,0.00750106,0.00823072,0.00860081,0.00863048,0.00833607,0.00764165,0.00713254,0.00663188,1810.91,2993.6,3.89622,20.7122,6828.12,-16.3297,24.4622,317.86,1222.52,2494.97,3348.62,3757.81,4378.96,5305.32,5827.92,6848.37,7569.14,0.0547076,0.0253348,0.00839212,0.00480617,0.00515677,0.00382321,0.00112684,0.000737694,0.000946068,0.00085649
2,-24.4573,-13.3662,0.0669633,-86.1697,1.13526,-86.26,-68.3298,-68.9989,-69.2336,-71.699,-66.028,-69.3269,-68.0057,-71.989,-66.2513,-59.5127,0.0165478,0.0162135,0.0167223,0.0189124,0.0207493,0.0222438,0.0227345,0.0223019,0.0215226,0.0207887,0.0201575,0.0179534,1505.77,2188.29,4.11069,26.6747,4899.78,-21.017,24.2166,297.424,1163.0,1508.71,2288.69,3429.87,3880.93,4636.35,4960.1,5512.68,6454.24,0.0860541,0.0402373,0.0366787,0.0139772,0.0071211,0.00943348,0.00334901,0.00218703,0.00258921,0.001934
3,-23.4833,-13.3662,0.0692942,-104.818,-3.93564,-84.2379,-65.3086,-66.9921,-67.8237,-72.5742,-60.4144,-70.8277,-68.8628,-63.2354,-69.5549,-59.0694,0.00926888,0.00928092,0.00953844,0.0104956,0.0114847,0.012028,0.0119388,0.0113402,0.0107718,0.0107923,0.0108011,0.00984803,1525.85,2332.61,3.76649,22.3711,5236.4,-20.9505,24.987,117.894,435.345,1157.0,1523.55,1883.07,2267.35,3056.66,3485.71,3870.86,4610.24,0.0668961,0.048171,0.0288773,0.0253268,0.00773979,0.01373,0.0041406,0.00502631,0.00593428,0.00298925
4,-23.1861,-13.3662,0.0738156,-86.5867,-3.12897,-80.4004,-68.0129,-72.6904,-64.0852,-71.7944,-65.203,-70.0088,-71.996,-69.7628,-67.1214,-57.1452,0.0184269,0.0175,0.0175034,0.0196483,0.0217477,0.0233392,0.0239563,0.0236826,0.022954,0.0224518,0.0219455,0.0199337,1482.84,2327.21,4.00991,24.1847,5486.31,-20.5061,24.6278,236.806,1198.85,1525.85,2319.88,3387.86,3895.7,4465.64,4960.4,5742.15,6136.73,0.090626,0.035914,0.0369874,0.0192429,0.00805732,0.00606776,0.00280215,0.00200172,0.00226988,0.00144868
5,-22.637,-13.3662,0.0718354,-105.222,-10.0949,-79.032,-62.6844,-69.6248,-63.6312,-74.2868,-59.9292,-72.0951,-66.9776,-66.5407,-65.3351,-59.0362,0.0105601,0.0105518,0.0107746,0.0116983,0.0125101,0.0128201,0.0127218,0.0122782,0.0116702,0.0116252,0.0116503,0.0109696,1562.67,2585.94,3.5914,19.5275,5959.88,-19.3245,26.0269,88.6395,473.878,1154.34,1541.41,1815.6,2241.28,2629.63,3423.1,3864.07,4277.35,0.0767166,0.0473196,0.0252661,0.0216566,0.00737891,0.0112874,0.00897367,0.0059342,0.00646421,0.00324855
6,-22.8732,-13.3662,0.0720972,-95.8666,2.52513,-88.7483,-61.9595,-72.3636,-61.2808,-73.5842,-60.9243,-75.2405,-71.5977,-70.7869,-61.9811,-57.5603,0.0169815,0.0162585,0.0161328,0.0176991,0.0192037,0.0200149,0.0202758,0.0202453,0.0197301,0.0193806,0.0191224,0.0178128,1436.41,2093.91,3.65164,22.2261,4832.44,-22.9968,24.9561,167.578,1225.52,1546.03,2230.13,2642.43,3518.01,3869.31,4663.72,5537.15,5992.45,0.0849865,0.028795,0.0332331,0.0138659,0.0105302,0.00919112,0.00783699,0.00257175,0.00219732,0.00135229
7,-22.8416,-13.3662,0.0712502,-116.437,-6.48121,-80.6867,-63.096,-70.1336,-63.3002,-72.8888,-58.3423,-71.0355,-67.6734,-64.9831,-62.1259,-59.6736,0.0103939,0.0105041,0.0107483,0.0114729,0.0120549,0.01208,0.0117693,0.0112068,0.0105631,0.0106583,0.0108793,0.0105412,1413.86,2363.85,3.74754,21.5821,5275.42,-21.2494,27.6735,520.229,1148.16,1559.38,2262.8,2634.16,3426.39,3816.17,4438.89,5158.96,5524.61,0.0441295,0.0235173,0.0202567,0.0105141,0.00925137,0.00509798,0.00400817,0.00411131,0.00057913,0.00141316
8,-22.9443,-12.2215,0.0692364,-107.682,7.60663,-90.8648,-63.6787,-65.5014,-62.4023,-70.0732,-62.4466,-76.9576,-73.2948,-66.207,-64.96,-59.3027,0.0154789,0.014862,0.0148157,0.0163084,0.0176122,0.0181917,0.0182823,0.018064,0.0174852,0.0172992,0.0172025,0.0162313,1319.41,1895.77,3.77607,25.0972,4344.74,-25.249,25.5822,109.031,1242.1,1545.54,2255.53,2568.3,3423.47,3872.11,4329.61,5489.08,6054.91,0.0843804,0.0247857,0.0293968,0.0136996,0.0112574,0.00613654,0.00528241,0.0053232,0.00169989,0.000940203
9,-23.1933,-13.4157,0.0683528,-111.843,-15.9976,-81.1948,-59.2261,-70.4384,-63.9218,-62.6168,-65.1567,-69.4596,-69.7141,-61.5608,-64.1683,-53.8772,0.0117226,0.011694,0.0118412,0.0125714,0.0130418,0.0130912,0.0127099,0.012,0.0114036,0.0116768,0.0119823,0.0117911,1567.35,2656.73,3.4256,18.1979,6611.25,-18.9399,28.4072,528.596,1149.27,1587.38,2230.25,2511.84,3470.82,3907.58,4345.35,4605.89,5425.52,0.0422184,0.0222178,0.0199466,0.0087696,0.00439048,0.00537293,0.00266827,0.0033652,0.00278499,0.00248437
