,loudness-dBFS,loudness-TP,loudness-dB,mfcc-0,mfcc-1,mfcc-2,mfcc-3,mfcc-4,mfcc-5,mfcc-6,mfcc-7,mfcc-8,mfcc-9,mfcc-10,mfcc-11,mfcc-12,chroma-A,chroma-A#,chroma-B,chroma-C,chroma-C#,chroma-D,chroma-D#,chroma-E,chroma-F,chroma-F#,chroma-G,chroma-G#,specshape-centroid,specshape-spread,specshape-skewness,specshape-kurtosis,specshape-rolloff,specshape-flatness,specshape-crest,sinefeaturefreqs-0,sinefeaturefreqs-1,sinefeaturefreqs-2,sinefeaturefreqs-3,sinefeaturefreqs-4,sinefeaturefreqs-5,sinefeaturefreqs-6,sinefeaturefreqs-7,sinefeaturefreqs-8,sinefeaturefreqs-9,sinefeaturemags-0,sinefeaturemags-1,sinefeaturemags-2,sinefeaturemags-3,sinefeaturemags-4,sinefeaturemags-5,sinefeaturemags-6,sinefeaturemags-7,sinefeaturemags-8,sinefeaturemags-9
0,-21.6541,-14.2257,0.0771197,57.8691,38.3861,-8.49939,24.9584,-0.168605,14.4161,-1.90987,-0.942017,-11.8413,-0.355105,-0.826693,-4.47026,-9.12416,0.100447,0.0877,0.0635023,0.0468625,0.0354428,0.0324213,0.0372367,0.0419874,0.0479546,0.0582417,0.0784599,0.0986923,2121.53,3051.61,2.19695,8.32021,9081.08,-18.8841,38.1443,211.156,396.863,581.902,716.477,948.378,1064.32,1194.59,1413.33,1571.56,1888.29,0.120772,0.0205694,0.00988969,0.00587475,0.00600992,0.00594005,0.005628,0.00188016,0.00580622,0.0226423
1,-22.2567,-14.2257,0.0656317,49.2962,41.3791,-12.0603,22.6994,-1.22435,13.498,-4.57032,-1.51727,-9.97126,-2.86488,-3.49855,-3.52696,-6.47757,0.0523065,0.0450123,0.0306099,0.0216463,0.0165565,0.0178659,0.0238363,0.0300383,0.0345459,0.0392099,0.0474908,0.0538221,2152.33,2981.62,2.1969,8.47182,9051.14,-19.5035,36.6644,202.229,398.853,699.136,1038.78,1182.99,1412.81,1575.41,1889.12,2233.2,2422.77,0.0879807,0.0233438,0.00654061,0.00833091,0.00571826,0.00206701,0.0064851,0.0194521,0.00285575,0.00593327
2,-23.6577,-15.5233,0.0667607,39.4091,48.6471,-15.5318,21.117,-1.71994,11.3014,-3.63747,-4.34499,-10.2603,-2.02186,-1.67116,-4.6446,-5.63719,0.0402243,0.0331758,0.0181555,0.0100025,0.00969232,0.014827,0.0212987,0.0258098,0.028987,0.0323863,0.0382287,0.0424473,1951.3,2712.85,2.4347,10.3339,7560.49,-20.8268,36.479,197.498,283.191,401.007,601.294,712.655,1022.42,1179.21,1281.19,1420.99,1590.69,0.0824282,0.0229767,0.0237954,0.0102466,0.00570662,0.00662228,0.00383693,0.00109333,0.0029333,0.00526961
3,-23.5096,-15.0803,0.0548234,37.052,51.5459,-11.2901,22.1972,4.90417,10.0797,-7.41188,-0.694473,-10.3932,-2.93843,-0.734054,-5.46006,-7.90338,0.0731077,0.0634522,0.0456531,0.0328312,0.0222428,0.0175477,0.0202909,0.025529,0.0308586,0.0393905,0.0553904,0.070958,1689.57,2587.43,2.81844,12.9355,6869.89,-21.8784,38.5709,212.99,401.421,614.315,965.031,1058.51,1227.78,1410.8,1589.59,1886.93,2107.49,0.101029,0.0230246,0.00900379,0.00732444,0.00593805,0.00234078,0.00308892,0.00245927,0.0195895,0.00399127
4,-25.2207,-14.7205,0.0517513,29.2282,46.9368,-12.1214,16.8968,1.61003,9.69753,-7.88473,-0.853792,-10.7789,-3.71261,0.609927,-3.57262,-7.5621,0.00861465,0.0118254,0.00930468,0.0079611,0.00621456,0.00637413,0.00828021,0.0106791,0.0126996,0.0126112,0.01159,0.00939981,2092.33,2866.58,2.50629,10.5872,9024.0,-19.709,33.18,178.449,243.319,388.64,597.839,713.508,1035.61,1231.15,1410.93,1570.81,1658.97,0.0394055,0.0272348,0.022981,0.00671311,0.00546154,0.00870177,0.00174996,0.00356926,0.0024186,0.00107461
5,-25.7216,-17.3125,0.044926,28.0721,48.3427,-9.745,11.8369,-0.450219,10.7845,-6.91981,-3.27571,-14.3241,-5.86921,-4.33459,-5.76048,-7.80547,0.0381318,0.0323526,0.0203971,0.0124903,0.00921233,0.00931882,0.0109467,0.0130207,0.0162543,0.0212298,0.0304203,0.0378737,1818.99,2781.23,2.84077,12.5418,8256.94,-20.578,37.8193,211.766,382.562,594.93,696.709,950.043,1063.31,1169.45,1270.72,1413.91,1575.61,0.0735469,0.0229742,0.0100829,0.00547554,0.0056231,0.005048,0.00229473,0.00124909,0.00436021,0.00539923
6,-26.95,-17.7537,0.042713,21.0424,53.6445,-10.7414,8.57123,-2.55816,8.37521,-9.9415,1.50196,-14.7189,-6.42538,-3.66672,-5.07074,-5.86466,0.00860133,0.0122331,0.0116884,0.0102732,0.00742505,0.00519368,0.0044525,0.0050378,0.00647577,0.00781055,0.00970219,0.00882856,1859.93,2715.71,2.88483,12.8343,8197.6,-20.9202,32.5832,241.278,372.024,585.226,719.404,964.592,1182.08,1410.58,1576.81,1886.76,2106.52,0.0363013,0.0240229,0.00875284,0.00490426,0.00778872,0.00393439,0.00406151,0.00612005,0.0150393,0.00283864
7,-27.3888,-18.4741,0.0387888,16.0994,60.219,-11.0916,12.4971,-1.05965,12.7833,-8.38877,2.81478,-15.3677,-6.8599,-2.54116,-7.31339,-9.64086,0.0193642,0.021878,0.021914,0.0204792,0.0152524,0.0110365,0.00882835,0.00806639,0.00885369,0.0113648,0.0160849,0.0184557,1589.03,2438.84,3.11194,14.8892,6353.82,-23.4913,35.3817,235.502,370.608,704.391,953.463,1036.06,1187.31,1409.43,1571.64,1885.21,1977.13,0.0549816,0.0249374,0.00469288,0.00483108,0.00752414,0.00340734,0.00359061,0.00492436,0.0141921,0.00485719
8,-28.2259,-20.0719,0.0335617,9.67129,55.2899,-7.32545,9.76773,-2.62556,9.83662,-5.57413,-2.02673,-13.2163,-9.22229,-4.20229,-6.47127,-4.66179,0.0125051,0.014042,0.0118741,0.0100204,0.00786731,0.00658877,0.00578023,0.00555767,0.00659959,0.00854836,0.0117439,0.0125266,1662.41,2596.19,3.14387,15.0169,7164.44,-21.1704,35.0091,230.627,371.849,597.629,707.049,940.085,1067.14,1181.46,1413.82,1579.94,1884.78,0.0425351,0.0242641,0.00928255,0.00411742,0.00511696,0.00466187,0.00304178,0.00381589,0.00456695,0.013906
9,-29.4831,-20.6227,0.0373928,13.8185,48.0737,-9.06573,5.84835,-4.7926,6.14237,-12.1964,-4.77074,-14.4203,-5.62293,-10.3535,-6.14756,-9.34772,0.00729206,0.0111337,0.0121673,0.0116339,0.00874535,0.00708084,0.00566802,0.00451043,0.0047185,0.00567229,0.00726103,0.00697328,1862.45,2791.47,2.90466,12.6928,8276.9,-20.3536,34.2748,256.506,374.252,605.075,698.905,964.149,1176.18,1411.99,1585.91,1882.35,1975.47,0.0365744,0.0229199,0.0075055,0.00454752,0.00759495,0.00301393,0.00339092,0.00226008,0.0136657,0.00403008
