,loudness-dBFS,loudness-TP,loudness-dB,mfcc-0,mfcc-1,mfcc-2,mfcc-3,mfcc-4,mfcc-5,mfcc-6,mfcc-7,mfcc-8,mfcc-9,mfcc-10,mfcc-11,mfcc-12,chroma-A,chroma-A#,chroma-B,chroma-C,chroma-C#,chroma-D,chroma-D#,chroma-E,chroma-F,chroma-F#,chroma-G,chroma-G#,specshape-centroid,specshape-spread,specshape-skewness,specshape-kurtosis,specshape-rolloff,specshape-flatness,specshape-crest,sinefeaturefreqs-0,sinefeaturefreqs-1,sinefeaturefreqs-2,sinefeaturefreqs-3,sinefeaturefreqs-4,sinefeaturefreqs-5,sinefeaturefreqs-6,sinefeaturefreqs-7,sinefeaturefreqs-8,sinefeaturefreqs-9,sinefeaturemags-0,sinefeaturemags-1,sinefeaturemags-2,sinefeaturemags-3,sinefeaturemags-4,sinefeaturemags-5,sinefeaturemags-6,sinefeaturemags-7,sinefeaturemags-8,sinefeaturemags-9
0,-32.2292,-21.8592,0.0329334,10.5146,-13.0392,-4.46595,21.2723,4.40093,11.4874,-10.8322,-4.50576,-5.59575,1.56564,-0.402269,14.1926,14.5289,0.00158638,0.00306007,0.00108988,0.000722079,0.00138029,0.00117455,0.0017881,0.00129453,0.00103582,0.000848918,0.00194546,0.00110923,5151.57,4485.26,0.954928,3.30901,13367.6,-16.4959,25.558,160.384,449.615,617.267,763.015,979.544,1097.7,1265.26,1588.58,1870.03,2116.31,0.00516891,0.00302717,0.00947638,0.00067305,0.000202499,0.00048362,0.0018182,7.63544e-05,0.011006,0.000199806
1,-29.6473,-21.8592,0.0310756,13.8328,-11.4323,-7.32493,25.6118,7.38707,12.6008,-12.2459,-2.75238,-7.21496,3.56927,-1.27506,13.5322,17.0576,0.00229666,0.00527593,0.00154205,0.00147899,0.00298085,0.00207097,0.00383297,0.00256886,0.00174653,0.00153459,0.00406813,0.00171388,4941.31,4307.47,1.01519,3.51722,12680.8,-19.9921,27.7146,104.453,204.084,427.571,623.399,967.327,1037.86,1223.02,1340.67,1497.13,1868.1,0.0077341,0.00684968,0.00286061,0.0155481,0.000117091,0.000131888,0.00186576,0.000951906,0.000129128,0.0171106
2,-30.1516,-22.9236,0.0288791,0.284795,-17.0191,-16.33,23.6006,6.89512,12.6502,-10.5081,1.50821,-9.81555,1.26531,2.23272,13.6868,22.0319,0.00098917,0.00438039,0.00122515,0.00136425,0.00301764,0.00171778,0.00331599,0.00214949,0.0012084,0.00113834,0.00351935,0.000677408,4831.69,4104.35,1.06162,3.61794,12600.6,-21.6453,28.6719,102.131,221.963,350.664,436.212,623.807,776.921,1009.17,1061.51,1246.53,1490.7,0.00606213,0.00170055,0.000709798,0.00102787,0.0138811,0.000395923,0.000107026,0.000114579,0.00312878,0.000140627
3,-30.7883,-24.0609,0.0268115,-7.54533,-21.5788,-21.2138,21.637,4.27241,8.87298,-10.6593,0.523262,-7.9457,4.4278,4.35161,17.1756,23.2225,0.000925507,0.00382751,0.00108029,0.00125081,0.00270752,0.00158777,0.00311414,0.00185391,0.000853235,0.000919302,0.00310672,0.000620227,4810.51,4041.9,1.12767,3.90769,12583.1,-21.2233,28.8558,104.304,225.655,282.596,439.022,623.136,989.515,1097.21,1244.28,1371.51,1503.79,0.00494637,0.00082376,0.000424894,0.000691716,0.0139033,8.67e-05,0.000100722,0.00320313,0.000224548,0.000108495
4,-31.4336,-24.756,0.0244302,-12.4438,-25.0721,-19.3214,22.8355,6.94776,9.74379,-8.78339,-0.02025,-7.54754,5.21653,4.51435,18.7789,22.8242,0.00091197,0.00300516,0.000821436,0.00107901,0.00243902,0.00164469,0.0031044,0.00178947,0.000650455,0.000720776,0.00245421,0.000622035,4816.75,4139.21,1.15923,3.99659,12683.4,-19.582,28.4167,103.607,198.942,329.556,480.585,622.476,757.425,890.452,1082.39,1246.02,1379.29,0.00425161,0.00135459,0.000277135,0.000439939,0.0143881,0.000295023,4.17226e-05,8.18931e-05,0.00301269,0.000127446
5,-32.2415,-25.7859,0.0227571,-25.1542,-20.8039,-25.0718,26.5161,5.61523,9.88951,-10.0214,2.66859,-9.33199,7.55119,6.75632,19.3995,23.8352,0.000549305,0.00236055,0.000602424,0.000945314,0.00226225,0.00158987,0.00297944,0.00168732,0.000500096,0.000498432,0.00174236,0.000330228,4442.46,3838.57,1.23736,4.35288,11900.5,-22.2532,29.719,99.9042,196.909,622.091,1005.24,1122.1,1245.22,1382.6,1507.96,1867.58,2156.71,0.00261151,0.00183743,0.014307,2.3683e-05,5.89733e-05,0.00233003,0.000108055,6.42893e-05,0.0120865,1.87173e-05
6,-32.8576,-25.7859,0.0212238,-28.7679,-14.8523,-21.7958,31.205,9.92555,9.50794,-11.8193,-0.737073,-13.2573,5.55071,7.0741,16.654,20.0055,0.000441186,0.00204811,0.000531965,0.000866351,0.00207297,0.00149472,0.00275346,0.00157049,0.000440386,0.000394383,0.0013214,0.000250217,4217.81,3729.73,1.30856,4.63438,11380.4,-22.3092,30.3988,93.359,205.184,362.132,622.356,929.456,1078.33,1247.2,1491.78,1867.79,2159.18,0.00254755,0.00306597,0.000220034,0.0142071,1.88718e-05,6.99645e-05,0.00173601,4.73054e-05,0.0111915,2.72302e-05
7,-33.4635,-26.3608,0.0197871,-31.5707,-12.5683,-24.0217,32.3113,6.39527,8.3241,-10.4432,-2.25527,-11.3466,6.70459,8.76916,16.3158,19.3033,0.000498855,0.00180276,0.000450534,0.000744229,0.00182474,0.00141375,0.00263083,0.00147546,0.00039396,0.000312791,0.000995423,0.000281113,4161.76,3614.98,1.33368,4.97697,11351.5,-22.9259,30.7466,89.0501,199.191,348.552,622.493,1113.87,1245.08,1575.28,1867.75,2208.71,2263.52,0.00235181,0.00305348,0.000186484,0.0140018,0.000122254,0.001408,4.37765e-05,0.010498,4.05077e-05,2.79124e-05
8,-34.0724,-27.5429,0.0184618,-37.6686,-18.1591,-23.7835,32.1351,7.95067,8.42897,-10.4381,-4.43933,-9.60084,8.2963,13.003,20.1321,21.0421,0.000433971,0.00152839,0.000413621,0.000664077,0.00154436,0.00139813,0.00257613,0.00143177,0.000368309,0.000258871,0.000767404,0.000232151,4144.11,3720.76,1.38656,5.17109,11377.9,-21.9072,31.1381,91.8799,346.544,492.618,622.267,807.769,1033.89,1244.87,1380.88,1535.23,1866.83,0.00233458,0.000134933,0.000445879,0.0137201,7.68772e-05,4.02997e-05,0.000943354,4.75199e-05,3.52244e-05,0.00963052
9,-34.6745,-27.6702,0.0175481,-43.8688,-11.3348,-19.3542,34.5576,15.2872,7.20597,-10.2304,-4.78487,-13.9114,10.1736,14.2203,18.8294,19.15,0.000420572,0.00146294,0.000438385,0.000613687,0.0013494,0.00142363,0.00263866,0.0014683,0.000404203,0.000279407,0.000616824,0.000240973,3724.32,3677.56,1.59788,5.91906,11359.6,-22.832,31.6657,205.193,622.273,999.98,1098.03,1250.77,1382.02,1488.6,1650.73,1866.86,2227.44,0.0028484,0.0135382,2.21188e-05,9.11417e-05,0.000485771,5.89594e-05,2.58437e-05,3.13538e-05,0.00908856,3.37658e-05
