,loudness-dBFS,loudness-TP,loudness-dB,mfcc-0,mfcc-1,mfcc-2,mfcc-3,mfcc-4,mfcc-5,mfcc-6,mfcc-7,mfcc-8,mfcc-9,mfcc-10,mfcc-11,mfcc-12,chroma-A,chroma-A#,chroma-B,chroma-C,chroma-C#,chroma-D,chroma-D#,chroma-E,chroma-F,chroma-F#,chroma-G,chroma-G#,specshape-centroid,specshape-spread,specshape-skewness,specshape-kurtosis,specshape-rolloff,specshape-flatness,specshape-crest,sinefeaturefreqs-0,sinefeaturefreqs-1,sinefeaturefreqs-2,sinefeaturefreqs-3,sinefeaturefreqs-4,sinefeaturefreqs-5,sinefeaturefreqs-6,sinefeaturefreqs-7,sinefeaturefreqs-8,sinefeaturefreqs-9,sinefeaturemags-0,sinefeaturemags-1,sinefeaturemags-2,sinefeaturemags-3,sinefeaturemags-4,sinefeaturemags-5,sinefeaturemags-6,sinefeaturemags-7,sinefeaturemags-8,sinefeaturemags-9
0,-42.657,-33.6658,0.00851403,-56.3013,35.0627,-21.4215,20.3299,-6.07434,11.3013,-8.10846,3.01981,-6.7786,-2.18455,1.59553,2.32055,-12.6772,0.000158447,0.000483483,0.000273164,0.000225469,0.000385132,0.000350702,0.000377766,0.000310519,0.000244602,0.000136715,7.52333e-05,6.62349e-05,2738.12,3042.02,1.86862,7.17051,9319.6,-20.06,31.1814,175.67,310.254,457.328,606.579,752.689,939.084,1060.05,1235.7,1554.73,1878.84,0.00208813,0.00634504,0.000800182,0.00128832,0.000720842,0.00386928,0.000243967,0.00065251,0.000544471,0.0030583
1,-41.3973,-33.6658,0.00809756,-73.5767,39.2924,-30.8308,21.1754,-4.58093,9.21104,-10.3948,-1.83255,-7.91789,-2.73086,1.21949,-0.591075,-17.0399,0.000134864,0.00045121,0.000213742,0.000221061,0.000485286,0.000485634,0.000520117,0.000403474,0.000292483,0.000140602,5.64767e-05,4.48289e-05,2480.23,2667.22,2.04185,8.9183,7952.32,-23.6261,34.3125,193.445,312.382,418.633,619.037,741.819,935.709,1182.22,1242.36,1368.75,1565.75,0.00158627,0.00829323,0.000577639,0.00100026,0.000372626,0.00398426,0.000312847,0.000380278,5.3124e-05,0.000497992
2,-41.8329,-34.4192,0.00743265,-82.1216,47.6456,-33.8745,22.2323,-1.54304,11.3771,-3.69591,0.0494418,-2.48833,-3.23689,1.67308,-2.25626,-17.2872,0.000122665,0.00041832,0.000202112,0.000203817,0.000436146,0.000410637,0.000439998,0.000347367,0.000257197,0.000122158,4.61691e-05,3.30732e-05,2311.07,2457.3,2.22638,10.9812,7414.81,-25.4528,34.2919,127.733,312.721,428.732,636.473,747.967,935.826,1239.71,1562.18,1874.68,2187.5,0.00125475,0.00760298,0.000612894,0.000462394,0.000300592,0.00391089,0.000577755,0.000416305,0.00286697,0.00394522
3,-42.5771,-35.3163,0.00722911,-91.8075,46.7932,-38.4566,17.4018,-3.87209,7.67894,-2.22775,-3.69567,-3.26271,-5.48434,1.14045,-5.20812,-19.3893,9.96204e-05,0.00033981,0.000167029,0.000172049,0.000368586,0.000331462,0.00035067,0.000263439,0.000186023,8.45357e-05,2.98902e-05,1.8443e-05,2299.02,2407.66,2.42046,12.7436,6957.52,-24.8025,34.6535,133.164,311.146,428.732,623.57,749.345,936.322,1057.49,1231.7,1558.99,1874.32,0.000669066,0.00676961,0.000469293,0.000427972,0.000317451,0.00379343,9.42287e-05,0.00061317,0.000407008,0.0028417
4,-42.8183,-35.3808,0.00739106,-96.5246,53.5096,-35.543,19.9578,-1.32606,8.41468,0.904746,-6.24876,-3.23233,-4.55513,3.0685,-3.98087,-19.4057,9.82271e-05,0.000311369,0.000160951,0.000169155,0.000373061,0.00037067,0.000395316,0.000312521,0.000231771,0.000109026,3.91742e-05,2.48866e-05,2062.37,2312.66,2.53651,13.7189,6628.89,-25.9293,35.3399,145.337,312.818,435.04,622.952,733.725,937.102,1091.66,1169.37,1260.66,1567.49,0.00100699,0.00726198,0.00060252,0.000481799,0.000201009,0.00370812,8.43394e-05,0.000287257,0.000440865,0.000416656
5,-42.6259,-35.0554,0.0071328,-99.2893,58.4071,-34.3175,14.9422,-3.41669,3.01393,-1.43522,-10.1344,-4.28356,-5.71875,3.25555,-5.54976,-17.2263,0.000107449,0.000312391,0.000170401,0.000185057,0.00041141,0.000472696,0.000509772,0.000410185,0.000309732,0.00015065,5.44507e-05,3.31978e-05,1849.06,2202.72,2.91377,17.1318,5991.68,-26.6108,36.1423,149.861,313.425,622.397,739.678,936.378,1233.56,1564.49,1874.19,2188.76,2503.79,0.000595887,0.00819255,0.000992193,0.000243885,0.00368452,0.000575145,0.000405645,0.00270075,0.00336279,0.00087064
6,-42.9348,-35.0554,0.0065396,-103.734,63.9605,-32.815,15.992,0.38373,3.80823,1.59264,-9.55464,-2.47916,-3.80503,4.10477,-4.40104,-16.4459,9.92816e-05,0.000287573,0.000158898,0.000172525,0.000380546,0.000443914,0.000478489,0.000382279,0.000288123,0.000139473,4.92569e-05,3.24904e-05,1751.81,2120.18,3.1147,19.5346,5388.81,-27.2357,36.238,135.099,313.372,413.344,620.443,730.182,937.291,1228.9,1560.62,1874.05,2188.14,0.00106394,0.00790218,0.000579005,0.00106929,0.000214123,0.00352498,0.000603762,0.000392986,0.00259858,0.00318961
7,-43.689,-37.1208,0.00608681,-108.041,60.917,-35.5922,13.5574,0.641225,0.521169,-0.523501,-10.9581,-3.46641,-5.10329,4.97393,-2.29834,-16.4341,8.53633e-05,0.000255319,0.000124348,0.000128168,0.000289765,0.000311378,0.000335363,0.000261216,0.000189645,8.88862e-05,3.0117e-05,1.96967e-05,1883.92,2168.71,3.12472,19.7719,5423.14,-26.0631,35.7685,34.7661,160.316,312.484,409.552,624.134,935.426,1176.89,1250.95,1564.51,1873.65,0.00101971,0.00047877,0.00664538,0.00044687,0.000969619,0.00347883,0.000246463,0.000380294,0.000401379,0.00247443
8,-44.3122,-36.3122,0.00632746,-111.142,64.92,-34.5278,14.4906,3.07916,2.71666,3.45403,-8.87042,-1.0771,-3.14023,4.27451,-1.45265,-16.9565,9.91347e-05,0.000259454,0.000136513,0.000138765,0.000281075,0.000294963,0.000314393,0.000248449,0.000186978,9.63093e-05,4.30603e-05,3.48617e-05,1761.95,2104.17,3.21782,21.0192,5363.9,-26.92,35.2778,139.02,312.59,436.972,622.001,733.627,934.945,1233.88,1568.04,1873.68,2187.02,0.000997228,0.00626405,0.000548749,0.000662258,0.000211961,0.00343764,0.000451775,0.000405239,0.00233425,0.00289152
9,-43.9754,-36.3122,0.00666378,-115.392,62.9364,-31.6807,12.7423,8.03235,4.45787,9.29109,-8.00434,0.616618,-4.41502,2.42316,-5.37353,-18.8325,0.000153136,0.000305598,0.000197818,0.00021083,0.000375945,0.00043459,0.000458416,0.000379669,0.00030486,0.000186574,0.000113282,9.79769e-05,1567.65,2102.22,3.59144,24.3968,5317.94,-27.0961,36.0672,152.052,312.997,627.346,732.733,936.084,1229.26,1561.93,1873.31,2186.81,2502.4,0.00105109,0.00720771,0.000261679,0.000178183,0.00332809,0.000438689,0.000393883,0.00213971,0.00277381,0.000743134
