,loudness-dBFS,loudness-TP,loudness-dB,mfcc-0,mfcc-1,mfcc-2,mfcc-3,mfcc-4,mfcc-5,mfcc-6,mfcc-7,mfcc-8,mfcc-9,mfcc-10,mfcc-11,mfcc-12,chroma-A,chroma-A#,chroma-B,chroma-C,chroma-C#,chroma-D,chroma-D#,chroma-E,chroma-F,chroma-F#,chroma-G,chroma-G#,specshape-centroid,specshape-spread,specshape-skewness,specshape-kurtosis,specshape-rolloff,specshape-flatness,specshape-crest,sinefeaturefreqs-0,sinefeaturefreqs-1,sinefeaturefreqs-2,sinefeaturefreqs-3,sinefeaturefreqs-4,sinefeaturefreqs-5,sinefeaturefreqs-6,sinefeaturefreqs-7,sinefeaturefreqs-8,sinefeaturefreqs-9,sinefeaturemags-0,sinefeaturemags-1,sinefeaturemags-2,sinefeaturemags-3,sinefeaturemags-4,sinefeaturemags-5,sinefeaturemags-6,sinefeaturemags-7,sinefeaturemags-8,sinefeaturemags-9
0,-31.358,-24.2875,0.0228514,-115.321,73.2723,29.6971,30.1759,12.0635,18.4387,5.32118,3.36558,6.53199,7.07467,0.876104,-1.6379,-0.783231,0.0102678,0.00894199,0.00756298,0.00691692,0.00621646,0.0059471,0.0064814,0.00727626,0.00763968,0.00781559,0.00880787,0.0101177,435.46,1436.15,8.47407,89.0999,1095.58,-31.5413,40.9596,202.681,348.754,468.619,597.959,756.064,884.089,1194.21,1308.88,1547.21,1762.61,0.0343888,0.00221172,0.000829345,0.00132463,0.00029017,0.000798246,0.000426199,0.00015264,0.000128058,0.00012107
1,-32.8218,-24.2875,0.0183825,-123.404,74.4832,29.6256,23.5825,14.4807,27.1937,9.91469,1.55241,-0.809426,2.3693,4.61737,-1.93928,-0.671338,0.0085436,0.00745745,0.00625361,0.00562932,0.00504484,0.00483567,0.00524913,0.00585699,0.0061239,0.00626808,0.00714521,0.00833021,433.909,1424.0,8.738,94.0784,1418.18,-31.876,41.1293,201.327,411.921,597.427,885.053,1028.22,1173.26,1444.48,1597.73,1816.07,2045.48,0.0318978,0.00142687,0.00093804,0.000821717,6.87487e-05,0.000242532,0.000203417,4.38044e-05,0.000244719,0.000388236
2,-34.7119,-26.5684,0.0216935,-139.531,78.4307,33.559,22.027,15.8595,17.8211,8.93942,0.0786348,-1.89387,1.28967,6.0097,3.25026,-1.87429,0.002758,0.0030208,0.00341039,0.00365851,0.0033451,0.00294214,0.00280998,0.00281815,0.00272045,0.00249758,0.00245305,0.00256495,446.942,1513.06,8.99129,97.0852,1313.28,-31.0572,40.3421,129.432,238.198,409.215,588.662,873.567,1056.76,1183.49,1338.77,1475.62,1575.46,0.0195624,0.0151089,0.00149987,0.00102606,0.000797567,7.17558e-05,9.477e-05,6.87174e-05,0.000122189,0.000141136
3,-33.2734,-24.6604,0.0168341,-141.88,79.7649,38.9311,23.4573,12.8766,14.5932,11.2003,4.78999,0.678614,1.49132,4.58804,3.97776,-4.42638,0.00887685,0.00721968,0.00539821,0.00432041,0.00357264,0.00342456,0.00406622,0.00494694,0.00548021,0.00596156,0.0072391,0.00877335,378.553,1296.46,10.5063,131.221,814.78,-33.9091,42.9004,204.144,408.985,571.739,690.418,883.448,1167.21,1442.44,1595.33,1699.29,1796.71,0.0351694,0.00103523,0.000861074,0.000418706,0.000647055,0.000169098,7.09092e-05,8.06831e-05,0.000161579,0.000193572
4,-35.4762,-24.863,0.0164996,-153.725,77.3415,40.0392,23.309,11.2401,12.3154,8.16513,2.7242,5.05421,-0.546117,2.78143,6.45673,-3.89259,0.00267176,0.0026142,0.00257091,0.00250837,0.00213481,0.00174066,0.00158121,0.00157141,0.0015718,0.00163903,0.00199263,0.00245178,434.462,1543.25,9.16484,98.8279,888.919,-31.2571,40.0278,128.624,215.92,443.046,591.866,734.847,882.887,982.788,1156.72,1400.15,1520.63,0.0150922,0.0159079,0.00113809,0.000996247,0.000258505,0.000714129,0.000120136,0.000130281,0.00010284,5.75556e-05
5,-35.6505,-28.0532,0.0167893,-165.353,78.6186,45.3354,24.2302,13.6346,8.0458,7.78112,6.10615,3.17108,1.9611,4.77596,0.101182,-1.49827,0.00425719,0.0035948,0.00286083,0.00236658,0.00184717,0.00152419,0.00158188,0.00181397,0.00201746,0.00235343,0.0031555,0.00407207,393.138,1422.27,10.3923,123.93,775.835,-33.189,43.0766,211.584,448.579,590.183,884.478,1192.66,1355.33,1473.37,1658.01,1786.0,1833.45,0.023636,0.0014692,0.000905919,0.000674206,0.000121821,3.31499e-05,7.92766e-05,2.97703e-05,5.73675e-05,5.87138e-05
6,-35.4994,-28.0532,0.0130006,-160.415,70.8052,41.6332,30.949,18.9956,6.28714,6.22379,-1.88332,2.24598,7.03612,4.63574,-1.94289,-5.48209,0.00422896,0.00346685,0.00264001,0.00209066,0.00156827,0.00128702,0.00141701,0.00172263,0.00197985,0.00235479,0.00317629,0.00409613,429.992,1543.25,9.31248,100.496,821.201,-31.4195,43.5449,211.491,445.68,591.625,881.901,1089.98,1189.56,1273.04,1378.17,1478.22,1774.43,0.0241846,0.00119936,0.000916215,0.000626905,6.89873e-05,8.34603e-05,2.22252e-05,2.77265e-05,2.05635e-05,4.73157e-05
7,-37.7208,-30.2802,0.0150614,-167.669,60.5952,59.9241,26.624,8.76869,8.05715,0.133897,3.28832,-1.47007,3.59654,1.5692,2.02899,-5.88276,0.0017749,0.00161305,0.00145165,0.00129287,0.0009511,0.000618099,0.000465674,0.000440027,0.0004924,0.000697158,0.001139,0.00161553,568.628,2011.19,6.84879,53.4024,893.929,-27.8325,42.4208,115.344,226.428,431.374,592.411,883.415,1093.16,1179.0,1288.62,1468.65,1733.47,0.0076299,0.0157271,0.00130181,0.000888444,0.00059012,5.28598e-05,9.67727e-05,2.3582e-05,1.6734e-05,3.61112e-05
8,-36.4427,-29.7607,0.0143286,-158.588,54.7109,68.404,27.3132,7.38765,12.0202,-0.603381,6.54794,-2.01879,1.84287,-2.29399,2.37772,-6.29074,0.00445741,0.00356727,0.00259462,0.00194793,0.0013788,0.00107708,0.00119567,0.0015,0.00179314,0.00227262,0.00325196,0.00431426,576.698,2052.53,6.49966,47.5323,861.053,-28.3183,44.095,101.722,213.223,427.502,588.404,884.903,1048.02,1169.5,1316.37,1608.99,1753.29,0.00773651,0.0253052,0.00155804,0.000913873,0.000549808,3.04055e-05,0.000114514,4.771e-05,1.71343e-05,6.28846e-05
9,-36.8759,-29.7607,0.0134684,-171.637,72.734,48.8213,23.3181,12.5909,5.54424,3.88712,-0.367376,0.574106,-2.04011,1.70775,-3.76023,-5.87416,0.00184818,0.00174023,0.00169082,0.0015582,0.00107862,0.000590633,0.00036625,0.000324087,0.000393038,0.000642349,0.00113953,0.00166588,501.327,1760.56,8.40189,80.3624,893.771,-29.9783,42.8968,96.8276,232.715,435.894,588.507,880.448,1024.56,1188.12,1387.31,1467.34,1765.48,0.00704462,0.0180874,0.00144066,0.000894517,0.00045268,5.32135e-05,0.000152386,2.14258e-05,2.11659e-05,0.000115385
