,loudness-0,loudness-1,loudness-2,bufmfcc_feats-0,bufmfcc_feats-1,bufmfcc_feats-2,bufmfcc_feats-3,bufmfcc_feats-4,bufmfcc_feats-5,bufmfcc_feats-6,spectral-0,spectral-1,spectral-2,spectral-3,spectral-4,spectral-5,spectral-6
0,-74.4185,-56.7186,0.0010668,-325.515,-12.9292,3.53219,12.4493,2.76012,14.8959,3.10222,6133.55,5496.94,0.853916,2.96016,17270.3,-4.65072,21.11
1,-59.4383,-46.241,0.00174228,-133.735,5.36535,-3.68466,16.2962,-0.696184,9.83945,0.577061,4347.56,4546.52,1.2431,4.04429,13909.6,-8.48828,27.4148
2,-55.1777,-45.3006,0.00195444,-105.885,4.0729,1.18738,2.07759,-9.46963,13.4483,-0.486597,4655.27,4863.0,1.04756,3.09777,14257.3,-8.4688,25.85
3,-54.1796,-45.3006,0.0110837,-132.983,44.7125,10.2463,14.6986,2.13013,8.0139,-2.31,1873.57,3407.33,2.96204,12.5621,9718.75,-15.3874,33.0228
4,-39.1063,-28.5747,0.0177118,-10.2052,12.5168,-17.75,17.1316,-5.40846,10.1161,0.466043,3961.13,3760.0,1.30384,4.68675,11192.2,-11.8333,24.5038
5,-35.0347,-24.0375,0.0181324,0.886928,42.3284,-25.3923,27.3821,-6.86325,13.9625,4.91652,2550.74,2884.13,1.66683,6.3567,8524.02,-20.1834,30.8055
6,-34.8309,-24.0375,0.0150901,-24.8038,68.6207,-29.4921,24.9007,-4.51951,6.75857,6.94109,1782.79,2219.55,2.4122,12.0712,6062.97,-24.7054,34.2065
7,-36.4262,-26.8185,0.013408,-45.1795,77.7427,-25.0604,20.0775,-3.37279,-1.44484,7.35168,1512.94,2003.57,3.07006,18.4282,5315.62,-25.7978,32.4806
8,-37.4527,-28.0569,0.0139715,-57.738,86.5702,-24.5939,11.0095,3.10949,-0.471852,5.49314,1325.39,1793.95,4.05633,30.8559,4631.27,-27.0109,32.4025
9,-37.0951,-28.0569,0.0134348,-69.0157,96.3472,-18.3505,6.62315,9.16866,-1.1645,9.13807,1098.45,1613.2,4.97872,44.526,3780.4,-28.9528,35.014
10,-37.4354,-30.116,0.0116189,-77.7377,98.632,-12.5445,4.4811,5.66004,-2.25028,8.73133,1009.32,1551.12,5.67368,54.0385,3688.17,-29.3319,34.7047
11,-38.6967,-28.5258,0.0118726,-88.4444,100.443,-11.8582,-3.8294,7.23768,-5.65843,4.90324,1046.57,1541.67,6.1865,61.5218,3424.46,-29.3651,33.4577
12,-38.5091,-28.27,0.0120335,-93.7375,103.305,-5.08122,-1.50659,7.82482,-3.04467,5.58733,924.125,1487.96,6.84548,72.1713,2924.52,-30.1255,34.2377
13,-38.3922,-28.27,0.0115145,-94.7607,104.201,-2.77109,-2.23564,7.53032,-1.41253,7.61159,884.986,1495.83,7.18352,76.9936,2636.86,-30.463,35.471
14,-38.7751,-30.0163,0.0109723,-100.132,105.222,-1.5492,-7.70417,8.48968,-1.3106,5.41806,904.515,1481.65,7.36293,79.9672,2589.72,-30.4415,34.5268
15,-39.1941,-31.1294,0.01126,-106.148,104.214,3.11164,-6.98992,9.3149,-2.98313,5.56311,849.339,1533.62,7.74058,83.5615,2424.07,-30.1088,34.7721
16,-38.9692,-30.3832,0.0106903,-108.009,104.419,6.97111,-4.74018,7.11717,0.990726,5.1581,768.679,1459.05,7.95744,89.0108,2253.26,-30.9927,35.758
17,-39.4202,-30.3832,0.0101286,-109.265,105.909,5.57712,-8.13628,7.85911,0.558933,6.57279,807.587,1453.65,7.95247,89.1604,2269.41,-30.7567,35.2646
18,-39.889,-33.1133,0.0105125,-115.871,105.061,12.2107,-12.3861,5.77107,0.315676,3.91858,803.689,1472.11,8.15613,89.4372,2187.43,-30.8677,34.8735
19,-39.5659,-33.2818,0.0105095,-120.725,105.942,16.9603,-10.0298,7.44955,1.60164,3.02239,721.56,1460.78,8.66212,98.2001,2094.66,-31.2277,35.4817
20,-39.5683,-33.2818,0.010378,-122.265,106.599,18.502,-9.7024,4.78746,5.06618,3.58586,709.201,1427.46,8.81916,102.048,2016.63,-31.6076,36.1081
21,-39.6778,-33.3774,0.00994004,-127.536,106.648,22.4675,-11.2842,1.77301,3.61778,4.71947,712.247,1456.23,8.99277,103.272,1739.57,-31.536,35.779
22,-40.0522,-33.5902,0.0102099,-127.134,103.668,24.9087,-10.6723,0.526896,3.99537,6.74721,720.859,1522.78,8.73234,95.43,1754.54,-30.6888,35.8585
23,-39.8196,-33.5902,0.00978351,-129.801,103.216,27.6373,-8.41512,0.386285,5.72193,5.57618,687.833,1520.13,8.81834,97.0011,1767.46,-30.9268,36.9635
24,-40.1901,-33.7518,0.010051,-133.798,105.98,28.2852,-11.4606,0.576573,4.7751,8.1945,683.882,1496.88,9.13503,103.526,1744.77,-31.2813,36.3582
25,-39.9558,-33.9627,0.00961741,-136.072,105.808,27.9881,-8.87365,0.461711,1.84227,8.08221,670.675,1458.97,9.23841,106.272,1689.48,-31.9538,36.2344
26,-40.3388,-33.797,0.0100738,-137.517,105.485,31.33,-10.1447,1.95255,2.69015,8.3198,653.129,1469.48,9.28062,105.735,1618.73,-31.8644,36.6384
27,-39.9362,-33.797,0.00916933,-141.835,103.786,36.0145,-8.3315,1.6023,2.8676,7.66523,626.542,1490.3,9.32725,104.877,1586.24,-31.8692,36.9952
28,-40.7532,-33.5583,0.00931076,-142.988,102.006,39.5397,-11.0735,-2.23188,3.3988,10.9367,643.203,1542.2,9.01488,97.1044,1571.38,-31.3437,36.6093
29,-40.6203,-33.3545,0.00890384,-145.324,103.23,38.3088,-9.22803,-3.53572,4.59833,9.74567,635.423,1551.71,9.2414,101.87,1499.06,-31.4092,36.7763
30,-41.0085,-33.3545,0.00893756,-114.437,78.0136,28.5317,11.0908,-11.4876,7.01682,8.42107,832.113,1991.06,5.99486,45.7113,2415.51,-25.3752,36.8766
31,-40.9756,-33.8934,0.00925195,-119.085,84.2059,22.3499,11.1385,-4.69495,4.70106,3.57597,777.137,1792.38,6.63112,56.8182,2261.09,-27.007,36.6667
32,-40.6753,-34.012,0.00949811,-131.898,95.0052,28.1816,0.611773,-1.46625,3.67304,9.44523,658.424,1581.5,8.27656,85.1817,1751.2,-29.7394,37.4745
33,-40.4473,-34.012,0.00875229,-103.323,61.5188,44.4941,1.98175,-4.8037,8.73076,2.42789,1080.42,2750.89,4.28448,21.7999,6395.09,-21.5867,37.2125
