,loudness-0,loudness-1,loudness-2,bufmfcc_feats-0,bufmfcc_feats-1,bufmfcc_feats-2,bufmfcc_feats-3,bufmfcc_feats-4,bufmfcc_feats-5,bufmfcc_feats-6,spectral-0,spectral-1,spectral-2,spectral-3,spectral-4,spectral-5,spectral-6
0,-48.8584,-36.2293,0.0242698,-141.345,42.9139,4.87009,11.767,13.8826,8.20754,2.30688,1940.8,3500.09,3.03736,13.0359,10039.6,-14.9258,34.787
1,-32.2987,-20.7982,0.0412015,26.1605,10.7958,-7.45735,14.0267,2.80083,10.2799,-2.10763,3937.35,4274.55,1.40794,4.44246,12879.8,-10.8478,27.5236
2,-27.7017,-19.2947,0.0481569,38.505,14.956,-5.46356,13.6268,4.99897,11.4631,-5.20732,3494.36,4214.87,1.64802,5.20266,12647.8,-14.5295,33.5563
3,-26.3468,-18.2402,0.0487416,27.253,21.6068,-8.19398,15.9562,1.43364,9.23272,-10.6961,2781.77,3645.94,2.02756,7.04754,11752.9,-18.2089,37.3739
4,-26.242,-18.2402,0.0481333,16.2638,20.3138,-11.52,19.8595,5.80366,13.0697,-10.7285,2672.72,3480.24,2.08162,7.50054,11140.9,-20.2753,38.3957
5,-26.3511,-19.1718,0.046814,6.1771,26.6659,-18.2118,20.1562,3.06085,11.949,-11.4932,2344.16,3009.27,2.25454,8.94012,9240.01,-23.3102,39.1323
6,-26.5925,-18.6719,0.0444766,-2.19036,31.4177,-24.2562,19.46,-0.0254199,9.38391,-11.446,2199.13,2745.63,2.30942,9.67242,8079.06,-25.1096,39.4973
7,-27.0374,-20.0789,0.042127,-1.02807,27.0371,-19.871,14.8879,1.63234,9.12375,-11.172,2341.67,3058.79,2.41836,9.9406,9163.48,-22.226,39.4737
8,-27.5088,-20.5384,0.0403951,-7.53755,25.9403,-17.7012,9.50443,0.701904,9.49586,-13.4742,2374.03,3243.12,2.41923,9.38851,10317.6,-22.7682,39.914
9,-27.8734,-21.0834,0.0387784,-10.2903,25.0482,-18.3807,6.435,2.5701,6.72694,-12.8656,2276.31,3190.53,2.63444,10.8925,10111.6,-21.9408,40.0422
10,-28.2282,-22.0022,0.0377277,-24.1569,37.736,-27.9269,10.1168,-1.51449,4.64353,-11.7979,1938.68,2629.11,2.88621,13.6232,6833.39,-27.4134,40.4655
11,-28.4668,-22.1585,0.0368503,-33.1654,42.8388,-28.1554,8.0509,-2.24876,6.64114,-9.88677,1737.03,2334.99,3.15557,16.6725,6354.39,-27.9628,40.8464
12,-28.6712,-22.1585,0.0364159,-32.8416,42.7361,-28.7675,8.07438,-0.912363,4.9605,-10.7698,1799.52,2451.13,3.18843,16.6411,6401.55,-27.3613,40.8005
13,-28.7742,-23.0292,0.035302,-42.8127,49.1945,-35.9051,8.81822,-2.15077,5.28254,-11.9238,1655.91,2107.01,3.23183,18.6567,5516.64,-29.4015,41.0643
14,-29.044,-23.0805,0.0338048,-48.4857,58.0557,-38.0059,10.8354,0.805844,5.21255,-7.6593,1568.14,1916.39,3.26756,20.8126,4813.16,-30.5496,41.0874
15,-29.4204,-22.4862,0.0325869,-55.8182,60.1798,-40.8821,8.92437,1.34651,3.03623,-6.05049,1530.77,1837.13,3.32807,22.4438,4382.96,-31.65,41.2594
16,-29.7391,-24.1006,0.0313223,-61.4467,65.2374,-40.8927,8.97288,1.41411,3.58297,-4.29454,1464.92,1762.09,3.46431,24.6746,4342.79,-32.591,41.3671
17,-30.0829,-25.1863,0.0305507,-63.8704,66.036,-42.4985,8.91729,1.84542,0.0563212,-3.37854,1466.64,1745.69,3.42849,24.6189,4343.62,-32.8867,41.4142
18,-30.2996,-24.6053,0.0297724,-65.9964,66.7082,-41.8903,8.38702,2.40191,-0.436584,-1.99485,1443.1,1756.13,3.64376,27.3152,4333.32,-32.2111,41.4278
19,-30.5237,-24.6053,0.028988,-70.7645,68.0742,-44.2962,7.58564,0.257292,-1.90619,-2.50039,1428.06,1711.62,3.52234,26.3222,4329.81,-32.9424,41.5142
