,loudness-0,loudness-1,loudness-2,bufmfcc_feats-0,bufmfcc_feats-1,bufmfcc_feats-2,bufmfcc_feats-3,bufmfcc_feats-4,bufmfcc_feats-5,bufmfcc_feats-6,spectral-0,spectral-1,spectral-2,spectral-3,spectral-4,spectral-5,spectral-6
0,-21.7039,-12.537,0.111608,61.5061,38.062,0.76779,19.874,14.1403,8.34315,4.69441,2053.89,3546.26,2.93234,12.7751,9362.06,-14.2128,35.2227
1,-19.0461,-12.2095,0.099725,29.0223,57.4201,-30.2483,35.9443,-1.09611,18.773,-5.52917,1628.87,2292.29,2.229,9.27754,6289.29,-28.8957,41.4422
2,-20.0239,-12.2095,0.0904548,22.0701,62.3795,-35.0829,36.528,-0.686998,18.0965,-6.81465,1622.62,2188.4,2.16417,9.22865,6074.56,-30.2806,41.2086
3,-20.8714,-14.1767,0.0845294,13.615,63.6065,-34.7363,34.6901,-0.383454,14.8221,-3.45998,1583.23,2130.17,2.18938,9.6257,6028.82,-30.4632,41.5589
4,-21.4598,-14.1594,0.0785495,4.18719,69.8788,-36.5382,35.218,-0.133289,11.7798,-2.8159,1471.56,2015.78,2.27364,10.502,5552.8,-31.3524,41.8479
5,-22.0971,-14.1594,0.0739377,0.652841,71.5381,-37.4933,35.8153,2.01337,10.2033,-3.7242,1467.16,1981.36,2.24537,10.6142,5448.24,-31.828,41.5952
6,-22.6227,-15.2389,0.0694111,-4.26191,73.948,-35.9211,34.2887,2.96505,10.1265,-3.33944,1411.89,1925.16,2.3701,11.7116,5186.18,-32.1151,41.4496
7,-23.1714,-15.4405,0.0640729,-7.46466,75.4745,-35.5229,31.552,7.44427,7.10897,-3.04529,1412.91,1881.77,2.40327,12.7113,5110.27,-31.751,41.1536
8,-23.8665,-16.0634,0.0600668,-13.4818,80.6166,-38.3492,31.434,6.38262,6.86084,-3.1494,1386.99,1826.54,2.43071,13.384,4959.33,-32.6625,41.2164
9,-24.4273,-17.0462,0.0574149,-17.4096,81.4631,-37.0813,29.8774,5.37915,5.30735,-1.6097,1347.83,1805.98,2.4796,13.4756,4937.57,-32.4352,41.4543
10,-24.8195,-17.2058,0.0547315,-21.1384,83.4833,-35.5281,27.073,7.21803,3.59143,-0.678922,1308.09,1771.11,2.68186,15.9235,4893.9,-32.4075,41.5167
11,-25.2353,-18.3903,0.0515358,-21.3717,84.1069,-35.9223,25.9476,8.31132,4.95748,-1.7889,1324.93,1746.37,2.66376,16.0722,4686.15,-32.1684,41.1829
12,-25.7578,-18.7539,0.0467463,-24.9817,86.3745,-36.9026,24.4137,10.0365,3.72984,-2.56784,1329.01,1711.76,2.61585,16.1827,4204.95,-32.6916,40.8121
13,-26.6051,-18.9355,0.0423225,-32.8434,92.0214,-36.9213,23.2857,8.9991,1.72453,1.33717,1256.12,1646.78,2.75927,18.0295,4031.6,-33.5697,40.6989
14,-27.4686,-20.7718,0.0380492,-35.8565,91.0078,-36.0667,20.2242,9.77281,-0.962363,-0.558242,1286.23,1664.26,2.82118,18.8062,4030.21,-33.027,40.5572
15,-28.3931,-20.8509,0.032158,-31.0916,83.1958,-31.4373,14.3272,7.98527,1.19089,-4.09497,1334.97,1737.76,3.14033,21.0586,4050.75,-29.8145,40.2983
16,-29.8542,-22.2066,0.0241833,-68.0175,99.8725,-15.2199,6.51223,12.8902,3.36931,1.42177,849.898,1379.85,5.48207,54.484,3233.28,-32.2208,41.845
17,-32.3297,-24.0237,0.0160388,-38.3312,40.3889,14.3623,14.427,-1.00872,16.2089,4.17738,1675.49,3253.61,2.99427,12.4973,9277.08,-16.7978,40.6657
18,-35.8966,-25.5994,0.045294,-82.209,62.387,8.05141,18.8545,-1.07971,12.252,1.28961,1090.08,2281.49,4.12363,23.452,5709.18,-23.2931,39.4193
19,-26.8792,-16.0817,0.0746909,49.3972,14.1014,-7.10867,17.9637,4.01717,17.9107,-0.311606,3569.57,4084.93,1.38346,4.28601,12272.4,-12.1474,31.8411
20,-22.5346,-15.3763,0.0785755,48.6142,28.8131,-12.6787,23.382,5.36157,23.2905,2.49553,2407.12,3290.76,1.92631,6.64613,10085.1,-19.7138,39.3321
21,-22.0943,-15.0313,0.0661974,33.3474,41.9935,-20.1835,29.1966,6.37201,26.4147,-0.66684,1926.86,2743.72,2.1975,8.39999,8252.3,-24.5047,40.2421
22,-23.5832,-15.0313,0.0624273,22.0152,50.8946,-29.005,31.6894,1.74486,26.138,-1.69351,1924.69,2533.46,2.08055,8.20014,7284.15,-26.5568,39.5675
23,-24.0925,-16.6607,0.0634084,15.6507,56.2486,-32.3611,33.6527,1.78372,26.0402,-0.6393,1795.03,2377.35,2.12385,8.64145,6724.45,-27.6622,39.9007
24,-23.9571,-17.299,0.0621015,8.67642,61.7589,-34.421,32.3471,1.93937,23.4583,0.321431,1651.43,2213.25,2.26439,9.91288,5997.34,-28.415,40.4472
25,-24.138,-17.8647,0.0599286,1.12671,67.3112,-36.4144,31.723,1.35647,21.7655,2.29978,1559.9,2088.57,2.34242,10.7724,5920.43,-29.7569,40.5495
26,-24.4473,-18.2679,0.0569162,-2.74063,68.9401,-38.4226,28.7254,5.43178,19.237,1.80175,1542.9,2004.74,2.38582,11.769,5337.89,-30.465,40.4934
27,-24.8953,-18.2679,0.0541593,-7.85434,71.9828,-39.4334,27.3337,5.0542,18.3738,2.43607,1489.64,1932.62,2.48226,12.8802,5227.26,-30.4875,40.6808
