,loudness-0,loudness-1,loudness-2,bufmfcc_feats-0,bufmfcc_feats-1,bufmfcc_feats-2,bufmfcc_feats-3,bufmfcc_feats-4,bufmfcc_feats-5,bufmfcc_feats-6,spectral-0,spectral-1,spectral-2,spectral-3,spectral-4,spectral-5,spectral-6
0,-52.5903,-40.9716,0.00379954,-175.158,39.9887,11.1581,17.4317,7.85445,11.1138,10.6617,1782.2,3507.54,3.13462,13.7735,9086.91,-15.5941,32.7984
1,-48.4054,-40.9716,0.0219084,-129.999,42.967,4.89662,23.7996,7.74944,18.0972,13.3227,1368.65,2834.51,3.36806,16.4878,7306.29,-19.1988,38.1781
2,-33.1878,-19.6723,0.0591622,-41.8712,15.851,-4.6122,29.479,-0.506405,17.8735,4.88456,3531.27,3914.19,1.26077,4.13972,11897.6,-12.3786,30.6466
3,-24.5591,-14.8736,0.0810624,22.6359,31.9387,4.17578,21.2753,5.74523,20.6523,0.803355,2090.54,3457.57,2.2563,7.7858,10532.3,-16.6368,38.0862
4,-21.8236,-14.0055,0.0834994,4.30366,70.5847,2.66204,28.4846,0.591249,19.3974,1.15397,867.123,1884.82,4.27916,25.4216,4378.92,-27.3277,40.4551
5,-21.5663,-13.6166,0.0828842,-39.4396,103.497,7.51513,23.3322,7.4863,16.1869,2.21646,464.018,1061.69,7.72231,88.998,1863.92,-36.8378,40.8541
6,-21.6306,-12.6226,0.0777134,-77.5452,111.247,24.025,22.8052,12.8463,14.8304,6.26941,318.537,796.685,12.8178,232.597,848.805,-41.2046,41.8934
7,-22.1901,-14.8833,0.0710785,-106.55,108.978,37.4786,29.4782,13.4689,13.4934,5.59331,283.107,738.052,15.922,331.854,659.812,-42.5674,40.253
8,-22.9652,-16.8591,0.0562206,-122.36,104.829,43.7048,31.7177,18.6844,14.7479,8.29786,254.532,713.96,17.5849,387.545,496.783,-43.3875,41.3709
9,-25.0021,-18.3718,0.0524001,-136.289,99.1643,47.8729,38.009,20.2071,14.189,8.51246,252.154,752.376,17.7402,384.914,392.724,-43.0685,43.4331
10,-25.6133,-19.052,0.0523104,-144.739,94.2276,48.0998,39.192,26.3659,16.9256,4.67667,270.279,793.003,17.2219,355.614,383.124,-42.2939,40.9666
11,-25.6282,-19.1397,0.0493319,-152.051,90.1759,53.7929,38.1504,24.6138,21.1851,9.23112,248.305,779.582,17.7049,369.095,357.828,-42.7556,40.8891
12,-26.1375,-18.3144,0.0567474,-158.234,92.4676,55.4491,38.635,29.777,17.8358,7.98097,227.699,751.844,19.076,423.414,356.294,-43.9955,43.7744
13,-24.9211,-17.9596,0.0562764,-160.875,89.5617,59.2688,40.232,26.013,17.0209,8.67482,229.957,781.639,18.6316,400.807,347.475,-43.2392,41.3078
14,-24.9935,-17.9596,0.049918,-161.516,88.0298,58.7574,42.647,28.3204,19.1637,6.51166,218.277,728.831,19.5121,442.102,331.424,-44.3877,42.35
15,-26.0349,-18.5443,0.0541634,-169.591,88.3052,61.4575,43.6068,29.7699,17.8818,7.99747,210.231,739.72,20.1085,462.477,331.223,-44.9062,44.5282
16,-25.3259,-18.5443,0.0476994,-164.395,88.4237,58.474,37.3925,25.8494,18.7994,10.5319,224.995,790.769,18.1318,378.193,339.441,-43.1624,42.8395
17,-26.4298,-19.3483,0.041358,-169.389,85.1642,56.6144,40.6543,29.9065,22.8228,10.0465,222.602,784.046,18.4449,392.749,326.558,-43.4708,42.5759
18,-27.6688,-20.0948,0.0459382,-175.79,85.6343,59.3466,38.8453,28.5542,21.3073,16.6246,214.201,784.004,19.0324,412.109,322.151,-43.9467,44.4722
19,-26.7565,-20.0948,0.0421385,-182.128,83.2731,62.6147,37.8192,26.8275,21.3943,12.2473,220.146,850.258,17.63,351.391,331.051,-42.7349,43.5926
20,-27.5064,-20.3172,0.0398884,-190.252,80.8226,63.3242,41.1092,29.9213,21.8168,17.7039,207.686,781.883,19.3281,420.079,300.633,-44.2716,43.5876
21,-27.9831,-20.3447,0.0432046,-191.694,75.2964,58.4008,40.0505,34.7552,28.3388,23.2621,202.534,796.724,19.1502,410.989,269.998,-44.2072,44.9086
22,-27.2894,-20.3447,0.0393338,-192.588,64.5513,54.7881,40.7831,33.5745,32.0502,26.0819,221.684,974.534,15.4917,269.584,257.646,-40.7504,45.2152
23,-28.1047,-20.7663,0.0367241,-178.955,58.7804,45.2836,44.4629,30.8559,37.5057,27.1499,236.505,977.864,14.0718,230.827,253.729,-40.2654,44.7701
24,-28.701,-21.2471,0.0478236,-53.9282,3.54393,18.9228,48.3507,25.7297,27.6685,9.39624,1637.17,3462.07,2.58482,9.50432,9713.95,-17.911,43.3129
25,-26.4072,-17.3623,0.0604851,-36.1414,48.5267,3.76596,31.6885,13.1735,18.5931,6.2788,1048.81,2371.44,3.63788,18.5477,5776.88,-23.5037,41.6303
26,-24.367,-17.3623,0.0559881,-17.6581,45.3188,14.4525,29.697,14.3368,19.9057,6.17863,1036.88,2522.31,3.91469,20.2071,6551.37,-22.2206,39.2827
27,-25.0381,-16.6874,0.0567498,-45.8825,62.9931,13.6333,37.1934,15.4087,21.8716,5.93106,622.721,1684.15,5.51179,40.2964,2882.41,-29.6533,39.6951
28,-24.9207,-15.9235,0.0586216,-95.6709,95.3622,22.3907,31.0741,23.2852,18.8257,4.94857,345.58,952.218,11.0688,168.888,771.268,-38.6261,38.9388
29,-24.6388,-15.9235,0.0429518,-142.544,93.1089,41.9184,36.3978,29.2135,18.5316,4.39431,284.057,872.129,15.2589,286.608,421.12,-40.8312,40.2628
30,-27.3404,-18.1638,0.0347172,-166.393,86.5506,53.5934,36.6948,33.4432,23.2557,10.2239,249.125,799.922,18.113,378.59,341.971,-42.821,41.9267
31,-29.1891,-21.6573,0.0298866,-169.845,77.8307,56.3027,42.7549,31.8241,20.8443,8.55313,254.859,896.358,15.987,292.904,341.996,-41.1502,39.9638
32,-30.4905,-20.9554,0.0218669,-174.984,67.9233,54.6589,47.1166,29.8219,20.8419,8.64031,277.561,1033.09,13.5097,210.574,342.842,-38.5772,39.6681
33,-33.2043,-24.477,0.0245992,-162.746,64.2417,42.2627,45.381,27.0986,19.0635,9.62903,325.145,1161.43,11.5137,157.212,347.165,-35.9655,42.7605
34,-32.1816,-24.477,0.0273781,-121.822,61.6662,22.7187,43.4864,14.2016,16.0794,9.50702,496.048,1525.96,7.18097,66.3705,1414.1,-30.6832,41.7064
35,-31.2519,-23.2284,0.0243023,-155.007,59.3915,33.8179,45.4941,27.5256,17.0252,7.78773,417.145,1440.04,8.86571,95.5323,477.891,-32.1699,42.3445
36,-32.2871,-23.2284,0.024869,-152.189,63.5417,37.9221,44.355,25.9858,23.5504,10.208,355.721,1262.2,10.2197,125.57,365.528,-34.6257,42.0366
37,-32.0868,-23.2776,0.0262226,-156.072,69.9621,40.8267,42.7831,27.5865,19.3685,14.259,300.086,1084.0,12.3104,180.299,334.851,-36.96,40.3328
38,-31.6265,-23.2776,0.0245598,-160.6,62.2334,39.3347,49.9065,29.3988,16.3817,13.0217,336.234,1233.58,10.4817,132.322,359.774,-34.8265,41.2563
39,-32.1955,-24.1452,0.020028,-162.361,64.1638,36.6761,43.7285,29.1745,15.3993,11.9096,362.426,1292.7,10.4013,129.077,369.917,-34.109,41.5598
40,-33.9673,-25.1088,0.0194862,-167.339,67.8943,41.8393,46.503,29.099,12.819,8.58621,331.387,1173.17,11.7873,164.22,353.923,-35.9223,42.4758
41,-34.2054,-26.6859,0.0198217,-181.087,64.3398,47.2857,44.9611,28.5326,10.0391,7.80143,361.334,1298.25,10.8112,135.301,373.652,-34.5122,41.42
42,-34.0572,-26.7714,0.0164636,-183.681,61.9998,41.6071,39.9925,26.3067,8.23159,5.65299,415.027,1458.93,9.8581,112.468,385.444,-32.74,42.7736
43,-35.6695,-26.7714,0.0173635,-183.851,68.8668,48.2703,42.5255,31.1237,17.3449,10.2482,318.424,1166.47,12.6367,182.972,346.99,-36.6488,42.5
44,-35.2072,-26.3113,0.020326,-187.159,72.6972,51.0285,36.1789,31.0667,14.2642,9.92989,322.965,1239.24,12.2338,168.516,361.899,-36.2425,40.6041
45,-33.839,-26.3113,0.016094,-182.381,69.2082,43.2679,35.3569,23.7813,17.2484,15.6391,374.593,1399.93,10.3547,124.072,387.68,-33.1874,41.2239
46,-35.8667,-26.7551,0.0157672,-183.307,68.766,52.649,40.5248,25.3034,20.2644,12.5924,305.003,1188.29,12.3814,175.022,341.038,-36.8466,40.706
