,loudness-0,loudness-1,loudness-2,bufmfcc_feats-0,bufmfcc_feats-1,bufmfcc_feats-2,bufmfcc_feats-3,bufmfcc_feats-4,bufmfcc_feats-5,bufmfcc_feats-6,spectral-0,spectral-1,spectral-2,spectral-3,spectral-4,spectral-5,spectral-6
0,-48.7507,-33.0775,0.00374554,-63.0291,23.6643,4.52851,8.55189,6.9845,-0.0604703,3.04232,2607.32,4448.78,2.39579,8.49669,13456.6,-11.2739,37.9759
1,-48.5297,-33.0775,0.0612833,-83.2305,8.33424,-14.6356,3.29182,-11.949,7.253,2.33469,2530.05,3811.85,2.07468,7.54592,10893.4,-14.7192,40.5838
2,-24.2532,-12.0717,0.0977441,-23.8565,30.3061,10.967,27.5761,7.42795,15.5478,-1.48359,2134.99,3600.44,2.30284,8.40162,10454.5,-16.0096,33.5447
3,-20.1982,-12.0717,0.088085,21.0151,46.3606,17.9835,31.1589,8.98795,15.8633,-0.668596,1048.38,2513.07,3.83641,19.0121,6420.89,-23.3796,39.4945
4,-21.102,-14.4795,0.0757783,9.17841,61.0402,15.0683,28.9247,4.86101,8.42844,-2.79079,918.351,2102.77,4.52657,27.2651,4576.34,-26.1106,36.9056
5,-22.4091,-14.2144,0.0852357,-5.31624,73.2744,11.806,32.8193,1.97406,4.21517,-2.27407,773.417,1762.49,5.25679,38.7549,3758.46,-29.6116,37.3827
6,-21.3876,-13.4322,0.0905222,-11.5409,73.4351,11.7369,33.7148,6.81615,5.82386,0.885437,740.713,1733.58,5.51869,42.9121,3712.99,-29.7128,39.1962
7,-20.8649,-13.4322,0.0903259,-18.2132,77.9044,11.2874,36.9681,5.60964,4.78359,0.638473,679.162,1576.16,6.08725,52.5123,3359.93,-31.3371,38.3292
8,-20.8838,-13.397,0.0820941,-24.2775,84.4715,12.2743,36.9598,9.9137,1.95965,-0.0198922,555.909,1353.93,7.31454,76.0192,2234.3,-34.168,37.8603
9,-21.7138,-13.1874,0.0793164,-29.1318,81.2692,14.3894,38.2307,13.2708,3.31986,-0.865843,543.468,1393.24,7.36312,75.8133,2245.81,-33.7494,37.7453
10,-22.0127,-13.1874,0.0761705,-36.7509,84.1651,9.35112,34.0654,12.4668,-1.68921,1.40434,617.749,1525.69,6.97959,69.2357,2967.28,-32.3878,39.7387
11,-22.3643,-15.0589,0.0765285,-39.1597,87.7744,9.96031,32.0743,12.4378,-4.4884,2.0066,618.853,1471.77,7.27559,75.2841,2748.29,-32.9455,39.44
12,-22.3235,-13.8011,0.0756878,-41.3195,90.9123,13.2131,30.174,14.5584,-1.96619,3.56533,521.546,1300.77,8.53287,101.163,1771.6,-35.069,37.3262
13,-22.4195,-13.8011,0.0719831,-41.9676,94.2851,13.6499,26.1867,12.9941,-3.65249,4.99515,512.155,1288.76,9.06119,112.175,1706.21,-34.8676,37.1205
14,-22.8554,-15.0111,0.0602047,-31.5951,75.9008,18.9099,24.9846,5.00407,6.29848,-0.414551,632.016,1636.27,6.67956,58.7981,2273.69,-29.8605,38.5467
15,-24.4074,-15.6581,0.0521196,-4.00431,53.4937,23.1381,21.6166,2.68004,6.42544,-4.08729,1150.82,2659.44,4.00049,20.7815,6709.78,-20.7479,37.765
16,-25.66,-18.6913,0.0461126,-19.9391,63.3927,22.1288,19.9066,6.06607,6.37197,-4.70897,924.132,2221.23,4.98322,31.5216,4115.92,-23.9847,36.7771
17,-26.7236,-18.8782,0.0403238,-21.5854,61.0547,18.5419,27.866,6.55798,8.67376,-7.57566,830.785,2087.06,4.94764,32.0287,4193.2,-25.1239,35.6653
18,-27.8888,-19.1111,0.0410087,-21.4763,42.5433,21.9903,23.7982,9.75696,17.1207,-3.4037,1137.17,2818.62,3.61133,16.7165,7819.81,-21.5885,39.4412
19,-27.7425,-18.7498,0.0304478,-42.1729,50.6228,27.4675,30.8885,17.9478,25.9938,0.7238,680.768,2118.93,5.27511,34.1455,3547.65,-26.675,37.7547
20,-30.3289,-19.5051,0.0215185,-84.0874,47.0807,26.0016,28.7525,15.6942,21.7636,12.4078,639.785,2178.97,5.67835,39.3833,3363.88,-25.6635,39.6237
21,-33.3438,-22.1933,0.0142143,-108.103,47.8665,28.5557,32.9918,17.3275,8.69373,8.75691,888.328,2663.84,4.92487,29.7845,5324.32,-22.2575,41.7592
22,-36.9455,-26.5811,0.010274,-131.215,46.4247,38.2751,29.6915,20.1267,17.7132,15.3833,530.373,2210.1,6.63948,50.7181,1431.66,-26.7018,41.8014
23,-39.7652,-26.3051,0.00924109,-141.261,42.4151,38.7241,31.2225,21.2073,16.3567,17.8595,427.369,2038.1,7.32641,60.9557,648.363,-28.6015,44.5304
