,loudness-0,loudness-1,loudness-2,bufmfcc_feats-0,bufmfcc_feats-1,bufmfcc_feats-2,bufmfcc_feats-3,bufmfcc_feats-4,bufmfcc_feats-5,bufmfcc_feats-6,spectral-0,spectral-1,spectral-2,spectral-3,spectral-4,spectral-5,spectral-6
0,-71.195,-57.2235,0.000342993,-205.44,29.3802,8.87592,0.0413423,3.84071,-7.92182,-0.29204,2818.51,4705.84,2.31931,7.69836,15303.2,-10.7869,34.1816
1,-69.2943,-52.4586,0.000381193,-195.875,20.6671,2.42291,-2.42931,8.71888,7.69019,10.9632,2450.6,4659.28,2.49343,8.59289,14736.4,-12.0965,42.2526
2,-68.3771,-47.263,0.00750399,-211.749,12.7865,14.8665,3.99019,1.62282,10.0019,11.1368,1865.79,4405.2,2.81417,10.336,13050.2,-14.3796,46.831
3,-42.4942,-30.4242,0.00971173,-57.0544,-6.73557,6.83053,19.6895,5.59324,22.9985,-0.641542,4705.67,4925.51,0.847275,2.68688,14002.6,-8.50432,31.996
4,-40.2541,-30.4242,0.0120753,-26.287,15.8032,1.04303,23.6567,6.64597,17.5336,3.07024,3211.72,4104.9,1.54883,4.92528,11888.6,-12.2293,34.2905
5,-38.362,-28.2026,0.0126693,-17.593,13.9865,1.76903,19.2148,-3.66109,15.9372,6.05208,3675.75,4256.72,1.29192,4.01752,12331.8,-11.3732,32.5916
6,-37.945,-28.2026,0.0107142,-28.6028,29.7303,5.46249,14.4206,-5.84874,9.69973,-2.69742,2550.61,3746.77,2.03179,6.83252,10945.8,-13.9492,35.1855
7,-39.4008,-30.3349,0.00990493,-53.0323,35.7179,10.5577,17.5835,-4.65129,8.8524,0.340508,2092.96,3471.58,2.43658,8.89601,10401.5,-15.5944,32.6769
8,-40.083,-30.3349,0.0091756,-89.1797,52.1092,9.68351,24.2965,-2.78522,8.03894,6.62051,1359.39,2660.19,3.58007,18.2949,6813.88,-20.7052,37.1084
9,-40.7473,-31.7039,0.0104842,-107.574,61.8052,12.7247,22.1772,-3.03146,-0.0309107,3.23146,1083.13,2319.31,4.72992,30.2893,5572.27,-23.395,37.5785
10,-39.5893,-31.7039,0.00951786,-116.877,63.9738,15.5263,25.5229,2.88375,2.74827,2.95416,908.293,2135.42,5.42228,38.8485,4211.41,-25.9794,37.1103
11,-40.4292,-32.3126,0.00970911,-121.393,64.8434,15.5503,22.4111,-0.206455,-3.12424,1.54237,951.99,2163.0,5.34353,37.6996,4271.28,-25.3481,38.6142
12,-40.2564,-32.3126,0.0100977,-123.254,67.1265,16.672,21.9828,1.97453,-1.12974,1.73147,884.386,2047.9,5.62326,41.5918,3875.39,-26.5485,38.1366
13,-39.9156,-31.521,0.00905352,-128.66,69.2487,21.6311,20.7306,4.23943,0.474289,0.954421,786.57,1997.44,6.22256,49.1894,3264.94,-27.1852,37.1715
14,-40.8636,-31.292,0.00935372,-131.281,66.8971,20.4735,20.5451,6.85806,-1.50454,0.268667,784.255,2038.08,6.15397,47.8658,3281.24,-26.9585,37.6142
15,-40.5803,-32.1662,0.00967454,-132.831,70.5667,19.9964,18.4449,4.08711,-2.14973,1.28602,764.759,1969.75,6.47869,52.8961,3232.86,-27.4937,37.4315
16,-40.2874,-32.5607,0.00838359,-134.375,68.6597,22.1982,16.0594,4.4646,-2.44996,-0.0431914,815.693,2058.71,6.25327,48.524,3253.11,-26.7966,37.7313
17,-41.5314,-32.8989,0.00885137,-137.596,67.9368,24.0122,17.1837,6.31296,-2.83679,0.498411,727.929,2031.27,6.53614,52.4289,2792.07,-27.243,37.3027
18,-41.0598,-32.8989,0.00929731,-130.559,64.6056,22.6166,18.5359,6.12176,-0.552063,-1.14033,751.349,2074.06,6.18548,47.4827,3233.83,-25.9028,36.7235
19,-40.6329,-33.235,0.00854626,-133.035,65.4472,22.8364,18.5949,3.86424,-1.7509,-2.88382,787.784,2086.3,6.18943,47.5054,3229.5,-25.8339,37.2626
20,-41.3645,-34.7446,0.00718873,-98.0039,35.8414,21.0665,17.6462,-0.235334,11.6485,-6.19761,1698.48,3396.52,2.98335,12.1656,9562.99,-17.1003,37.7014
21,-42.867,-34.7446,0.00520412,-134.316,52.9289,22.8039,22.143,4.45749,10.0518,0.591691,983.805,2553.13,4.80462,29.1771,5897.92,-22.2872,39.8751
22,-45.6731,-35.9054,0.00295092,-101.285,25.5963,-3.66829,36.2096,10.6191,8.76572,-6.59836,2282.63,3434.44,2.18946,8.55338,10005.2,-15.3124,35.0316
23,-50.6008,-39.5591,0.00184295,-129.672,41.7653,-0.00695745,23.6297,6.95923,-1.23649,-0.265777,1747.76,3139.02,3.21335,15.4205,7951.81,-16.8815,32.8811
