,loudness-0,loudness-1,loudness-2,bufmfcc_feats-0,bufmfcc_feats-1,bufmfcc_feats-2,bufmfcc_feats-3,bufmfcc_feats-4,bufmfcc_feats-5,bufmfcc_feats-6,spectral-0,spectral-1,spectral-2,spectral-3,spectral-4,spectral-5,spectral-6
0,-47.3398,-35.3614,0.00756795,-175.601,77.4669,13.3248,6.5506,16.9344,17.1498,10.1646,785.893,1985.76,6.36062,51.7685,3074.06,-25.528,36.0483
1,-42.4204,-35.3614,0.00941935,-165.272,86.5026,23.3527,5.79371,15.6725,15.8145,12.5892,519.315,1570.11,8.5504,90.0423,1793.59,-30.0921,40.241
2,-40.5196,-33.7368,0.010101,-171.912,85.6147,35.3137,5.81792,16.1186,20.6082,13.8492,433.003,1466.18,9.46275,106.129,1425.76,-32.0237,41.2076
3,-39.9127,-32.5091,0.00975601,-173.557,79.3625,37.8925,8.33092,8.92892,24.5081,16.3153,449.489,1555.57,8.69117,89.7081,1454.82,-31.1351,42.8134
4,-40.2146,-32.5091,0.00794477,-166.265,72.284,33.5782,23.5256,4.8487,18.0756,18.2382,494.897,1684.22,7.70909,72.5426,1485.38,-29.1655,42.4467
5,-41.9984,-33.6322,0.00655544,-148.351,67.8158,16.8547,27.0718,5.11443,16.4376,22.3679,693.197,1914.45,5.99656,47.6525,3134.84,-26.6163,41.2704
6,-43.668,-36.0716,0.00651419,-168.34,68.6146,27.2532,22.0157,11.7813,11.7687,13.6103,608.453,1913.53,6.87641,57.7881,2063.22,-26.8001,40.591
7,-43.7228,-35.634,0.00579434,-185.139,74.2643,35.5805,13.1687,12.7356,14.427,14.3581,529.116,1828.73,7.79493,71.1077,1502.45,-28.4671,40.1812
8,-44.7399,-35.634,0.00694988,-194.309,79.8495,42.3367,8.98763,10.886,15.5393,16.4871,461.128,1684.04,8.84692,89.7467,1402.32,-30.6794,40.7719
9,-43.1605,-34.4331,0.00741951,-191.003,80.4795,36.3781,12.4629,19.6122,15.0827,13.4793,427.87,1579.05,9.37632,101.581,1182.08,-31.6726,41.2877
10,-42.5925,-34.4331,0.00661865,-185.525,74.0594,32.7812,16.2375,16.8875,15.3026,18.4181,482.406,1717.51,8.27412,80.4309,1462.64,-29.5158,42.7096
11,-43.5846,-35.0908,0.00655996,-193.004,71.0692,38.6417,18.3063,16.671,15.8832,17.8646,454.824,1716.95,8.39471,81.4843,1197.07,-30.0846,42.8287
12,-43.662,-37.2297,0.00557449,-199.801,74.1224,44.0296,13.4973,16.3701,20.1743,17.1806,423.995,1638.42,9.04434,93.0072,1124.0,-31.5269,41.2278
13,-45.0759,-37.2297,0.00504977,-205.024,71.7489,45.343,11.5707,14.1023,19.9892,17.1906,498.226,1879.31,7.97737,72.115,1401.62,-29.5246,42.3921
14,-45.9346,-37.853,0.00523397,-205.939,71.0721,42.472,9.3963,18.72,17.8205,15.0973,535.829,1995.34,7.56905,64.7304,1458.19,-28.5859,42.4365
15,-45.6234,-37.8519,0.00534101,-203.233,75.4431,39.8516,8.98339,21.3889,15.1954,16.2423,505.647,1873.57,8.19827,75.6732,1428.44,-29.5724,41.1422
16,-45.4475,-37.8426,0.00572887,-210.795,73.1518,48.3321,9.13121,16.616,18.3603,17.2869,492.788,1886.91,8.10463,73.4427,1186.05,-30.1837,42.5858
17,-44.8386,-37.6882,0.00557466,-211.311,70.7013,45.7637,11.269,17.0993,17.6341,19.6257,478.456,1890.04,8.05632,72.9666,1280.91,-29.8619,43.0848
18,-45.0756,-36.6977,0.00497562,-213.009,72.3788,48.2533,10.4657,19.2698,21.5479,15.8378,409.351,1686.01,8.96973,90.271,832.775,-31.7701,41.5903
