,loudness-0,loudness-1,loudness-2,bufmfcc_feats-0,bufmfcc_feats-1,bufmfcc_feats-2,bufmfcc_feats-3,bufmfcc_feats-4,bufmfcc_feats-5,bufmfcc_feats-6,spectral-0,spectral-1,spectral-2,spectral-3,spectral-4,spectral-5,spectral-6
0,-35.1844,-25.3112,0.022854,-38.0126,29.6909,8.35372,16.6564,7.09375,9.90369,-1.99631,2379.39,3888.1,2.26659,7.89902,12190.2,-13.5144,35.2946
1,-32.8208,-24.347,0.0187871,-20.0052,34.3813,6.1082,19.7539,3.79692,13.1681,4.77042,2147.04,3583.92,2.45182,9.19128,11003.0,-15.6769,38.1039
2,-34.5228,-24.347,0.0145854,-23.7606,35.2436,5.77423,15.1155,6.76848,13.7275,2.12372,2253.77,3689.3,2.42495,8.95204,11700.0,-15.5076,35.9499
3,-36.7216,-26.4744,0.0124216,-30.594,27.1936,2.43364,19.4456,12.9518,15.2867,5.36817,2467.54,3819.42,2.24724,8.05201,11769.1,-15.8085,34.1117
4,-38.1165,-29.8704,0.0108141,-36.7328,23.9799,0.560528,19.5604,14.8396,12.6857,4.68945,2646.47,3904.97,2.10125,7.29136,12351.4,-15.1314,32.9086
5,-39.3202,-30.4227,0.00905983,-47.5391,19.1049,-0.770283,20.622,16.7941,14.0953,5.47067,2759.52,4031.05,2.03115,6.95051,12113.0,-14.5397,34.4153
6,-40.8576,-31.8753,0.00771104,-56.2111,22.0969,-1.61551,17.4599,14.9385,18.8901,-1.20164,2607.98,3855.86,2.10118,7.33996,11582.3,-15.2553,34.6341
7,-42.2577,-33.3801,0.00685216,-62.4975,25.8883,3.35191,14.0337,14.8694,15.5594,-7.98413,2710.92,4007.1,2.08249,7.09432,12171.7,-14.6871,35.0559
8,-43.2835,-34.4272,0.0052554,-60.7532,31.0986,-1.0576,11.5772,7.26116,14.256,-4.95537,2670.25,3804.44,2.1333,7.45582,11929.3,-13.8649,32.8211
9,-45.5879,-36.9086,0.00308302,-74.3768,33.1822,5.2833,12.2679,5.12195,12.7791,-2.90966,2532.7,3835.31,2.1945,7.60256,12047.8,-13.6489,32.8674
10,-50.2205,-40.5946,0.00214598,-129.839,55.1963,6.90628,14.617,1.8004,11.2608,3.14464,1396.39,2713.76,3.6608,18.7429,7242.68,-19.9355,34.4197
11,-53.3675,-41.385,0.00174608,-176.866,54.99,14.7702,12.187,6.73292,10.4197,13.6359,1136.24,2743.69,4.34967,24.4487,5825.46,-20.3631,38.819
12,-55.1587,-47.9368,0.00153175,-206.245,47.8401,23.9595,15.1421,11.9928,10.2114,12.4571,1122.91,3065.77,4.2836,22.5951,6923.5,-19.763,41.2961
