,loudness-0,loudness-1,loudness-2,bufmfcc_feats-0,bufmfcc_feats-1,bufmfcc_feats-2,bufmfcc_feats-3,bufmfcc_feats-4,bufmfcc_feats-5,bufmfcc_feats-6,spectral-0,spectral-1,spectral-2,spectral-3,spectral-4,spectral-5,spectral-6
0,-37.4131,-22.8544,0.0494923,-42.3502,6.79421,7.65109,18.3597,3.8014,7.57068,-5.59013,4395.78,4856.55,1.12716,3.376,13669.1,-8.34975,28.7721
1,-26.1092,-13.7884,0.0786632,41.2341,15.0184,8.32928,14.436,7.66876,10.8474,-1.37687,3574.37,4515.48,1.48526,4.32636,13424.5,-10.964,32.5338
2,-22.0846,-12.7429,0.0880146,64.3015,19.1092,1.57192,25.2981,10.537,13.5246,-4.28793,2714.15,3855.15,1.90176,6.41017,11487.4,-13.9169,38.5763
3,-21.1089,-12.7429,0.0797513,68.6576,13.8759,-5.46012,24.5596,10.8718,12.0492,0.538814,3474.98,4036.32,1.55591,5.17514,12299.2,-12.5651,34.0814
4,-21.9652,-12.8752,0.0738066,62.6427,22.5436,-1.87058,26.7608,10.2846,9.23983,-3.82555,2720.83,3678.09,1.88789,6.56337,11176.8,-15.4584,37.1645
5,-22.6381,-14.2658,0.08349,56.0009,28.3208,-8.55498,29.3225,13.7355,11.9688,-4.13617,2443.22,3305.37,2.02568,7.59269,9739.9,-17.6485,37.6414
6,-21.5673,-13.8123,0.0805452,55.9718,30.6335,-11.2096,26.1786,10.8849,11.1917,-4.4048,2534.28,3249.39,1.99242,7.5991,9451.54,-17.5131,35.448
7,-21.8792,-13.8123,0.0657356,53.013,32.409,-13.5454,23.6362,11.8356,12.0232,-5.18466,2422.14,3155.66,2.08916,8.13367,9132.5,-17.9905,36.3814
8,-23.644,-14.2614,0.074507,46.7141,36.946,-14.9636,24.064,11.6462,15.578,-4.18474,2175.64,2955.58,2.24429,9.10124,8680.93,-19.695,37.8409
9,-22.5561,-14.9638,0.0718343,41.3236,38.3074,-14.3349,20.5913,10.8433,13.7515,-6.00236,2219.45,3003.06,2.26245,9.00955,9103.7,-19.8666,36.9367
10,-22.8734,-14.9638,0.0614445,36.5159,38.8667,-10.7599,17.2782,10.8339,12.1943,-6.42718,2178.91,3060.66,2.39668,9.66814,8980.21,-18.6882,37.449
11,-24.2303,-15.5699,0.0645975,32.7598,42.4429,-8.69566,20.1134,15.5899,12.2534,-2.7516,1816.62,2845.64,2.75908,12.1262,7943.15,-20.6137,38.9021
12,-23.7957,-15.7478,0.0674015,31.395,42.6441,-11.121,16.813,14.2491,17.5266,-5.56797,1926.17,2863.57,2.62512,11.0863,8498.35,-20.7236,37.8639
13,-23.4266,-15.7478,0.059651,27.766,43.5112,-11.915,12.5602,12.0638,13.1434,-5.57993,2067.27,2934.88,2.60617,11.0392,8638.28,-19.5637,37.9146
14,-24.4876,-15.9946,0.0569747,28.7535,46.5575,-9.43075,15.1694,15.8774,17.3497,-4.9057,1734.23,2758.99,2.88861,12.9016,7958.9,-21.0927,38.6241
15,-24.8864,-16.5365,0.0612698,23.9262,49.7259,-15.7486,18.5526,12.5811,17.1734,-4.1088,1756.11,2613.69,2.72745,12.2542,6993.6,-22.4422,38.5136
16,-24.2551,-16.3613,0.0542336,18.9239,49.1,-19.0302,16.8431,8.37718,14.6039,-4.34576,1938.07,2660.1,2.59036,11.5275,7341.22,-21.9135,38.2196
17,-25.3146,-16.3613,0.0518339,16.956,57.348,-17.6149,18.301,11.9454,15.2333,-1.77157,1554.68,2356.53,3.04357,15.5588,5627.05,-23.4762,38.3708
18,-25.7077,-17.1028,0.0563664,12.1623,58.1095,-22.666,19.7846,13.2047,17.5723,1.2936,1567.26,2259.81,2.88223,14.8203,5615.36,-25.2407,38.7553
19,-24.9796,-17.1028,0.0516374,6.71285,56.1468,-25.6656,17.7658,11.3695,17.0336,-2.53265,1798.47,2346.39,2.66004,13.2751,5888.96,-23.9449,37.9802
20,-25.7407,-17.3418,0.0470548,5.73835,61.4556,-22.6402,18.104,16.2902,15.8462,1.66835,1557.89,2208.21,2.98632,16.328,5593.09,-25.2514,37.5359
21,-26.5479,-17.9708,0.0522455,0.0745745,64.1572,-22.8641,18.7842,17.0988,18.0448,2.04608,1397.85,2084.96,3.19856,18.453,5320.89,-26.33,39.4574
