,loudness-0,loudness-1,loudness-2,bufmfcc_feats-0,bufmfcc_feats-1,bufmfcc_feats-2,bufmfcc_feats-3,bufmfcc_feats-4,bufmfcc_feats-5,bufmfcc_feats-6,spectral-0,spectral-1,spectral-2,spectral-3,spectral-4,spectral-5,spectral-6
0,-56.0035,-39.9949,0.0288958,-120.414,19.8388,2.82138,2.06391,8.26883,12.1382,10.841,2911.54,4795.93,2.19404,7.19841,15157.4,-9.67552,35.9568
1,-30.7833,-17.7703,0.0616241,0.992455,39.1588,-27.1763,25.7703,-2.39166,13.0016,0.731377,2651.72,2901.16,1.7253,6.96251,8269.71,-17.7246,26.9232
2,-24.205,-15.218,0.0785339,27.7388,55.1191,-29.0734,33.4278,5.28032,21.9196,-4.04454,1890.77,2418.93,2.08817,8.77089,6956.69,-24.997,37.3734
3,-22.0989,-14.9738,0.0784428,12.7699,67.374,-31.4241,36.3237,5.42844,20.9736,-5.2864,1501.38,2095.59,2.37723,10.8079,6017.12,-29.1539,40.957
4,-22.1089,-14.9738,0.0713518,1.57787,75.989,-33.6092,39.4313,4.74606,17.1305,-2.71599,1341.9,1922.25,2.47107,11.7707,5369.38,-31.4211,41.5332
5,-22.9319,-16.1703,0.0684741,-6.64835,80.0084,-35.8721,35.1764,5.59853,13.687,-0.021143,1312.37,1842.25,2.5326,13.0192,5061.69,-31.9126,41.6694
6,-23.2895,-16.8504,0.0664688,-10.607,83.551,-38.126,33.2811,8.87581,12.4368,-2.53177,1282.53,1761.93,2.56531,14.0829,4725.28,-32.5411,41.3115
7,-23.5476,-16.8504,0.0629716,-13.5305,82.2544,-36.762,30.8026,9.61044,11.089,-2.04613,1266.05,1754.71,2.71284,15.7693,4677.36,-31.9278,41.4511
8,-24.0171,-17.6765,0.0584703,-20.6043,85.0357,-37.864,31.9882,8.82399,9.31243,-1.95267,1219.51,1710.25,2.74074,16.0886,4578.18,-32.6937,41.7152
9,-24.6613,-17.6765,0.0519224,-25.9254,86.5091,-38.9673,30.26,10.4895,6.73031,-3.46791,1218.52,1679.42,2.74257,16.6085,4448.44,-33.2397,41.7274
10,-25.6929,-17.7954,0.047968,-28.6628,85.3978,-34.1239,28.2177,13.1787,8.45114,-4.33002,1205.3,1673.37,2.94505,18.8406,4232.39,-32.3938,41.5563
11,-26.381,-18.5738,0.0452186,-30.9989,86.477,-35.264,26.4855,12.025,7.45312,-3.35798,1250.15,1678.27,2.88842,18.6268,4230.12,-32.4224,41.1158
12,-26.8937,-18.5738,0.0440665,-33.0393,88.9452,-35.271,23.4371,15.6975,6.98046,-2.97219,1246.8,1645.9,2.9634,20.3393,3997.85,-32.4071,40.7833
13,-27.1178,-19.4552,0.043534,-35.579,90.6274,-33.7214,20.6672,16.5319,6.36919,-2.29114,1195.44,1612.1,3.17093,22.9996,3834.7,-32.3374,40.9256
14,-27.2234,-19.4552,0.0423209,-39.8002,93.0478,-32.1391,19.9938,15.704,4.94052,0.344023,1135.53,1573.66,3.29624,24.3793,3830.88,-33.0308,41.2297
15,-27.4689,-19.7158,0.0411022,-41.2972,93.4153,-30.2221,17.8267,17.2709,6.77782,-2.0741,1108.11,1559.53,3.55436,27.8925,3808.8,-32.6393,41.3266
16,-27.7227,-21.131,0.0371322,-43.4287,96.17,-33.5244,17.8218,18.1233,5.85828,-1.39821,1141.78,1539.06,3.35462,26.4085,3796.18,-33.3397,40.9124
17,-28.605,-22.6045,0.0338251,-49.39,99.0352,-33.0156,15.3175,18.8878,4.43942,0.292856,1118.25,1506.91,3.5089,29.2127,3783.92,-33.6035,40.7398
18,-29.4152,-22.8573,0.0316959,-49.8892,96.8803,-31.8396,13.8323,18.0637,4.493,-0.691452,1153.89,1540.48,3.54757,29.1818,3794.03,-32.9696,40.4406
19,-29.9799,-22.8423,0.0297195,-51.417,96.0019,-30.1141,12.2932,18.0086,4.05804,-1.1834,1157.99,1559.52,3.69784,30.6635,3794.99,-32.1994,40.3163
