,loudness-0,loudness-1,loudness-2,bufmfcc_feats-0,bufmfcc_feats-1,bufmfcc_feats-2,bufmfcc_feats-3,bufmfcc_feats-4,bufmfcc_feats-5,bufmfcc_feats-6,spectral-0,spectral-1,spectral-2,spectral-3,spectral-4,spectral-5,spectral-6
0,-58.446,-47.5746,0.00254823,-139.187,22.5721,5.04815,10.8265,3.24451,3.65543,0.412796,3133.23,4597.53,2.0447,6.8473,14022.5,-9.76009,31.4946
1,-51.8752,-39.5974,0.0511333,-116.93,38.2378,-4.50193,3.03223,-6.4253,11.4782,0.934289,2416.87,3505.89,2.52337,10.0757,10183.0,-14.2588,31.1454
2,-25.8259,-14.3616,0.0815459,25.265,35.1323,-7.06713,16.3918,-5.1214,12.4355,1.8179,2491.78,3345.74,2.04643,7.41246,10109.7,-15.1785,31.4219
3,-21.772,-14.3616,0.0789617,25.5498,52.4451,-14.4112,28.3292,-3.28699,20.3606,0.357487,1563.01,2399.7,2.68108,11.5798,6753.38,-26.2253,39.9409
4,-22.0517,-15.0001,0.0728929,8.88378,56.3563,-24.9444,28.032,-4.25604,19.2971,-1.05028,1635.03,2263.71,2.52405,11.2268,6300.84,-27.5646,40.5507
5,-22.7463,-15.519,0.0755618,1.67127,64.4094,-27.1883,28.8736,-6.22295,15.8014,0.305806,1471.57,2064.36,2.68485,12.9251,5895.27,-29.9093,40.6561
6,-22.434,-15.519,0.077347,-0.565316,66.1089,-24.4001,25.4089,-5.0902,12.4417,2.4955,1401.53,2002.8,2.88612,14.8837,5875.14,-29.1388,41.0533
7,-22.2311,-15.6039,0.076478,-3.48594,65.2276,-21.0147,20.1582,-2.17549,10.8987,1.38694,1311.78,1943.13,3.24407,18.1547,5622.03,-28.8914,41.5504
8,-22.3293,-15.6008,0.0758218,-12.6261,72.5886,-24.6939,21.5473,-3.37681,9.259,-0.135524,1217.0,1784.5,3.35715,20.1692,5025.63,-31.1165,41.9856
9,-22.4041,-15.3282,0.0778789,-18.0074,75.5033,-23.2415,20.0275,-3.22724,8.42778,1.80336,1102.46,1681.58,3.67602,23.9691,4255.39,-31.9741,42.2311
10,-22.1716,-15.3282,0.0773965,-25.0174,78.391,-24.1619,17.4761,-3.13858,6.48629,-0.0805628,1064.01,1616.49,3.90801,27.498,4030.81,-32.513,42.7248
11,-22.2256,-15.7769,0.0750405,-28.9988,81.0529,-23.6056,17.7028,-4.68339,6.19635,0.697115,997.958,1551.45,4.14035,30.5419,3789.31,-33.01,42.8088
12,-22.4941,-16.1407,0.0745364,-31.658,84.3501,-20.2314,15.1115,-0.903021,6.53652,2.93409,958.948,1491.0,4.44696,35.2539,3310.26,-33.5315,43.0153
13,-22.5526,-16.1407,0.0741607,-36.003,87.1189,-20.0801,14.2823,-0.742513,6.89084,3.42987,916.308,1427.3,4.62354,38.2716,3246.25,-34.1964,43.2196
14,-22.5965,-17.2197,0.0742606,-37.1673,84.8281,-18.2339,11.6345,-1.16683,7.00648,-0.152947,899.229,1441.66,4.91708,42.048,3222.45,-33.3317,43.1585
