,loudness-0,loudness-1,loudness-2,bufmfcc_feats-0,bufmfcc_feats-1,bufmfcc_feats-2,bufmfcc_feats-3,bufmfcc_feats-4,bufmfcc_feats-5,bufmfcc_feats-6,spectral-0,spectral-1,spectral-2,spectral-3,spectral-4,spectral-5,spectral-6
0,-53.2573,-41.4123,0.00297412,-168.0,33.1774,7.86342,15.9101,10.1161,20.603,22.1201,1793.35,3615.37,3.11465,13.3734,9508.37,-15.5993,36.557
1,-50.5328,-41.3983,0.00536906,-141.083,43.3006,14.1402,9.19214,1.27324,12.3606,8.66912,1923.09,3704.94,3.04761,12.7033,10087.7,-14.9512,34.9983
2,-45.402,-33.1061,0.0126063,-110.315,35.3391,4.82988,12.3209,0.415418,22.0713,10.3445,2198.27,3655.2,2.55486,9.9691,10154.9,-14.454,35.1544
3,-37.9883,-29.2623,0.0137444,-97.6992,57.8515,13.2642,21.6803,7.55515,17.7276,9.93052,1047.72,2463.68,4.43043,26.3037,5452.53,-22.1581,39.6443
4,-37.2375,-29.2623,0.0120486,-111.805,69.8454,16.0947,16.8604,16.8163,16.0185,13.5346,720.043,1964.31,6.41961,52.1238,2618.72,-26.6076,41.9004
5,-38.3813,-32.3715,0.0120297,-122.757,67.4599,18.0342,14.4653,15.2448,16.7306,16.1236,782.414,2155.43,6.06539,45.806,2961.85,-24.9319,41.1106
6,-38.3949,-32.0641,0.0121418,-129.564,71.6869,20.2077,12.6788,19.9896,15.5475,15.8381,682.068,1966.91,6.91584,58.2312,2235.77,-26.904,42.3147
7,-38.3143,-30.95,0.011996,-134.363,71.9535,24.9624,10.5874,20.8886,17.9788,14.9468,612.757,1915.96,7.22086,62.4907,2067.87,-27.5596,40.8478
8,-38.4192,-29.7107,0.011824,-136.729,71.2572,26.4101,10.5007,19.9325,19.4891,14.2346,591.302,1883.82,7.35129,64.591,1893.84,-27.7654,40.8251
9,-38.5447,-29.7107,0.0116916,-142.542,72.7378,31.0598,6.08154,17.7977,19.3361,14.9031,630.186,2000.34,7.12488,59.6447,1883.09,-27.3662,40.7663
10,-38.6426,-32.0559,0.0111242,-142.597,74.5166,30.5174,5.91508,20.4126,18.9514,11.1114,620.602,1968.44,7.2446,61.5922,1870.69,-27.7988,41.4604
11,-39.0746,-32.0559,0.0113476,-143.269,70.389,30.1142,5.12831,15.5957,16.9876,10.6306,699.117,2183.74,6.5674,50.6117,2171.85,-25.7987,41.6002
12,-38.902,-32.223,0.0115238,-137.494,69.4408,29.9087,9.80199,18.7321,15.2532,12.6291,659.075,2104.04,6.75724,53.6502,2044.91,-26.2416,41.2442
13,-38.7681,-30.743,0.0109493,-144.422,68.2789,32.2119,10.3343,13.063,15.3938,10.7773,705.17,2166.9,6.51718,50.0192,2068.86,-25.7793,41.8604
14,-39.2123,-30.743,0.0110718,-146.129,70.0606,37.6761,7.94745,16.1716,18.9899,12.0184,595.428,2008.27,7.16052,59.2873,1746.72,-27.6605,40.7406
15,-39.1156,-31.9626,0.0103548,-146.67,70.1108,36.2557,11.0043,13.3147,17.9611,11.0251,619.149,2048.96,7.08512,58.4485,1752.98,-27.2767,40.9645
16,-39.6972,-32.7949,0.0100689,-148.643,69.6433,38.0938,8.73353,15.1565,17.7961,8.76945,675.492,2144.53,6.73914,52.5388,1805.58,-26.3838,42.0275
17,-39.9404,-33.2753,0.010915,-150.874,70.0053,39.9165,11.8702,13.738,15.5633,13.1914,583.799,1964.77,7.28805,61.468,1711.57,-27.8988,41.232
18,-39.2395,-33.2753,0.0102241,-149.685,67.5169,37.7681,11.9027,12.0884,16.3309,14.352,637.329,2136.0,6.83123,53.8953,1755.29,-26.7775,41.5217
19,-39.8075,-33.7502,0.0106747,-151.997,67.973,41.3662,11.2424,13.79,17.3876,13.391,621.792,2119.21,6.91251,54.8249,1733.47,-26.8333,41.5447
20,-39.4329,-33.6782,0.0100972,-155.858,67.2002,42.3038,7.67482,12.5501,14.1763,11.7155,679.171,2238.6,6.503,48.3255,1749.1,-26.1945,42.3811
21,-39.916,-33.6782,0.0096415,-154.883,68.9411,39.941,9.00331,13.9424,14.8649,10.3731,643.475,2166.94,6.73321,51.9558,1743.79,-26.5623,41.9594
22,-40.3171,-33.2173,0.0101832,-159.032,69.2989,42.8625,9.04414,12.7198,13.8555,10.9863,651.79,2178.46,6.71663,51.62,1736.64,-26.4821,42.3597
23,-39.8423,-33.2173,0.00983906,-159.682,68.1436,44.1679,9.44664,11.5038,12.7985,11.9045,631.692,2193.11,6.77915,52.2853,1711.51,-26.766,41.7601
24,-40.1409,-33.2086,0.00990856,-159.731,67.5873,45.7734,10.7451,10.8534,14.6195,12.754,627.612,2191.22,6.79666,52.5323,1698.14,-26.8235,41.5783
25,-40.0798,-33.2086,0.00974186,-163.47,66.7577,48.8122,10.373,11.6814,13.2448,10.3134,634.05,2223.84,6.71214,50.9221,1685.96,-26.8008,41.5739
26,-40.2272,-33.2197,0.00883664,-166.537,68.5272,50.8937,10.9086,12.4935,14.0334,11.0404,601.059,2167.81,7.03116,55.5051,1575.75,-27.5022,41.5492
27,-41.0743,-33.4741,0.00938882,-165.32,66.7371,49.4814,11.5666,10.8805,13.8814,11.9499,616.89,2150.99,6.86106,53.34,1630.51,-27.2378,41.9696
28,-40.5478,-33.1758,0.00905759,-164.743,65.7597,50.0153,10.3195,9.97642,16.5422,10.1372,667.353,2260.1,6.49822,47.952,1712.75,-26.3932,42.4955
29,-40.8597,-33.5679,0.00910924,-165.925,66.8421,47.6364,13.344,10.3685,12.5461,14.2842,611.788,2202.08,6.91934,54.0917,1615.66,-26.9885,41.9341
30,-40.8104,-33.7413,0.00928224,-166.434,65.3854,48.5087,12.3006,10.2069,11.5772,12.0678,620.842,2245.29,6.7236,51.0684,1618.54,-26.7057,41.8836
31,-40.6469,-34.4457,0.00847734,-162.062,63.1142,45.8353,14.4033,8.67026,13.3891,11.9324,683.781,2348.6,6.29124,45.2568,1734.13,-25.4682,42.3542
32,-41.4348,-34.5596,0.0086108,-153.228,56.8241,38.7292,18.3688,10.0396,11.3538,9.36891,830.837,2559.2,5.4102,34.4514,3590.06,-23.4538,42.8359
33,-41.2991,-35.1202,0.00857797,-143.716,50.815,34.3958,24.2774,6.66076,14.0166,7.27025,924.229,2664.13,4.83161,28.5779,5471.43,-22.0069,42.1504
34,-41.3323,-34.3192,0.00855461,-135.479,43.2827,33.6317,29.026,3.41914,17.6186,11.9525,993.493,2776.53,4.34053,23.7185,7098.22,-21.4631,41.0463
35,-41.356,-34.6544,0.00885157,-120.81,36.9535,25.0563,32.0234,1.78938,17.6639,10.101,1407.1,3202.94,3.35407,15.3083,8706.0,-18.4076,41.2259
36,-41.0596,-35.3297,0.0117656,-116.077,36.5846,21.7132,33.2474,1.19289,15.8418,12.0942,1454.22,3167.48,3.1812,14.1472,8602.03,-18.0968,41.4642
37,-38.5877,-27.1357,0.0412744,-20.8895,-9.80133,7.03517,27.2424,9.92611,10.7345,1.28283,5170.48,5063.87,0.92443,3.07399,14414.5,-7.03791,30.2908
38,-27.6864,-16.6995,0.0625327,31.1837,36.5758,0.910632,18.3757,8.26787,15.9683,3.37849,2097.05,3369.25,2.48411,9.66838,9781.86,-15.516,33.2716
39,-24.0779,-14.7492,0.072622,32.955,49.2363,-0.938003,16.2807,4.58502,17.3723,1.33633,1685.2,2834.21,2.93309,12.8974,7852.17,-19.0258,32.5309
40,-22.7786,-14.7492,0.0829852,14.8454,58.17,5.12646,24.2695,5.84786,26.3494,2.1357,1088.74,2308.68,3.74614,19.2844,6291.08,-23.8723,39.8704
41,-21.62,-14.0878,0.0721889,-15.7768,88.5645,4.72627,21.5117,4.88439,25.5649,3.03111,647.569,1414.79,6.00163,51.8173,2488.32,-32.5245,37.2482
42,-22.8306,-13.7025,0.0626601,-22.2091,94.139,3.81087,24.5221,6.38009,19.2755,4.71253,573.841,1279.23,6.78312,68.2002,2182.48,-33.4887,36.4881
43,-24.0602,-14.1253,0.0696243,-21.6231,88.7108,6.59156,28.6064,6.99324,12.2389,3.41699,598.822,1367.92,6.42406,59.2466,2566.45,-31.8843,36.691
44,-23.1448,-14.1253,0.0629795,-51.7578,105.674,10.8682,18.3134,10.319,8.80838,3.64479,502.577,1075.37,9.22057,125.192,1636.25,-36.1631,37.6252
45,-24.016,-15.3729,0.066839,-59.4066,111.674,13.2467,15.7102,15.2244,8.82882,8.14624,455.74,992.003,10.6208,165.609,1539.06,-37.8705,38.5375
46,-23.4994,-15.3729,0.0633644,-65.9438,110.977,12.2685,9.70401,16.5151,4.94077,4.69519,505.783,1055.11,10.2081,151.33,1682.11,-36.962,37.2031
47,-23.9631,-16.6822,0.0617003,-67.0825,113.577,14.6397,8.37212,19.2475,4.63452,6.07065,474.393,1030.2,10.8641,169.157,1592.33,-37.6213,38.7191
48,-24.1943,-15.9947,0.0611722,-70.6204,111.708,16.4526,8.79056,13.995,2.6015,5.07085,491.962,1065.74,10.7291,161.152,1549.04,-36.6538,37.4019
49,-24.2689,-15.9947,0.0593241,-67.5601,110.844,14.0233,11.1727,12.2179,4.77815,5.63081,496.272,1089.23,10.4427,153.967,1571.63,-35.7845,37.6884
50,-24.5354,-16.9854,0.0562792,-71.5777,112.94,17.8864,7.88192,14.1912,4.57569,6.9583,473.711,1059.5,11.284,174.409,1458.94,-36.8827,38.31
51,-24.993,-16.3348,0.0548184,-58.4299,98.6575,14.2484,21.904,-0.360322,5.12584,12.7854,543.998,1233.23,8.34688,98.1242,1629.58,-34.0162,38.638
