,loudness-0,loudness-1,loudness-2,bufmfcc_feats-0,bufmfcc_feats-1,bufmfcc_feats-2,bufmfcc_feats-3,bufmfcc_feats-4,bufmfcc_feats-5,bufmfcc_feats-6,spectral-0,spectral-1,spectral-2,spectral-3,spectral-4,spectral-5,spectral-6
0,-59.0524,-45.6227,0.00278142,-180.227,19.7784,11.2874,13.1657,15.1824,13.6965,2.63472,3010.72,4838.86,2.04085,6.50443,14723.5,-10.0687,30.694
1,-51.1147,-41.9217,0.0397748,-109.607,34.2922,9.41392,10.7859,5.82437,4.32645,0.643861,2271.4,3999.96,2.62799,9.91172,11875.5,-13.0295,31.7008
2,-28.0078,-16.2013,0.0723059,9.95435,35.8295,-13.8054,20.7594,-7.62993,1.54264,2.80602,2609.72,3185.35,2.00253,8.00549,8806.72,-15.6729,29.7995
3,-22.8165,-14.9766,0.0831727,42.9399,53.5275,-22.646,25.0166,-2.04956,12.4099,6.67827,1833.76,2468.71,2.44743,11.072,6617.24,-24.2749,36.3661
4,-21.6004,-14.8122,0.0732976,22.776,50.9683,-28.3107,29.8229,1.01872,18.3168,8.43998,1687.68,2348.45,2.46401,11.3003,6282.15,-26.8652,39.6272
5,-22.6982,-15.0644,0.0653376,9.82536,48.0075,-34.5508,28.0578,1.48572,17.7463,9.79685,1871.62,2390.11,2.29573,10.7963,6336.22,-26.7262,40.1547
6,-23.6967,-16.9457,0.0685768,1.37978,50.6875,-38.4444,26.3282,3.26112,17.425,13.7195,1855.44,2302.86,2.39822,12.3148,6031.96,-27.3982,40.0465
7,-23.2765,-16.4697,0.0704434,-3.74411,52.6757,-39.6067,24.9413,3.07729,16.3439,14.8614,1654.26,2156.96,2.53631,13.1993,5989.02,-29.1825,40.7002
8,-23.0432,-16.4697,0.0659059,-8.52186,52.7969,-41.0984,24.9852,6.41884,17.3955,17.3888,1593.77,2107.07,2.70465,15.0743,5954.97,-29.6602,40.8056
9,-23.6215,-16.9624,0.0654584,-14.6683,53.2603,-42.3313,21.4589,5.93592,15.1322,18.0853,1584.26,2070.71,2.79623,16.1621,5926.52,-29.7669,41.0788
10,-23.6807,-16.3445,0.0677938,-16.5584,55.376,-39.9137,21.5414,7.82075,15.934,19.2896,1501.6,2035.36,3.02256,18.3463,5613.49,-30.0505,41.1871
11,-23.3762,-16.3445,0.0651066,-19.0655,55.646,-39.8836,20.3372,7.37113,14.021,18.1897,1485.15,2013.87,3.10915,19.2688,5336.17,-29.893,41.5564
12,-23.7275,-16.8739,0.0642405,-23.5924,55.0015,-40.0892,16.4985,5.91334,10.6112,17.4536,1441.8,1974.25,3.18877,19.9264,5329.25,-29.9314,41.7773
13,-23.8438,-17.7305,0.0656026,-25.2856,55.4403,-39.0355,16.3707,6.30754,11.3281,16.3453,1437.08,1984.95,3.34735,21.7438,5314.27,-29.5962,41.9268
14,-23.6616,-17.4979,0.0634843,-28.3626,58.1219,-38.6453,16.0599,8.84152,9.91124,17.4447,1370.13,1910.77,3.45227,23.1935,5256.98,-30.209,42.0146
15,-23.9467,-17.4979,0.0638128,-32.2047,56.7236,-39.4733,12.6957,6.46472,8.0973,14.4712,1357.23,1903.01,3.63818,25.1803,5046.37,-30.4441,42.3292
16,-23.9018,-17.8027,0.0634197,-34.6244,58.4281,-38.0158,12.8637,6.6202,7.95017,15.7198,1296.3,1865.48,3.6957,25.9292,4976.1,-30.7389,42.2293
17,-23.9555,-17.4855,0.0618963,-35.947,61.4047,-35.1374,13.5875,9.16549,8.70717,17.9345,1246.19,1869.22,4.08182,30.4211,4954.86,-30.6753,42.2593
18,-24.1667,-17.4855,0.0632911,-36.8323,59.0741,-34.5554,11.4086,7.05235,7.78974,13.0301,1250.09,1867.06,4.09334,30.1042,4931.1,-30.0047,42.5999
19,-23.9732,-17.6508,0.0613392,-39.8863,59.2607,-34.8418,9.44356,8.19704,5.2859,12.1298,1220.84,1832.46,4.18836,31.3687,4676.14,-30.4304,42.7099
20,-24.2452,-18.2018,0.0602568,-40.8137,57.2798,-32.3073,7.11381,8.86023,4.68128,9.72943,1193.62,1842.12,4.31651,32.1928,4649.38,-29.7495,42.7887
21,-24.3999,-18.9425,0.0614086,-35.1153,49.4225,-25.7723,6.63425,9.98566,7.12089,7.60692,1263.78,2030.81,4.23222,28.6697,4931.85,-27.139,42.904
22,-24.2354,-18.6283,0.0595178,-23.6458,47.0533,-14.9742,10.1266,9.0442,11.9707,5.84087,1327.82,2259.8,3.99192,23.8122,5277.36,-23.98,42.6799
23,-24.5071,-18.6283,0.0589417,4.01566,18.3838,2.12138,8.9838,4.93344,19.0992,-0.768391,2274.02,3711.41,2.27485,7.65176,11569.5,-16.3441,41.458
24,-24.5916,-18.78,0.0552613,-17.2923,35.4978,-1.92123,2.08189,1.20719,11.0899,-3.04243,1495.29,2845.3,3.60328,17.4434,7746.27,-19.4538,42.7303
25,-25.1516,-19.5049,0.0646526,-37.9757,50.002,2.1561,10.2289,-4.76138,4.40752,-3.49738,1106.92,2228.45,4.55787,27.7784,5338.39,-24.2534,43.3591
