,loudness-0,loudness-1,loudness-2,bufmfcc_feats-0,bufmfcc_feats-1,bufmfcc_feats-2,bufmfcc_feats-3,bufmfcc_feats-4,bufmfcc_feats-5,bufmfcc_feats-6,spectral-0,spectral-1,spectral-2,spectral-3,spectral-4,spectral-5,spectral-6
0,-64.8528,-47.1182,0.000608964,-156.36,19.2765,14.89,10.1237,8.277,3.65186,5.5845,2991.76,5136.35,2.05318,6.33113,16074.9,-9.05441,37.6143
1,-64.3082,-46.6129,0.000460076,-190.957,17.0616,18.1744,4.41969,4.65335,4.26951,6.23914,1580.98,4144.81,3.16399,12.4828,12180.3,-15.9744,46.4731
2,-66.7434,-44.4045,0.000656329,-211.257,0.119884,16.7786,15.1586,16.84,15.7356,14.1229,1374.72,3997.16,3.36963,13.8861,11187.1,-17.5205,48.0717
3,-63.6576,-44.4045,0.000964406,-214.573,-4.02536,17.0136,16.1856,20.0819,13.3802,11.7916,1383.76,4048.33,3.34773,13.6396,12122.1,-17.7383,47.2061
4,-60.3148,-45.2976,0.0015761,-208.688,-0.69222,17.9103,12.2876,11.8788,12.0231,13.0842,2764.43,5313.96,2.06008,6.15756,16541.1,-11.2873,43.612
5,-56.0483,-44.0525,0.000840698,-206.614,4.25694,21.8027,16.032,15.103,10.7271,8.73991,1495.58,4126.28,3.17446,12.495,12269.4,-16.8537,47.0355
6,-61.5072,-44.0525,0.00100717,-197.899,12.3373,22.8699,17.1757,17.7661,11.3114,9.31305,1280.96,3808.79,3.54886,15.2772,10634.1,-18.0908,46.9245
7,-59.9379,-44.5308,0.000913429,-205.761,4.47612,24.34,15.8247,13.9963,8.66692,2.11889,2073.22,4772.64,2.53985,8.53016,14570.9,-14.0765,46.6938
8,-60.7865,-46.6407,0.000931434,-212.618,-3.59947,21.7616,20.0974,20.6129,12.6173,10.3693,2346.49,5064.5,2.32578,7.36671,15721.8,-13.28,44.4123
9,-60.617,-46.4175,0.000477059,-211.497,-0.81589,23.6743,17.5312,16.2921,9.53538,11.1105,1660.69,4407.88,2.96243,10.9755,13442.7,-16.0181,46.5759
