,loudness-0,loudness-1,loudness-2,bufmfcc_feats-0,bufmfcc_feats-1,bufmfcc_feats-2,bufmfcc_feats-3,bufmfcc_feats-4,bufmfcc_feats-5,bufmfcc_feats-6,spectral-0,spectral-1,spectral-2,spectral-3,spectral-4,spectral-5,spectral-6
0,-57.3024,-41.1773,0.000995717,-127.645,18.5884,15.3434,8.50626,7.60274,5.51715,6.00501,2493.35,4859.14,2.33564,7.65547,15167.5,-10.5784,40.7034
1,-60.0373,-41.1773,0.000742161,-192.814,6.51207,15.5345,11.3375,12.2077,6.7761,8.22625,1571.1,4208.33,3.1428,12.3073,12569.0,-16.2444,46.6957
2,-62.59,-48.0972,0.000918082,-195.246,4.72553,16.9826,14.2712,16.8702,14.8173,12.7207,2474.61,5120.12,2.30134,7.29,16233.7,-12.5802,41.7555
3,-60.7424,-49.916,0.000541472,-188.25,6.99706,17.6353,12.9958,11.9599,12.0517,9.02176,3245.52,5569.96,1.86036,5.35648,17664.2,-9.95891,39.5831
4,-65.3285,-49.916,0.00133844,-190.563,-0.237233,7.01291,2.77039,5.01421,9.88481,11.591,3959.6,5858.76,1.55177,4.27359,18091.8,-8.19273,41.7112
5,-57.468,-39.6767,0.00187686,-143.537,15.3713,-0.689772,10.8945,-0.0525958,8.80041,11.2365,2716.89,4378.23,2.22347,7.91064,12611.0,-12.0899,38.8307
6,-54.5313,-39.6767,0.0015942,-122.204,30.5516,6.9693,16.0401,1.92767,9.52281,8.96631,1942.86,3707.7,2.81641,11.5138,9566.99,-15.2039,40.798
7,-55.9491,-41.1384,0.00154326,-151.957,26.9596,16.4437,16.9402,9.80856,9.1889,9.99874,1525.8,3772.95,3.3274,14.2511,9943.12,-16.6736,44.3588
8,-56.2312,-41.1384,0.00177201,-150.239,28.9117,14.9041,17.2687,10.9856,7.31499,5.68162,1518.42,3757.17,3.35769,14.5017,9755.47,-16.3989,44.5941
9,-55.0307,-41.8324,0.00150572,-149.349,28.2839,17.1697,15.6965,11.7938,10.0035,3.67163,2278.42,4439.35,2.59634,9.29286,13225.9,-12.8051,37.9696
