,loudness-0,loudness-1,loudness-2,bufmfcc_feats-0,bufmfcc_feats-1,bufmfcc_feats-2,bufmfcc_feats-3,bufmfcc_feats-4,bufmfcc_feats-5,bufmfcc_feats-6,spectral-0,spectral-1,spectral-2,spectral-3,spectral-4,spectral-5,spectral-6
0,-16.6429,-6.57189,0.206165,95.4196,37.043,10.0302,16.6246,3.79787,17.5679,5.53637,2097.86,3708.56,2.53095,9.44967,11706.0,-14.685,34.9271
1,-13.7157,-4.55743,0.18009,100.222,52.6727,1.17656,24.6256,1.83758,17.6781,-0.591248,1519.19,2697.48,2.90989,12.4461,7674.74,-21.5547,34.5753
2,-14.8902,-4.55743,0.170367,88.1858,67.0668,-6.5219,27.9252,-3.00967,14.109,-2.1274,1328.06,2239.57,3.11599,14.8742,6187.37,-26.3725,33.6234
3,-15.3723,-4.62354,0.163508,76.9804,75.9353,-12.8584,29.1152,-4.64022,15.2732,-0.999745,1234.35,2015.46,3.20734,16.3383,5417.53,-28.6487,34.1814
4,-15.7292,-5.21611,0.161429,63.098,79.6322,-13.3089,31.7632,-5.57328,15.6997,0.202674,1146.55,1930.99,3.27775,17.0794,5098.23,-29.8035,35.4442
5,-15.8403,-6.69644,0.142904,67.039,71.6958,-7.11983,25.9178,-2.03376,13.2731,1.64963,1209.99,2078.63,3.41344,18.103,5344.58,-26.7054,34.5822
6,-16.8991,-6.69644,0.121944,61.4918,76.951,-12.1324,26.0718,-2.24636,12.8068,2.15452,1196.46,1955.68,3.41425,18.9083,5086.26,-27.2231,36.1921
7,-18.2768,-11.1678,0.113574,59.0378,72.2994,-5.21743,16.9754,-1.81343,14.3474,2.06375,1220.2,2055.31,3.80274,21.843,5114.17,-25.4443,35.3891
8,-18.8944,-9.5402,0.114856,62.788,63.0417,-2.50142,8.98207,0.494482,17.9807,-1.25022,1421.27,2387.13,3.55377,18.2739,6182.79,-21.7829,35.7206
9,-18.7969,-9.5402,0.112639,57.2673,62.6552,4.95472,18.5378,8.1615,14.492,-4.5659,1187.25,2319.15,3.9189,21.5236,5250.3,-22.9735,36.9543
10,-18.9662,-11.1669,0.0958498,72.4387,41.0622,9.17032,18.9619,7.8603,14.9289,-1.37773,1852.69,3285.47,2.77016,11.1471,9902.54,-17.3931,34.9783
11,-20.3682,-12.1855,0.0939544,70.2892,37.9268,7.3582,19.7938,4.44426,14.5986,-5.96492,2111.42,3428.64,2.39228,8.7605,10409.0,-17.9597,33.1202
