,loudness-0,loudness-1,loudness-2,bufmfcc_feats-0,bufmfcc_feats-1,bufmfcc_feats-2,bufmfcc_feats-3,bufmfcc_feats-4,bufmfcc_feats-5,bufmfcc_feats-6,spectral-0,spectral-1,spectral-2,spectral-3,spectral-4,spectral-5,spectral-6
0,-47.7549,-31.1555,0.021313,-134.858,38.6639,10.5882,15.503,-5.98802,-1.97522,-3.70043,2122.05,3634.56,2.7163,10.8643,10154.6,-13.9782,34.4023
1,-33.4271,-21.6053,0.0368746,38.5264,-0.267617,12.1585,10.2247,2.21138,13.8966,-1.60482,5236.79,5400.21,0.91878,2.82075,15667.8,-6.35956,29.2296
2,-28.6654,-16.562,0.0915984,37.0357,25.7788,-4.25742,16.2312,4.36282,14.7527,5.85695,2887.05,3774.85,1.918,6.69479,11128.4,-12.5729,31.3689
3,-20.7622,-9.54478,0.132813,104.785,5.98402,2.23443,16.306,4.62045,10.7871,4.42848,4277.59,4763.61,1.28725,3.97822,14267.0,-8.16664,29.3486
4,-17.5352,-8.19583,0.134911,130.458,15.7206,2.59011,16.3151,2.05552,15.2095,7.17676,3547.67,4382.89,1.56387,5.00609,13179.8,-10.1605,31.1257
5,-17.3991,-8.19583,0.1306,106.477,29.974,-0.0294714,22.7745,3.76506,13.963,2.23915,2583.13,3577.11,2.0208,7.22883,10284.9,-14.3096,32.422
6,-17.6811,-10.9462,0.119982,58.3646,62.8477,-5.14477,20.219,2.20239,18.6663,2.72601,1344.04,2299.8,3.33026,16.8056,5905.11,-23.285,35.9561
7,-18.4177,-11.0424,0.118762,30.0678,81.0946,7.42038,23.3805,2.95818,21.1347,1.02528,748.97,1635.73,5.14043,36.2318,2976.48,-30.2012,38.6363
8,-18.5065,-11.7367,0.116709,6.48275,92.6861,12.1745,21.7622,-3.12065,17.8674,2.07807,632.376,1366.33,6.22318,53.4657,2179.68,-33.1328,37.4932
9,-18.6579,-11.4259,0.112566,-16.852,98.5744,10.9279,24.8269,0.79168,19.403,2.64165,532.98,1182.56,7.02708,69.9728,1933.77,-35.5757,39.1272
10,-18.9718,-11.4259,0.105064,-29.0446,110.319,20.3956,23.2571,-1.16809,19.3957,7.8063,422.892,903.402,9.67821,135.363,1257.9,-40.1331,39.3862
11,-19.5709,-12.1488,0.101132,-49.1307,111.738,23.1162,23.1569,2.18092,16.0807,6.25475,406.256,870.139,10.6836,163.183,1141.15,-40.5746,37.8441
12,-19.9022,-12.1488,0.0990238,-59.4941,113.283,28.0698,25.1549,4.89986,13.2113,3.79914,374.152,814.854,12.4097,217.267,1071.43,-41.6908,40.153
13,-20.0852,-12.7846,0.0944793,-74.0175,116.599,34.949,28.098,6.67291,12.8695,4.35846,321.577,707.514,15.1879,317.975,593.863,-44.4418,39.2156
14,-20.4933,-12.4296,0.083306,-90.6847,111.68,41.7316,35.0121,9.37204,6.31405,2.86242,313.685,723.027,16.1168,342.34,540.884,-44.4954,38.0933
15,-21.5865,-13.7515,0.0879981,-96.8496,108.767,43.5925,37.9634,13.9166,8.57567,2.79279,291.042,717.043,16.841,368.284,506.687,-44.7732,41.835
16,-21.1105,-13.7515,0.0864504,-108.731,101.873,44.2146,38.7766,20.391,11.1611,8.96659,269.664,741.118,17.056,366.619,459.592,-44.0067,39.3483
17,-21.2647,-12.6819,0.077108,-113.778,101.907,50.2038,41.1284,18.1006,8.23689,10.2214,263.151,708.03,17.9705,402.061,465.679,-44.7136,39.9549
18,-22.258,-13.7095,0.077707,-118.713,96.1971,49.374,41.7845,20.8734,13.0658,10.5465,250.554,759.275,17.2791,366.65,458.386,-43.6659,43.3999
19,-22.1908,-14.9351,0.0769128,-126.972,86.9374,47.5012,46.3849,26.9651,16.839,8.21228,255.698,832.987,16.0053,310.039,433.694,-42.0959,41.4497
20,-22.28,-15.1648,0.0616702,-42.0146,27.4889,47.0193,46.2514,21.1374,29.617,11.3171,843.546,2610.64,4.50959,24.6685,6482.81,-23.4358,41.4422
21,-24.1985,-15.7477,0.0574131,-15.4857,33.4047,22.1321,33.1353,17.1183,26.0798,8.89435,1169.78,2896.98,3.59354,16.9742,7940.65,-20.2499,41.7598
22,-24.8198,-16.8359,0.0471972,-39.1254,64.95,4.33873,28.3005,17.205,23.2675,9.96688,752.055,1807.55,4.99197,35.2355,3772.52,-27.6409,40.864
