,loudness-0,loudness-1,loudness-2,bufmfcc_feats-0,bufmfcc_feats-1,bufmfcc_feats-2,bufmfcc_feats-3,bufmfcc_feats-4,bufmfcc_feats-5,bufmfcc_feats-6,spectral-0,spectral-1,spectral-2,spectral-3,spectral-4,spectral-5,spectral-6
0,-73.8898,-60.3205,0.000197654,-216.878,19.6784,15.3127,6.2371,7.14825,3.19428,4.43322,3066.71,5217.1,2.00996,6.08143,16337.4,-8.95837,37.0108
1,-74.0819,-60.4238,0.000195353,-249.339,21.3237,21.1465,-0.839893,0.962097,5.53873,10.6122,2441.26,4956.46,2.40738,7.83346,15631.9,-12.4126,43.0771
2,-74.1836,-60.4238,0.000263267,-258.901,7.97766,22.3876,15.1717,14.3993,11.0094,9.06443,2667.22,5190.54,2.14792,6.59162,16251.7,-11.6001,43.184
3,-71.5921,-61.2449,0.000364663,-264.057,5.24781,25.6633,16.7412,17.5438,13.098,15.4683,3314.59,5764.84,1.80133,5.01258,17725.7,-10.0436,39.432
4,-68.7622,-54.5587,0.000310938,-253.76,16.0842,29.5353,15.4735,16.7813,14.5065,13.5134,1871.75,4529.08,2.79951,9.99259,14179.1,-14.5925,42.8067
5,-70.1465,-54.5587,0.000199643,-260.682,14.9318,32.4646,23.0577,18.1976,14.9787,11.1198,1432.15,4026.23,3.32358,13.5344,11641.7,-16.9414,44.9088
6,-73.9949,-56.6203,0.00021854,-269.637,0.972726,28.3657,17.0764,13.1855,14.9826,13.61,2321.01,5067.49,2.33589,7.40435,15684.6,-12.9239,44.7363
7,-73.2094,-62.1544,0.000284704,-265.608,10.2125,26.4147,12.2572,13.3923,9.04638,10.1479,3543.66,5898.96,1.6981,4.59427,18014.0,-9.29371,38.5678
8,-70.9121,-59.3879,0.000317906,-272.166,1.85387,26.6936,18.0471,16.5688,13.0232,11.3362,4158.49,6345.1,1.46327,3.80028,19123.3,-8.17489,39.0364
9,-69.954,-59.3408,0.000243587,-258.448,7.21284,23.1043,19.7269,15.8446,8.40276,14.4542,2478.8,4987.06,2.26496,7.20954,15492.8,-12.0815,40.5058
10,-72.2669,-59.3408,0.000245662,-260.345,-0.696254,20.0838,24.8168,12.7092,9.88153,18.4389,2909.9,5277.97,2.00302,6.10172,16216.7,-10.7761,42.0663
11,-72.1932,-62.1835,0.000219341,-269.926,-0.600661,24.8239,19.6586,14.2659,12.5747,8.2706,3779.95,6007.87,1.57358,4.24972,18407.5,-8.66491,37.7139
12,-73.1776,-59.3434,0.000136568,-257.415,17.586,25.1081,9.73933,13.4155,9.96677,5.51182,2514.75,5129.71,2.29559,7.23362,15978.5,-11.8046,41.9205
13,-77.293,-59.3434,0.000123174,-270.492,7.1894,24.8121,13.0914,11.0975,7.3926,7.02397,2236.57,4945.63,2.43078,7.92834,15394.8,-13.0805,45.9846
14,-78.1896,-61.9519,0.000169123,-276.568,2.29606,23.6856,13.2987,11.3692,8.37424,9.31658,2915.38,5536.57,1.97794,5.72746,17082.8,-10.8565,43.9881
15,-75.436,-61.8886,0.000162745,-276.864,-2.1886,23.9669,14.7845,10.7535,10.8334,6.37608,4082.92,6189.06,1.45126,3.84643,18550.8,-8.23519,39.6606
