,loudness-0,loudness-1,loudness-2,bufmfcc_feats-0,bufmfcc_feats-1,bufmfcc_feats-2,bufmfcc_feats-3,bufmfcc_feats-4,bufmfcc_feats-5,bufmfcc_feats-6,spectral-0,spectral-1,spectral-2,spectral-3,spectral-4,spectral-5,spectral-6
0,-32.3162,-22.6386,0.0362928,-17.1214,32.7294,24.7242,13.4617,9.6675,5.37187,4.5062,2322.22,4553.76,2.58089,8.98662,14258.4,-11.2447,35.7971
1,-28.8036,-21.6029,0.0372479,-108.597,96.9327,23.1657,20.0535,26.1024,12.5483,8.62512,400.564,1119.26,11.2403,163.231,1333.49,-35.6945,39.2775
2,-28.578,-21.4732,0.0377903,-114.993,99.6468,31.8674,14.4517,29.2513,13.9983,1.77224,363.644,1084.37,12.4118,189.772,824.737,-36.7971,39.0814
3,-28.4524,-21.4732,0.0378991,-122.089,101.098,39.057,14.6098,23.5597,15.3896,3.92965,343.61,1043.08,13.4224,215.853,662.435,-37.7506,39.1617
4,-28.4274,-20.6541,0.0333513,-123.812,101.422,39.4842,13.1382,26.3712,13.4258,1.78085,355.409,1051.53,13.1721,207.666,685.719,-37.4747,39.0966
5,-29.5377,-20.9828,0.0332933,-128.076,103.926,40.9097,9.74463,21.9811,14.7658,3.14633,367.705,1080.14,13.2602,209.36,774.949,-37.544,40.2201
6,-29.5529,-22.4942,0.0322765,-135.472,104.519,46.8757,7.50738,21.3025,18.5668,0.72559,356.812,1076.8,13.7848,221.818,664.061,-38.2329,39.8239
7,-29.8223,-22.8753,0.028836,-138.906,104.167,48.926,7.49689,22.7214,15.291,-0.412209,350.019,1090.68,13.7513,218.336,633.075,-38.3261,39.7169
8,-30.8013,-22.9295,0.0314002,-138.802,101.46,49.8677,8.67267,19.9096,14.1419,-0.117377,361.74,1113.38,13.2665,203.248,662.282,-37.3719,40.3737
9,-30.0613,-23.058,0.0294212,-139.543,102.147,51.4199,8.74683,21.5883,13.8995,2.83831,356.977,1106.82,13.5244,209.163,603.471,-38.0023,39.4782
