,loudness-0,loudness-1,loudness-2,bufmfcc_feats-0,bufmfcc_feats-1,bufmfcc_feats-2,bufmfcc_feats-3,bufmfcc_feats-4,bufmfcc_feats-5,bufmfcc_feats-6,spectral-0,spectral-1,spectral-2,spectral-3,spectral-4,spectral-5,spectral-6
1,-54.5837,-44.2282,0.00840721,-142.453,47.5008,11.6392,12.3896,-3.3602,-2.01235,1.39716,1699.93,3317.05,3.36571,15.4835,8603.59,-16.0273,31.782
4,-34.8585,-26.4322,0.0155103,-18.9571,57.9016,-29.4619,24.9763,-9.99708,16.487,3.79753,2077.37,2433.22,2.10786,8.89334,7176.85,-23.2765,30.8786
5,-36.1876,-28.0173,0.0154401,-38.2198,67.9654,-35.1603,21.6504,-4.27989,16.1753,9.79929,1854.86,2120.84,2.4214,12.4637,6093.61,-25.3865,30.9261
6,-36.227,-28.2608,0.014713,-44.5254,73.2479,-36.0067,21.3859,-1.76333,14.6306,9.51454,1732.1,2008.09,2.55568,14.1174,5685.26,-26.3086,31.1548
7,-36.6459,-28.2608,0.014607,-53.1676,81.1527,-33.9768,18.1504,1.48107,13.4092,8.71896,1530.87,1831.92,3.0814,20.0502,5069.64,-27.4242,32.628
8,-36.7088,-28.0631,0.0146989,-64.2765,88.7095,-31.1879,13.9471,3.17854,8.89955,10.0871,1373.11,1692.74,3.67554,28.0172,4570.4,-28.7224,33.4053
9,-36.6543,-28.0631,0.0134355,-72.3332,91.7784,-31.1925,7.00973,6.92795,7.69726,9.10159,1338.86,1599.86,4.08826,34.7584,3959.29,-29.3802,34.1894
10,-37.4349,-29.056,0.013195,-77.6244,95.0987,-28.9904,6.69945,8.1292,7.11702,11.8791,1258.42,1543.42,4.28075,37.7709,3907.92,-30.3439,34.528
11,-37.5918,-29.056,0.0125023,-84.3395,97.1623,-30.4599,3.51828,8.16471,5.65617,10.2879,1253.7,1509.8,4.48701,41.8305,3621.38,-30.7742,35.0891
12,-38.0602,-29.1554,0.0121363,-87.2464,97.2914,-23.7265,3.70125,6.89689,6.41651,10.9697,1169.15,1517.97,5.02387,48.0103,3393.26,-30.3115,35.209
13,-38.3183,-29.1329,0.0120063,-89.0713,97.5058,-22.5902,-0.589487,10.6408,5.73765,9.34236,1169.47,1495.15,5.0322,48.4231,3285.1,-30.2954,35.1107
14,-38.4118,-29.1329,0.0114596,-94.4321,97.8355,-21.5954,-0.0196009,9.81593,4.37948,10.6682,1152.77,1512.27,5.31694,52.3573,3286.73,-30.2248,35.3526
15,-38.8166,-31.6365,0.0109191,-96.8648,100.15,-18.1181,-2.17195,11.5723,5.37225,10.4738,1108.83,1482.8,5.56293,56.286,3235.98,-30.5003,35.0831
16,-39.2363,-31.6365,0.0104444,-98.578,95.1717,-17.8073,-3.14885,5.84531,7.13476,8.56739,1150.11,1534.99,5.50573,53.2216,3228.09,-29.471,35.5609
17,-39.6223,-32.357,0.0100692,-103.646,99.7151,-13.7919,-4.06675,10.9222,7.30294,10.0975,1060.69,1496.66,6.07511,62.8825,2987.22,-30.2559,35.4915
18,-39.9401,-32.2673,0.0102053,-108.351,100.183,-12.9179,-5.43207,9.64681,8.9316,6.67616,1039.88,1466.92,6.20669,65.6458,2766.44,-30.5568,35.932
19,-39.8235,-32.2673,0.00979606,-114.573,102.135,-6.48624,-9.087,12.5846,6.02764,6.61629,981.841,1489.54,6.86598,73.9192,2734.12,-30.4497,36.1251
20,-40.179,-32.9372,0.00963601,-118.481,105.655,-6.61057,-10.9342,14.7017,7.67112,6.25236,950.15,1442.46,7.11736,80.0981,2676.96,-31.2457,36.0653
21,-40.3221,-33.9361,0.00944713,-124.188,103.675,-3.22818,-12.4494,13.9566,7.73847,5.55829,930.877,1442.23,7.27903,81.808,2417.31,-31.5133,36.565
22,-40.494,-34.8235,0.00887193,-120.304,101.561,-3.33835,-8.42659,12.2396,8.87151,7.84488,918.281,1462.32,7.09503,77.687,2457.82,-30.7805,36.4398
23,-41.0396,-34.8235,0.00910964,-125.135,101.09,-1.85444,-8.84867,10.2245,7.9204,5.72343,924.251,1476.16,7.22887,78.5236,2404.28,-30.6411,37.0937
24,-40.81,-35.2524,0.00882068,-127.782,103.563,0.520606,-11.7131,11.3342,8.7697,7.66334,895.447,1486.64,7.54283,83.6259,2357.54,-30.9382,36.6145
25,-41.09,-35.3763,0.0086667,-126.378,101.045,1.99065,-10.9521,10.0062,10.2893,7.57013,880.867,1493.27,7.39382,80.0486,2361.58,-30.467,36.3669
26,-41.2429,-34.8245,0.00830924,-134.837,104.049,6.50383,-14.5959,7.53822,12.5436,6.52252,854.921,1439.79,7.85525,88.6028,2169.45,-31.3091,36.8757
27,-41.6088,-34.8245,0.0079819,-139.172,105.07,9.67378,-15.8086,8.43393,13.0719,6.29131,841.631,1478.23,8.11943,91.4986,2064.08,-31.437,37.0195
28,-41.9579,-34.2373,0.00790687,-140.009,101.883,12.407,-16.7399,7.42515,12.4288,4.78967,848.545,1534.06,7.94781,85.5214,2061.71,-30.8024,37.2287
29,-42.0399,-34.2373,0.00790864,-141.687,101.31,14.6609,-14.9631,6.8998,12.7219,4.60252,822.227,1527.67,7.96456,85.1596,2048.07,-30.8002,37.2317
30,-42.038,-34.924,0.00785597,-145.705,101.696,17.9723,-15.7158,5.63161,13.818,5.96412,804.403,1527.38,8.15386,88.1304,1994.85,-31.078,37.3116
31,-42.096,-35.2302,0.00767654,-141.564,98.7282,15.3193,-11.304,5.16659,10.7457,7.91577,811.781,1573.59,7.90303,82.7576,2032.28,-29.9822,37.2003
32,-42.2967,-36.2453,0.00736658,-140.968,96.4606,14.4067,-8.12129,3.77839,7.9456,11.8997,829.688,1622.96,7.64151,77.1733,2043.04,-29.1599,37.2279
33,-42.6547,-36.509,0.00696376,-142.136,96.4009,13.7543,-6.03905,3.26537,8.99723,10.7453,797.746,1575.93,7.64806,78.6058,2045.59,-29.8086,37.1308
34,-43.1431,-36.7788,0.00723509,-147.15,97.3487,17.6597,-7.85249,3.1274,9.54497,10.9399,771.906,1589.59,7.9884,83.4298,1982.56,-29.9624,37.3809
35,-42.8111,-36.4839,0.0070474,-151.363,99.3238,19.9481,-9.24549,3.29343,9.68248,10.7923,747.005,1543.15,8.24684,88.6733,1936.87,-30.6564,37.3
36,-43.0394,-36.2565,0.00710049,-155.068,100.07,22.4447,-9.54185,4.07593,10.0834,10.5637,735.065,1558.69,8.39136,90.3428,1925.27,-31.0364,37.2243
37,-42.9742,-36.2565,0.00696987,-155.943,98.321,24.3124,-10.4359,2.55874,10.666,12.2519,746.216,1602.98,8.2375,85.6031,1917.98,-30.3886,37.3967
38,-43.1355,-36.7534,0.00652423,-157.801,97.9178,27.2783,-13.1602,2.50871,12.9819,10.801,747.463,1642.73,8.23071,84.3893,1915.48,-30.2587,37.5347
39,-43.7094,-37.1234,0.00665901,-157.646,96.5298,26.9077,-8.98328,2.32943,9.91955,11.0427,724.493,1660.69,8.2352,83.8788,1896.8,-30.152,37.4498
40,-43.5318,-37.3058,0.00647471,-157.685,95.7209,25.0489,-8.14129,2.33558,9.79652,11.2902,723.816,1636.83,8.13032,82.7939,1911.85,-30.1111,37.4902
41,-43.7756,-37.7935,0.0064977,-164.096,96.4806,29.8293,-8.21948,0.190139,8.32167,12.9541,713.363,1663.59,8.34401,85.1433,1886.69,-30.2851,37.6288
