,loudness-0,loudness-1,loudness-2,bufmfcc_feats-0,bufmfcc_feats-1,bufmfcc_feats-2,bufmfcc_feats-3,bufmfcc_feats-4,bufmfcc_feats-5,bufmfcc_feats-6,spectral-0,spectral-1,spectral-2,spectral-3,spectral-4,spectral-5,spectral-6
0,-71.0078,-56.8279,0.000341204,-218.879,22.1618,18.2961,11.2678,8.4807,7.09067,5.59031,2697.95,4909.96,2.21193,7.08024,15245.5,-10.2662,37.3156
3,-31.3718,-20.9433,0.0517055,27.1686,2.84175,6.02345,16.4814,1.11173,14.406,5.60113,4442.57,4856.92,1.13807,3.48886,14115.4,-8.22462,32.7082
4,-25.7293,-18.3047,0.0501347,21.6556,25.7184,4.65654,17.6119,4.55339,17.2944,9.2943,2303.93,3682.99,2.25495,8.0585,11016.8,-14.5586,40.1435
5,-25.9972,-18.3047,0.0482063,-13.7915,44.326,8.35984,26.7453,13.5664,6.47168,-2.90554,1383.57,2764.04,3.43719,16.6494,6750.32,-20.0524,40.3505
6,-26.3379,-19.3792,0.0481249,-17.121,43.1733,10.3597,27.0688,10.0946,6.94842,-0.319456,1327.14,2748.8,3.46603,16.6229,7040.87,-21.4677,41.143
7,-26.3526,-19.3792,0.0426006,-18.5964,37.6009,10.2192,24.791,12.5956,10.0937,0.76559,1398.75,2909.39,3.35898,15.4695,7751.04,-20.4702,42.3351
8,-27.4117,-20.2454,0.043409,-25.233,44.4618,4.75616,31.9527,5.9763,4.52957,-3.41168,1419.22,2685.33,3.10537,14.1779,7213.06,-22.0462,39.6548
12,-31.8496,-23.1289,0.0168468,-50.5317,49.5124,1.00638,23.7204,8.10396,4.47473,-4.07406,1475.21,2640.6,3.26206,15.6524,6748.81,-20.5877,38.8744
13,-35.4697,-25.3149,0.0124579,-66.4799,69.7226,-12.6915,27.9782,6.96907,5.42244,-1.85435,1134.35,1953.75,3.71569,22.6549,4963.44,-27.3226,38.4299
14,-38.0911,-27.8629,0.0134814,-78.1246,81.2345,-19.6589,25.0202,2.01788,4.8012,-0.341263,1118.69,1776.49,3.78447,25.0837,4617.77,-29.3906,35.6536
15,-37.4053,-28.3103,0.0133774,-85.4806,84.9925,-22.4762,24.5865,5.27675,-0.877673,1.30736,1137.3,1742.7,3.72891,25.9605,4385.19,-29.7904,35.7725
16,-37.4726,-29.2546,0.0123644,-91.9351,82.1521,-24.0239,22.1264,6.3122,-1.18978,1.86328,1259.82,1832.01,3.63105,25.3009,4669.78,-28.3438,36.9361
17,-38.1566,-29.7751,0.0110361,-88.3202,75.7676,-16.9869,18.6993,4.69828,-1.40927,-1.33347,1211.38,1898.99,3.98962,27.3368,4650.87,-27.2681,37.311
18,-39.1437,-29.8496,0.0109379,-85.1488,71.5331,-8.49856,14.1502,7.95608,0.0269862,-4.87761,1105.1,1904.72,4.46939,30.8297,4340.75,-26.1679,37.8184
19,-39.2213,-30.6155,0.0123914,-72.3009,53.9097,0.317032,11.8459,2.7653,3.69604,-9.12511,1419.32,2535.09,3.65185,18.8451,6234.09,-21.8309,36.2863
20,-38.1376,-30.3548,0.0120941,-68.2564,45.063,-1.17412,11.3653,-0.727894,2.33365,-7.71223,1827.45,3013.52,2.90613,12.3733,9151.66,-20.9693,36.6484
21,-38.3485,-30.3548,0.0102556,-66.4912,39.825,-2.98281,10.685,-0.224902,1.40268,-8.08219,1978.67,3141.3,2.7515,11.3602,9206.15,-20.1843,37.4802
22,-39.7808,-31.9484,0.00927196,-70.425,42.5326,-1.62337,8.70786,0.406487,4.21368,-8.20968,1716.59,2964.96,3.12212,13.9188,8174.05,-21.0338,37.2002
23,-40.6566,-32.0519,0.0104806,-65.463,39.9194,-3.99566,8.97529,1.12841,4.53938,-8.1096,1837.73,3041.31,3.00086,13.1969,8869.05,-21.4745,37.833
24,-39.5922,-32.0519,0.0110652,-61.5964,33.2598,-4.91337,6.81126,0.68728,2.24255,-9.0357,2161.74,3367.21,2.68617,10.8573,9913.03,-19.1224,36.1989
25,-39.1208,-32.0633,0.0105409,-67.0459,37.163,-7.48105,5.39256,2.92069,2.19211,-9.22982,2170.53,3258.16,2.72593,11.2962,9882.65,-20.1384,37.2954
26,-39.5424,-31.3627,0.0105462,-65.773,35.4809,-3.09937,2.94924,2.34982,4.27341,-12.5929,2135.33,3320.06,2.62391,10.2623,10315.0,-17.9769,36.6057
27,-39.538,-31.3627,0.0138923,-25.2997,24.7563,-3.28246,13.9334,0.376807,12.3194,-3.09815,2955.95,3838.9,1.78146,5.81608,11677.3,-13.011,31.8355
