,loudness-0,loudness-1,loudness-2,bufmfcc_feats-0,bufmfcc_feats-1,bufmfcc_feats-2,bufmfcc_feats-3,bufmfcc_feats-4,bufmfcc_feats-5,bufmfcc_feats-6,spectral-0,spectral-1,spectral-2,spectral-3,spectral-4,spectral-5,spectral-6
0,-33.0795,-22.1176,0.0395771,-3.2814,28.3967,16.5595,11.4757,13.2979,13.39,6.8378,2608.18,4645.82,2.39698,8.11706,14566.9,-10.5351,33.5341
1,-28.0511,-19.4141,0.040181,-29.5526,72.6767,-4.26493,31.8754,3.02023,19.1823,1.0979,958.755,1866.59,4.0004,23.6443,4748.9,-28.6779,38.4082
2,-27.9196,-19.4141,0.0352563,-37.3565,78.8962,-8.89043,28.3833,0.844479,17.5573,3.42168,996.279,1792.91,4.00029,25.0573,4445.8,-29.2964,38.0043
3,-29.0553,-20.2383,0.0351036,-49.3102,81.972,-11.8497,27.6304,2.80136,18.2948,-0.356721,946.359,1691.04,4.1996,28.0211,3875.23,-30.4274,39.6285
4,-29.093,-19.7232,0.0367663,-50.648,87.5961,-10.0396,31.2411,6.72406,16.8679,3.19078,777.337,1497.38,4.70384,35.1421,3496.09,-32.6273,39.8925
5,-28.691,-19.5399,0.0371121,-55.6984,92.4405,-14.5288,27.7596,4.74563,18.2855,5.69621,840.209,1489.98,4.48928,33.8008,3419.37,-33.1391,38.1428
6,-28.6097,-19.5399,0.0343201,-60.722,95.4873,-16.5,21.9295,4.65473,17.1095,5.94151,865.692,1452.01,4.65813,37.8935,3396.72,-33.2246,39.2432
7,-29.289,-20.0044,0.0323871,-65.0649,99.2334,-10.2834,25.9056,6.94174,17.328,11.0006,676.301,1278.95,5.597,52.4289,2500.18,-35.3239,39.877
8,-29.7926,-20.5647,0.0356357,-66.4361,98.6741,-8.64845,22.903,7.48336,14.5911,10.5911,691.026,1304.46,5.73297,54.7637,2655.39,-34.0786,38.636
9,-28.9623,-20.5647,0.0316404,-72.5709,97.994,-14.2324,19.1617,6.11256,13.7759,12.165,820.399,1389.03,5.18895,47.273,2976.68,-33.0356,39.723
11,-30.3683,-21.5256,0.0340741,-80.8076,102.72,-7.75885,21.6176,10.5346,12.2106,12.7645,623.302,1219.24,6.60343,72.8869,2341.17,-35.2375,40.2976
12,-29.3515,-21.5256,0.0308165,-84.4952,101.836,-10.3741,16.4261,7.38525,9.96633,8.35844,737.977,1299.65,6.10648,63.3639,2537.64,-33.8263,40.6847
13,-30.2243,-22.6177,0.0284144,-85.8697,105.296,-6.63296,18.7366,11.9822,12.8125,11.9845,623.872,1183.63,6.90982,80.5859,2193.73,-36.0412,39.8748
15,-29.6972,-23.0248,0.0315588,-93.6994,104.967,-4.32638,15.259,12.9374,9.73265,9.48796,639.836,1198.54,7.33523,88.7424,2226.25,-35.2065,39.9259
58,-36.8537,-27.8071,0.0279067,-68.9116,34.6195,23.829,20.5716,-2.61874,23.6804,-2.88729,2006.91,3685.96,2.31648,7.82759,11048.6,-16.2649,38.3293
60,-26.6218,-14.8978,0.0615745,60.3546,10.2986,7.0361,11.7568,2.95983,19.0557,-3.18263,4087.89,4743.4,1.26091,3.76611,13825.9,-8.7619,32.5792
61,-24.212,-14.8978,0.0511557,64.6271,25.3934,6.20107,16.2332,1.15942,21.2315,2.44406,2751.12,3973.37,1.8775,6.18466,11235.3,-13.08,35.8956
62,-25.8221,-17.1736,0.0468309,54.8313,27.5699,5.50957,10.1129,1.80417,19.0616,8.01757,2734.9,4030.99,2.06509,7.034,11788.9,-12.6112,34.1902
63,-26.5894,-16.8771,0.0480455,39.4098,25.6313,5.13513,15.2259,-1.23668,15.9377,7.81744,2917.02,4039.48,1.89102,6.37795,11607.0,-12.825,32.6201
64,-26.367,-16.8771,0.0449072,32.0396,39.7411,8.7351,19.4205,-3.00375,17.0322,12.6152,1883.96,3267.89,2.63133,10.5215,9084.03,-17.097,36.5227
65,-26.9537,-18.5407,0.0394585,31.3269,36.1969,10.2496,19.137,-1.69922,11.657,7.52602,2115.22,3530.57,2.46228,9.37313,9953.95,-15.8095,36.4931
66,-28.0772,-18.7266,0.028838,23.933,31.7187,5.24817,21.8277,-7.83865,11.0733,8.73292,2600.62,3667.12,1.97936,7.03293,10226.5,-14.6761,30.7244
67,-30.8007,-20.1828,0.033668,14.2606,41.923,2.92444,23.8294,-6.52809,12.4196,4.01383,2062.72,3215.87,2.32001,8.88511,8992.53,-17.5323,36.0156
68,-29.4556,-19.9336,0.0385583,-2.55418,53.9595,0.33771,26.5798,-2.40836,13.4709,4.85642,1497.79,2627.17,2.94282,13.2947,7693.98,-22.0687,36.066
69,-28.2776,-19.7856,0.0316948,-23.0138,63.5761,-9.83832,29.0411,-6.49602,15.786,2.03691,1457.94,2359.83,2.78829,12.5647,6785.59,-24.6045,36.0931
70,-29.9802,-19.7856,0.0319946,-33.6604,84.4184,-11.4772,32.9022,-3.82778,14.4128,4.04596,958.393,1737.48,3.73375,22.4538,4065.03,-30.3057,38.7563
71,-29.8985,-21.0999,0.0359277,-40.0711,91.4119,-14.359,28.1067,-4.67505,11.6462,8.27529,898.321,1595.4,4.02621,26.8858,3876.33,-31.3706,38.5857
72,-28.8914,-21.0999,0.0294696,-49.0486,93.3951,-16.1181,26.6143,-4.34026,9.22834,5.77126,981.781,1632.02,3.95706,27.1019,3877.19,-30.7802,36.6307
73,-30.6125,-21.9561,0.0283073,-49.3323,100.346,-14.8716,23.0187,-2.22863,9.02124,8.96076,838.818,1432.45,4.51517,35.7895,3595.82,-33.319,38.4386
74,-30.962,-21.9516,0.0319251,-50.9039,101.28,-13.8023,25.1262,-1.88067,9.10731,9.41989,799.015,1404.64,4.77037,39.3323,3480.6,-33.4013,37.6227
75,-29.9174,-21.7004,0.0269743,-64.2378,96.904,-15.8949,23.6268,-2.61017,5.68238,7.29781,960.218,1563.72,4.27764,33.017,3855.35,-31.4236,36.4234
76,-31.381,-21.7004,0.0271536,-64.9868,104.419,-11.5842,20.2524,7.5382,6.61557,6.16183,728.771,1303.3,5.42424,52.2803,3101.89,-34.037,38.9855
77,-31.3235,-22.0743,0.0309774,-67.0984,103.702,-12.7928,22.8941,4.92332,7.94655,10.9757,710.623,1312.24,5.28244,49.6636,3311.33,-34.4842,38.9515
78,-30.1791,-22.0743,0.0277087,-71.943,102.368,-12.8232,18.9851,5.47758,8.91487,11.1637,785.213,1382.02,5.25299,49.1516,3420.89,-32.947,36.8385
79,-31.1477,-21.9816,0.0257837,-75.1331,106.837,-9.63449,17.2944,6.04321,9.30983,11.2889,687.732,1261.59,5.87109,60.9037,2673.99,-34.6041,39.7802
