,loudness-0,loudness-1,loudness-2,bufmfcc_feats-0,bufmfcc_feats-1,bufmfcc_feats-2,bufmfcc_feats-3,bufmfcc_feats-4,bufmfcc_feats-5,bufmfcc_feats-6,spectral-0,spectral-1,spectral-2,spectral-3,spectral-4,spectral-5,spectral-6
1,-72.7309,-53.7626,0.000116551,-234.873,-11.7024,-11.0297,0.553464,24.2484,16.6156,0.252133,3397.04,5407.41,1.89228,5.64979,17292.0,-9.99921,43.7981
2,-78.6696,-58.8356,0.000139685,-255.568,-18.7394,7.48546,12.4911,23.4165,22.4879,8.44874,4052.05,6147.12,1.46668,3.91553,18488.1,-8.56249,43.6562
8,-77.4112,-61.2758,9.05261e-05,-268.678,-11.3141,25.4781,14.2159,6.16233,2.75243,9.78182,3551.08,6087.02,1.62667,4.32712,18439.2,-9.93924,44.7397
13,-77.5471,-58.6552,0.000222787,-277.659,-12.7834,20.9672,12.9107,11.0383,8.01939,12.5854,3639.95,6101.85,1.58015,4.14333,18308.5,-9.49935,44.5556
14,-73.0422,-58.6552,0.000244114,-269.38,-5.27656,20.1638,6.82231,9.60044,11.4388,8.97688,2313.74,5076.66,2.31278,7.24597,15767.5,-13.1584,46.3471
15,-72.2481,-56.7012,0.000257581,-265.548,-3.57334,18.2908,8.04989,11.856,8.38335,12.0011,3616.02,6048.82,1.63805,4.36791,18206.9,-9.1232,42.9531
16,-71.7817,-54.9508,0.000130965,-263.721,-12.4126,14.3586,7.66822,11.3217,8.02748,8.28177,2062.62,4912.35,2.55019,8.48208,15423.4,-14.4493,47.6337
17,-77.6569,-54.9508,0.000179915,-270.1,-6.48032,20.275,13.2104,14.8731,12.22,12.4991,2040.27,4856.76,2.55876,8.54057,15260.2,-14.3222,47.5796
18,-74.8986,-58.3683,0.00020242,-270.15,-7.87633,21.8782,9.03837,11.4139,12.9126,5.58604,3745.46,6084.46,1.53364,4.03781,17806.5,-9.1754,41.7577
20,-70.0379,-56.84,0.000328158,-261.955,4.60291,23.6606,11.9926,9.20602,3.345,7.25492,1870.47,4618.5,2.74752,9.65818,14436.5,-14.8259,46.0448
22,-72.2512,-56.6911,0.000221146,-249.125,5.67275,19.9616,6.23421,11.6704,7.38026,9.72002,2420.12,5221.58,2.32337,7.24937,16810.3,-12.5011,45.5513
24,-73.7709,-55.0448,0.00027471,-248.951,10.4746,22.5848,6.79242,6.20981,3.72114,4.63039,2912.37,5435.83,2.00056,5.85501,16683.2,-10.6996,42.4899
25,-71.2225,-55.0448,0.000138787,-249.295,11.4516,26.6518,12.5631,6.99058,4.5993,7.96901,1758.93,4497.24,2.89702,10.587,13953.9,-15.2435,47.0189
26,-77.153,-55.6664,0.000173518,-252.033,14.299,22.2078,8.70432,5.02035,0.666082,2.36745,1739.87,4378.41,2.93174,10.89,13435.4,-15.1368,46.8399
27,-75.2131,-56.7671,0.000245167,-244.537,14.8036,23.5108,4.85018,-0.69723,1.51069,5.58645,2511.44,5140.78,2.28892,7.21051,16087.3,-12.0186,44.7061
30,-73.7576,-61.5142,0.000112422,-265.726,-2.73576,28.0138,11.933,7.94235,7.41098,9.39642,3398.5,5907.09,1.68535,4.54328,17750.7,-10.0618,43.2172
31,-78.983,-58.8107,0.000117558,-262.615,-8.88724,17.2844,6.00027,3.81051,5.71406,8.13229,2944.35,5577.98,1.92481,5.50943,17279.7,-11.0126,46.1191
32,-78.595,-54.746,0.000171032,-269.034,1.11323,23.5193,8.8693,13.3134,8.76598,9.34748,2053.25,5019.19,2.60922,8.68519,16044.0,-14.5243,47.3094
33,-75.3385,-54.6832,0.000195841,-266.32,-6.60931,27.4556,11.2468,14.7445,10.2686,6.07681,1956.66,4915.57,2.63235,8.7957,15713.8,-15.1909,47.6905
34,-74.1619,-54.6293,7.88897e-05,-269.958,-9.79165,20.9606,12.451,13.0561,5.14403,5.44908,3050.47,5924.14,1.92244,5.37582,18449.6,-11.296,46.8403
37,-75.8901,-58.0413,0.000172395,-271.502,-9.65993,23.659,10.734,11.1865,10.152,7.94269,3108.63,5731.7,1.80839,4.9855,17509.2,-10.8395,45.2418
38,-75.2695,-53.407,0.000189379,-265.665,-2.30134,27.1555,15.4017,15.1801,11.7369,16.37,1919.86,4800.64,2.68826,9.19611,15039.3,-14.9987,47.3052
40,-75.2609,-53.508,0.000209685,-260.102,-0.845132,23.3793,15.3733,15.931,11.9484,10.6198,1779.39,4562.97,2.82594,10.1113,14054.4,-15.351,47.0505
41,-73.5686,-56.0422,0.000292557,-242.137,-3.53756,18.2403,14.7011,5.75171,2.83778,7.26368,3944.34,5967.59,1.50127,4.0751,18176.0,-8.10495,40.971
