,loudness-0,loudness-1,loudness-2,bufmfcc_feats-0,bufmfcc_feats-1,bufmfcc_feats-2,bufmfcc_feats-3,bufmfcc_feats-4,bufmfcc_feats-5,bufmfcc_feats-6,spectral-0,spectral-1,spectral-2,spectral-3,spectral-4,spectral-5,spectral-6
77,-57.8451,-45.1237,0.00286368,-186.474,34.8028,6.40788,5.51796,-2.35852,3.88428,9.757,1872.12,3709.01,3.08741,13.0252,9626.81,-14.8307,40.2833
78,-50.8615,-41.0857,0.0114035,-121.591,50.5638,-6.14554,14.4731,4.7352,7.02494,3.08725,1711.76,2841.68,3.27527,16.4424,7323.56,-18.1559,32.883
79,-38.8592,-24.7948,0.0219806,-63.7995,12.3508,-1.72873,13.2992,6.21313,15.0651,2.18228,3735.25,4515.01,1.47485,4.58245,12939.8,-9.67726,31.7892
81,-31.5934,-22.05,0.0240553,23.648,9.2086,1.91765,9.38339,-6.32337,10.0202,-8.12567,4235.41,4651.83,1.12634,3.33385,12700.9,-12.8973,32.0941
82,-32.3758,-23.551,0.0217958,6.20019,20.7836,-5.85524,11.9534,-4.0799,7.43905,-8.84586,3156.67,3910.67,1.61037,4.92251,11622.4,-17.3187,33.5451
83,-33.2325,-23.6642,0.0206183,0.481026,20.687,-9.73767,12.0603,-4.29514,4.61967,-10.8563,3125.43,3784.59,1.7203,5.63131,11566.8,-16.2707,33.3523
84,-33.7149,-25.167,0.0199061,-6.42687,20.4659,-8.40516,8.67149,-2.24533,6.04352,-10.4419,3027.65,3830.86,1.85007,6.16566,11584.4,-17.0811,34.9629
85,-34.0203,-26.8003,0.0190832,-18.3741,23.8721,-12.1143,10.2192,-3.77598,5.8811,-12.6378,2818.57,3616.26,1.93353,6.58564,11565.6,-19.4746,36.1711
86,-34.387,-27.5162,0.0189305,-27.9585,28.1485,-16.9315,12.8848,-8.09744,5.02081,-11.1357,2538.25,3252.42,2.07116,7.63347,9664.18,-20.8855,36.8773
87,-34.4568,-27.5351,0.0189548,-40.5913,36.2228,-20.4262,15.6127,-11.6132,6.85233,-12.6893,2197.83,2890.29,2.22868,8.56181,8911.96,-23.9321,37.7329
88,-34.4456,-27.4204,0.0183144,-44.9324,37.9904,-24.3738,16.7843,-10.7058,3.29193,-12.9912,2127.29,2740.02,2.30361,9.49298,8668.55,-24.1166,37.7618
89,-34.7441,-27.4204,0.0187237,-29.3969,15.4914,-10.7973,6.38411,-4.19556,0.184312,-15.1341,2857.38,3799.31,2.06415,7.23144,11724.8,-15.7164,36.9937
90,-34.5522,-26.4457,0.0187032,-12.6681,0.857669,-11.6362,6.43928,0.473791,-4.10976,-18.9369,3926.97,4424.26,1.39847,4.22423,12728.9,-12.8752,35.126
92,-35.8504,-26.5199,0.0117385,-23.3759,9.86676,-21.3751,0.700725,2.22646,8.17694,-16.2656,3332.87,3890.32,1.74702,5.67184,12082.5,-13.8294,35.6604
93,-38.6078,-29.0185,0.00606412,-56.4118,28.2886,-18.2749,5.93468,-6.23616,3.87783,-13.3485,2466.73,3223.99,2.33049,9.09682,9842.41,-16.8409,37.1887
94,-44.3446,-33.37,0.00286181,-106.446,50.1585,-10.4822,4.56245,-2.55304,6.58999,-8.90732,1846.25,2762.64,3.29848,16.4197,7621.23,-19.0156,36.7197
95,-50.8672,-41.3316,0.00168344,-135.655,50.4121,7.54793,12.2255,1.98016,7.85021,1.32449,1599.18,3042.81,3.50956,17.0113,8219.95,-17.5657,34.2559
96,-55.4761,-45.4092,0.00111135,-161.081,50.1977,10.896,5.88876,-0.495815,5.4817,10.6161,1603.03,3180.06,3.63576,17.5154,7993.54,-16.8674,35.2482
97,-59.083,-48.4131,0.000997367,-171.171,37.2967,8.65893,10.7728,1.73005,7.7556,11.8183,1903.15,3693.74,3.02418,12.7148,10081.4,-14.7254,36.4603
98,-60.0229,-50.4485,0.00117795,-168.97,29.7402,-1.80955,3.96341,0.0900088,8.41072,12.6963,2370.31,3803.22,2.71216,10.8355,10889.7,-13.5607,35.1919
99,-58.5774,-50.4485,0.00107727,-163.82,33.9262,-4.64395,4.67501,-0.690649,8.93142,10.9633,2309.75,3516.67,2.85019,12.0393,10149.4,-14.6708,33.0067
100,-59.3535,-51.2405,0.000998576,-167.099,33.2338,-9.04973,4.82285,5.62953,8.08316,11.0122,2590.62,3765.89,2.76018,11.3738,10708.1,-13.32,30.2226
101,-60.0124,-49.8331,0.00475568,-161.324,29.7044,-9.62818,7.50327,5.69506,6.91398,10.0815,2499.46,3693.31,2.64974,10.9354,10307.9,-13.6609,34.46
102,-46.4557,-34.0841,0.00873987,-96.3899,29.8764,-8.23772,16.9002,-2.56799,17.0206,8.57459,2504.38,3416.07,2.06373,7.5114,10060.0,-15.4622,30.8377
