,loudness-0,loudness-1,loudness-2,bufmfcc_feats-0,bufmfcc_feats-1,bufmfcc_feats-2,bufmfcc_feats-3,bufmfcc_feats-4,bufmfcc_feats-5,bufmfcc_feats-6,spectral-0,spectral-1,spectral-2,spectral-3,spectral-4,spectral-5,spectral-6
1,-17.3555,-9.01655,0.222169,40.3077,54.5048,10.594,25.5758,5.04734,20.3816,4.90264,993.491,2287.35,3.96112,21.2198,5979.95,-24.3382,40.2683
4,-11.7136,-3.00253,0.230374,1.15936,85.5028,12.5652,26.6196,12.4322,23.894,-1.97001,479.927,1293.34,6.83742,62.2074,2191.68,-37.2219,41.8409
5,-12.7513,-3.70294,0.210237,-11.3046,94.8379,13.7949,27.6223,10.8804,28.195,0.18165,370.265,983.67,8.79171,103.935,1179.81,-42.4015,42.4122
6,-13.5458,-5.72348,0.172498,-22.3484,101.859,9.97137,23.7278,6.11948,26.6273,0.198707,413.148,1026.17,7.97451,90.5116,1621.41,-41.6596,40.6673
7,-15.2643,-6.01399,0.158037,-27.7186,107.041,7.74995,26.0796,10.6375,24.9646,2.57707,366.783,879.761,9.14842,123.539,1202.56,-44.0945,41.6855
8,-16.0248,-8.1778,0.140606,-35.2494,111.423,9.36778,25.8083,8.74988,20.5414,1.40618,377.372,867.234,9.23411,128.583,1168.64,-44.3407,38.4077
9,-17.0399,-8.1778,0.139163,-38.3741,112.372,6.74917,25.2049,9.42519,20.0843,3.32924,381.629,872.45,9.01856,125.335,1352.33,-43.7378,38.9144
10,-17.1295,-8.21444,0.139227,-39.144,115.487,8.47169,24.5766,10.6074,20.4513,5.30008,360.717,789.869,9.95614,154.87,1165.2,-45.7234,41.2614
11,-17.1255,-8.21444,0.128815,-44.3982,115.656,4.48108,21.4117,7.83549,18.5629,3.96957,427.556,913.959,8.34579,113.769,1828.79,-42.5021,39.514
12,-17.8007,-8.98487,0.129948,-45.0127,118.714,6.08146,22.9081,11.8412,19.3143,5.40548,364.716,763.152,10.1649,168.041,1174.87,-45.2143,42.3805
13,-17.7246,-9.11742,0.122461,-51.187,116.17,6.09813,20.8955,8.24926,15.6396,4.66626,423.312,895.552,8.97215,130.691,1633.39,-41.5607,39.0817
14,-18.24,-10.2187,0.121347,-57.7499,120.451,9.11777,22.6077,12.784,12.9563,4.99291,366.422,748.251,11.0488,198.284,1130.93,-45.2446,42.51
15,-18.3194,-10.2794,0.119418,-59.912,119.573,6.30422,19.256,13.7866,11.4753,3.2454,402.928,822.216,9.98748,163.524,1363.84,-43.2339,42.0035
16,-18.4586,-11.1811,0.110219,-63.9464,121.495,5.82253,17.56,12.4361,12.6408,5.49841,411.576,815.238,10.3381,177.116,1386.28,-43.4276,41.4257
17,-19.1549,-11.1389,0.115439,-66.7095,123.767,6.1975,16.9271,14.3698,8.9146,5.95755,391.753,775.6,10.7147,192.801,1200.5,-44.7772,43.8533
18,-18.7529,-11.1389,0.102011,-69.5808,120.489,5.73745,15.0386,16.9812,10.333,4.88148,440.87,879.95,9.94855,163.119,1829.84,-42.5351,42.5529
19,-19.8271,-12.5212,0.10579,-70.4106,125.028,7.40725,16.439,17.3508,10.8275,3.76728,378.854,751.327,11.3898,216.835,1163.86,-45.5234,43.9039
20,-19.5111,-12.0132,0.100019,-76.0545,121.655,9.27331,16.3494,19.394,9.78862,2.75163,409.568,826.153,10.8852,191.764,1356.63,-43.8807,42.1416
21,-19.9983,-12.0132,0.0972383,-76.8089,123.141,11.8253,16.6509,16.5091,10.7064,3.41918,370.676,752.613,12.1004,233.739,1139.45,-44.9629,43.2016
22,-20.2433,-13.1238,0.100204,-78.2783,123.271,11.4798,13.7585,18.8092,12.1664,4.42309,370.61,751.409,12.4374,244.427,1143.38,-45.0083,42.4159
23,-19.9823,-13.1238,0.0924074,-81.9135,124.805,9.20376,11.8704,18.5299,10.3077,0.823055,399.258,801.332,11.3598,209.737,1342.03,-44.13,41.3452
24,-20.6859,-12.8237,0.0990163,-83.3131,125.024,12.9622,11.5512,20.1621,9.92807,2.53845,359.395,714.92,13.5509,289.386,1092.76,-45.7831,43.754
25,-20.0859,-12.8237,0.0905314,-87.0211,123.156,10.6008,7.55838,20.4175,6.56826,-0.981212,437.706,867.511,11.1765,197.954,1603.97,-42.3105,42.8293
26,-20.864,-14.0655,0.0927963,-87.2573,125.765,13.2275,8.64056,22.0394,8.33341,0.251787,370.901,722.662,13.6134,292.044,1096.83,-45.051,44.1544
27,-20.6494,-13.7966,0.0908021,-90.1057,124.641,11.7186,3.6272,21.1861,5.50932,-1.18875,430.805,830.629,11.9062,222.996,1377.24,-42.7628,42.6513
28,-20.8381,-13.7966,0.0866463,-90.7274,124.88,13.0214,6.72314,21.8759,6.87173,0.024884,384.624,748.82,13.2817,274.895,1114.94,-44.1632,43.5071
29,-21.245,-13.8504,0.0897377,-93.4708,126.227,15.1584,4.50089,20.7306,5.28689,-0.126294,381.462,765.766,14.0621,296.907,1113.84,-44.2174,43.9516
30,-20.9405,-13.8504,0.0830747,-94.6989,123.354,15.3537,4.85222,19.874,6.25198,-2.25836,403.513,798.743,13.1036,258.88,1139.98,-42.9834,43.3532
32,-21.0756,-15.0458,0.0827743,-97.9265,122.034,17.5717,3.19349,18.9648,6.31173,-3.12736,415.666,817.093,12.8188,243.503,1151.61,-42.3893,43.9323
34,-21.5094,-15.551,0.0832173,-98.4923,122.271,18.1518,4.67196,18.4007,9.02966,-3.27159,389.318,774.173,13.8935,283.378,1091.77,-43.1786,43.1289
35,-21.5957,-15.551,0.0807144,-83.052,107.247,20.5886,14.8044,9.90633,10.3235,-3.76738,410.115,900.66,11.5891,186.504,1116.91,-39.3506,43.3791
