,loudness-0,loudness-1,loudness-2,bufmfcc_feats-0,bufmfcc_feats-1,bufmfcc_feats-2,bufmfcc_feats-3,bufmfcc_feats-4,bufmfcc_feats-5,bufmfcc_feats-6,spectral-0,spectral-1,spectral-2,spectral-3,spectral-4,spectral-5,spectral-6
2,-12.2708,-3.43619,0.197644,64.0937,58.617,9.91596,23.7668,-2.95714,13.2894,-1.47407,1181.1,2431.46,3.59302,17.2583,6385.27,-24.0575,38.0377
3,-14.0823,-5.25359,0.226592,54.4373,71.7782,6.89594,23.9176,-1.88583,14.0776,3.18418,898.067,1886.49,4.51148,27.6317,4350.7,-28.4656,37.0566
4,-12.8951,-5.25359,0.19078,48.6212,77.7527,0.726139,29.1101,-4.41656,12.2648,0.911281,861.86,1748.62,4.38973,27.0895,4291.19,-31.5876,40.4901
5,-14.3893,-5.87602,0.198601,38.2418,78.162,-1.58269,27.7426,-1.17691,14.7256,-5.16441,871.884,1720.51,4.40087,27.4656,3820.19,-31.0169,39.8329
6,-14.0404,-5.80561,0.203922,36.7054,83.3299,4.32817,22.2684,-2.04621,13.5132,-4.05193,786.84,1583.49,5.05964,35.6604,3045.2,-32.4012,39.6547
7,-13.8107,-5.80561,0.199104,35.5811,86.273,5.24448,20.1625,-1.57852,12.0279,-2.07791,724.912,1462.45,5.60751,44.202,2736.14,-32.9131,38.7624
8,-14.0184,-7.14357,0.205315,28.938,88.9928,2.91858,17.8235,-1.87236,10.9523,-2.77716,728.387,1425.4,5.68265,46.2203,2724.21,-32.7811,39.1336
9,-13.7516,-6.03019,0.194827,24.523,91.6281,5.21819,18.6765,-2.54206,10.674,-1.16806,662.722,1332.14,6.12033,53.4143,2358.19,-34.0217,39.3902
10,-14.207,-6.03019,0.189042,22.7949,92.1798,9.4834,19.1512,-1.14976,12.3511,-0.533972,618.339,1304.26,6.5488,59.9361,2208.67,-33.9939,38.8084
11,-14.4688,-7.29944,0.189803,20.8992,91.4425,9.42276,20.5263,-2.21139,12.5219,-4.32795,631.816,1329.06,6.3847,56.5666,2242.2,-34.128,38.8987
12,-14.4339,-6.80423,0.188834,17.4757,92.2621,8.68782,19.413,-2.32009,12.3157,-5.52274,623.443,1293.96,6.53866,59.4127,2219.3,-34.6683,39.1909
13,-14.4784,-6.80423,0.19053,18.4089,94.4461,13.4478,18.1648,-3.45455,11.6847,-5.1625,595.413,1253.26,6.95384,66.1605,1952.45,-35.0082,38.4245
14,-14.4007,-7.23969,0.185398,17.8654,94.2305,10.5353,14.1942,-0.347568,12.9132,-3.52017,611.399,1250.19,6.95989,67.8461,2162.22,-34.7862,38.6778
15,-14.6379,-7.33672,0.175096,15.2687,91.7329,11.8069,14.2746,-0.669396,11.713,-6.03776,609.15,1280.98,6.96062,66.5017,2179.71,-34.423,39.322
16,-15.1345,-7.45219,0.16808,11.3233,92.1264,14.1861,18.2732,1.11829,10.201,-3.38963,563.522,1240.28,7.35823,73.542,1925.31,-34.9156,39.2284
17,-15.4897,-7.41658,0.171698,10.6456,94.0456,13.5249,19.692,-2.84479,11.818,-5.88519,571.009,1218.67,7.2006,70.7274,1894.75,-35.2313,39.2645
18,-15.3047,-7.41658,0.176305,4.50509,92.3858,16.1169,16.7185,-2.24595,12.6363,-1.61599,550.943,1206.7,7.53621,76.0792,1579.95,-35.5184,39.6642
19,-15.0747,-7.98725,0.166556,3.94263,90.7463,15.2644,18.2603,-1.14404,12.6072,1.31695,543.834,1226.93,7.52305,76.2588,1624.32,-34.577,39.7298
20,-15.5688,-8.12334,0.155999,3.11579,88.2256,16.2706,22.2196,0.915743,13.7542,0.762157,536.431,1254.41,7.35058,71.461,1649.44,-34.5395,39.5452
21,-16.1376,-8.04106,0.160501,0.729119,90.9196,17.2181,20.9885,-0.555502,7.90778,-1.98216,534.849,1212.83,7.66096,78.1363,1485.53,-34.9885,39.3287
22,-15.8904,-7.63347,0.165557,-1.61868,92.5241,16.3999,18.54,0.371059,11.9096,-1.34418,527.439,1193.17,7.79456,81.5874,1502.82,-35.3139,39.4346
23,-15.621,-7.69258,0.164042,-1.34891,93.2556,15.588,19.9047,-1.99503,12.6918,-0.696806,533.301,1189.15,7.65928,79.8128,1611.55,-35.1538,39.4448
24,-15.7009,-7.90592,0.158271,-4.89511,92.4746,18.8219,17.5657,-1.9487,13.6318,-4.53039,533.972,1209.77,7.84161,81.3264,1461.75,-35.2236,39.7233
25,-16.012,-7.85853,0.154708,-7.35623,95.3116,18.9796,17.4281,-1.2429,13.3728,-3.75912,520.635,1171.02,8.12915,88.3382,1447.2,-35.3806,39.7742
26,-16.2098,-7.85853,0.155174,-11.1996,94.9952,18.1253,17.9197,-0.794424,12.7517,0.226393,508.49,1153.91,8.16082,89.3812,1485.33,-35.6256,40.1927
27,-16.1836,-8.06809,0.154593,-13.1655,95.7855,18.9443,19.5843,-4.12473,14.2762,-0.334523,509.479,1149.02,8.02412,86.2941,1481.14,-35.942,40.3471
28,-16.2162,-8.3416,0.152265,-14.3296,96.5214,20.4825,17.2027,-2.70918,14.0463,-2.29812,512.75,1159.68,8.20765,89.1687,1462.61,-35.7275,40.385
29,-16.348,-8.21156,0.150374,-14.8277,92.649,23.3962,19.7904,-5.80776,13.593,-3.66009,528.717,1239.31,7.77834,78.6641,1447.53,-34.6628,40.6878
30,-16.4565,-8.21156,0.148094,-20.6325,94.6391,21.3526,17.3051,-0.449994,11.4852,-4.44753,514.017,1191.74,8.2412,89.1211,1451.99,-35.1171,41.1306
31,-16.5892,-8.5045,0.145342,-24.4513,98.2358,19.9941,21.6761,-2.06266,12.7724,-6.02254,498.354,1123.76,8.4187,95.4344,1423.73,-36.3509,41.0374
32,-16.7522,-9.02604,0.143195,-25.351,97.0149,22.4823,20.0127,0.618358,11.5196,-4.72412,487.939,1124.47,8.63482,99.0267,1315.31,-35.9112,41.0546
33,-16.8814,-8.79203,0.140917,-29.5695,96.2537,23.1772,19.5694,0.171047,11.5576,-3.49136,484.521,1133.12,8.69985,100.401,1322.68,-35.5459,41.5261
34,-17.0207,-8.79203,0.138447,-34.0447,98.9787,21.7506,19.2482,0.0623992,13.077,-2.23014,466.061,1075.88,8.93102,106.79,1324.21,-36.6984,41.6004
35,-17.1743,-9.28117,0.136603,-35.5974,102.415,22.03,17.2383,1.5556,13.9923,-2.28836,457.374,1027.67,9.44658,121.733,1330.34,-37.5734,41.1994
