,loudness-0,loudness-1,loudness-2,bufmfcc_feats-0,bufmfcc_feats-1,bufmfcc_feats-2,bufmfcc_feats-3,bufmfcc_feats-4,bufmfcc_feats-5,bufmfcc_feats-6,spectral-0,spectral-1,spectral-2,spectral-3,spectral-4,spectral-5,spectral-6
2,-22.5214,-14.5119,0.0678216,25.1484,65.5851,-27.6143,18.9559,-1.48778,17.4065,-2.08633,1598.18,2094.47,2.7504,13.8378,5745.44,-27.2135,37.8861
3,-23.3726,-16.5419,0.0655602,8.1826,70.3796,-34.1199,17.7642,-1.09639,20.595,4.51387,1489.6,1884.8,2.82427,15.629,5216.28,-29.9026,38.2889
4,-23.6672,-16.5419,0.0656087,-4.35809,85.9833,-31.2619,8.81392,1.73206,16.2451,-1.78793,1295.2,1592.28,3.46047,24.6243,3714.36,-31.7132,38.5428
5,-23.6608,-16.7266,0.0679342,-12.0177,89.409,-33.3673,6.2353,3.59569,13.2004,-3.0782,1249.89,1523.92,3.47544,25.9248,3399.95,-33.514,39.2864
6,-23.3582,-16.7266,0.0635328,-23.0775,92.3017,-29.8848,2.79973,5.53398,13.4135,-4.45895,1126.59,1443.54,4.00804,33.9941,3191.7,-33.9863,40.4913
7,-23.94,-17.1031,0.0609407,-32.9699,92.2396,-25.226,-2.32603,7.84557,12.1049,-6.50998,1046.67,1403.39,4.53004,41.0432,3016.02,-34.0012,41.2487
8,-24.3018,-17.7816,0.0633223,-42.7202,96.302,-25.9947,-1.53287,5.6784,9.64877,-7.66999,981.19,1322.63,4.72602,45.4403,2976.87,-35.2375,41.7894
9,-23.9689,-17.7816,0.0612335,-52.4385,101.676,-21.0526,-2.86731,7.35553,9.62747,-3.81676,870.358,1240.3,5.53782,61.2253,2944.71,-36.3712,42.2347
10,-24.2602,-18.0386,0.0567445,-59.828,99.4772,-13.7322,-10.0453,5.23147,14.0358,-8.48261,829.285,1235.62,6.17707,69.2602,2903.73,-36.4106,42.6485
11,-24.9215,-18.5551,0.0573441,-64.9005,99.8824,-8.5154,-10.262,5.1821,15.4203,-9.30934,792.046,1228.51,6.55351,74.284,2669.32,-36.3001,42.8102
12,-24.8302,-18.4746,0.0580537,-68.5923,99.8154,-2.51057,-8.91481,3.87736,15.3953,-9.26963,733.23,1209.37,7.13448,83.418,2462.46,-36.2747,42.9719
13,-24.7234,-18.4746,0.0553637,-70.8819,100.012,-1.08366,-2.77615,2.0559,10.2809,-7.51222,698.51,1173.13,7.37664,88.9314,2446.2,-36.5044,43.0543
14,-25.1355,-18.7664,0.0534292,-68.3855,95.5323,-1.82028,0.729637,4.57277,4.22814,-8.74061,707.587,1235.62,7.24022,82.9547,2730.9,-35.1423,43.1711
15,-25.4444,-18.8442,0.0537587,-66.4554,92.604,-1.9379,3.88208,5.48413,-2.14082,-8.71157,717.87,1292.12,7.10807,78.0306,2923.85,-34.6623,43.3466
16,-25.391,-19.0731,0.0528615,-55.3618,84.9394,-3.10158,9.69646,3.0613,-2.72096,-9.2284,772.555,1435.26,6.20334,58.2504,2972.68,-32.5116,43.0574
17,-25.5372,-19.1285,0.0501736,-38.745,70.3841,-4.9367,15.1557,1.84282,-6.44896,-5.54759,967.159,1813.62,4.69646,32.5992,4228.2,-30.1638,42.6301
18,-25.9905,-19.445,0.0458041,-23.833,59.6055,-9.93135,21.0649,-1.24322,-4.70532,-1.13884,1252.94,2138.46,3.48071,19.1356,5626.14,-27.4502,41.9706
19,-26.7819,-19.7305,0.0359045,-5.36829,48.659,-14.328,21.5819,0.596183,2.20597,0.219166,1615.32,2502.73,2.77157,12.927,6205.98,-23.2151,40.6832
20,-28.897,-19.79,0.0259077,-0.0545788,42.316,-10.9454,10.906,-5.06836,7.00329,-4.87995,2108.82,2959.41,2.48145,10.0564,8959.27,-18.2875,38.0013
21,-31.7314,-24.6456,0.0248483,-61.472,68.3377,-6.11025,21.0951,0.407153,7.72983,-0.888129,1007.63,1947.55,4.34768,28.3356,4877.63,-25.914,41.6898
22,-32.0941,-26.2601,0.030915,-100.755,61.9965,10.7302,23.6677,6.15588,15.952,5.69578,750.138,1873.78,5.63366,41.9287,3230.41,-26.7183,44.2881
23,-30.1966,-19.8507,0.0373057,12.0348,29.149,-6.78237,34.1759,2.23146,12.5494,-1.83596,2668.44,3384.06,1.64917,5.65824,9588.44,-16.3104,32.8419
24,-28.5645,-19.8507,0.0418536,-12.8768,64.9705,-3.75613,22.6124,3.70377,16.6935,2.29142,1161.77,2145.2,3.68966,20.2062,5485.49,-24.4379,38.5525
25,-27.5653,-20.9029,0.0436731,-29.0302,63.3536,21.1954,16.0905,-0.726802,12.4541,-0.82966,964.37,2243.98,4.46586,25.2752,4887.85,-25.7019,39.5724
26,-27.1957,-20.9029,0.0354424,-70.7822,92.471,13.9596,17.3134,-4.15253,11.6617,3.98958,627.079,1398.44,6.95255,67.4722,2073.81,-31.8972,41.1514
32,-33.0391,-23.5503,0.0191799,-87.1487,92.6126,16.1856,7.65151,-3.1979,5.79392,0.517922,685.428,1487.42,7.41147,74.3069,2143.7,-30.3364,37.3496
40,-37.2162,-29.6721,0.014509,-94.4175,66.9162,21.4845,26.1415,1.05579,1.31678,-15.1229,855.673,2021.79,5.25938,35.8238,3914.0,-25.0216,37.4157
41,-36.7672,-29.4771,0.0121385,-95.1275,71.1126,23.0356,22.5586,3.66302,10.0273,-5.60952,776.385,1930.41,5.60183,40.1774,3278.53,-25.8935,36.3559
42,-38.3167,-29.4771,0.0104487,-118.942,67.1607,32.9728,25.0605,2.31869,10.5098,3.56117,641.077,1959.56,6.18918,47.4865,2212.42,-26.3267,38.1322
43,-39.6187,-27.4903,0.018245,-101.006,47.8573,9.39509,21.6064,10.3081,20.937,11.4286,1121.86,2530.8,3.8584,20.3663,6406.94,-21.5029,38.1048
60,-33.1539,-19.8133,0.0344733,-44.3065,33.1337,-15.1214,15.1165,3.43013,5.46349,-3.03902,2578.08,3321.73,2.08184,7.97678,10627.0,-14.9486,31.9678
61,-29.2504,-19.8133,0.0349636,18.835,55.172,-7.68255,18.0402,-2.15311,10.8569,-2.69804,1666.14,2584.45,2.85437,12.6399,6900.21,-22.1282,33.2764
62,-29.1277,-20.4635,0.0313073,-3.30224,63.0789,-14.5917,18.2184,-0.9436,8.41568,-9.22659,1548.04,2232.1,3.10049,15.839,6194.34,-25.7033,35.1061
63,-30.0871,-23.3653,0.0283867,-5.52971,54.4573,-7.34565,6.56801,4.01894,2.73021,-6.24725,1680.38,2533.2,3.47088,17.9012,6247.81,-22.2843,34.7966
64,-30.9377,-23.3653,0.0264422,-34.5111,85.4795,-31.2801,16.7821,-1.5991,1.29257,-3.54935,1434.18,1704.62,3.30127,22.4736,4981.18,-31.5274,33.7713
65,-31.5541,-23.9097,0.0257533,-46.0321,91.7942,-32.4302,11.073,1.5553,-2.97378,-1.0976,1365.43,1592.04,3.81275,30.9293,4068.21,-32.8321,33.1835
66,-31.7833,-24.8993,0.0260067,-53.1071,94.2928,-30.906,7.18714,3.09758,-6.24347,-1.04687,1286.79,1524.11,4.23173,36.9953,3828.46,-32.9665,34.0771
67,-31.6983,-25.1228,0.0255433,-60.4299,97.6934,-26.8601,2.19354,4.4487,-8.59076,0.993968,1180.54,1466.25,5.0597,49.407,3685.19,-33.5679,35.6069
68,-31.8545,-25.1228,0.0249441,-68.2535,100.591,-23.0042,-2.43518,4.36862,-6.07949,-0.711304,1099.08,1378.54,5.51937,57.9163,2930.06,-34.3573,36.1592
69,-32.0606,-26.1906,0.0237362,-73.7918,101.574,-21.5463,-6.36782,4.83157,-7.06934,-2.55162,1069.24,1327.9,5.83563,63.8486,2671.39,-34.5813,36.474
70,-32.4918,-26.7821,0.0228733,-79.8795,102.737,-19.8514,-11.5291,6.78472,-6.49664,-5.74618,1067.8,1318.76,6.34605,73.2119,2640.8,-34.7286,36.1936
71,-32.8134,-26.5434,0.0222162,-84.79,104.674,-16.8668,-14.7098,8.54658,-5.2194,-8.42782,1050.83,1291.25,6.67789,79.1754,2609.89,-34.7737,36.2397
72,-33.0666,-26.5434,0.0215302,-90.3386,105.257,-12.6032,-19.0836,9.92164,-4.47368,-10.4545,1051.31,1328.33,7.33418,88.1114,2551.65,-34.4006,36.3945
73,-33.339,-26.239,0.0211389,-95.8555,107.58,-9.2364,-19.5929,9.60071,-1.95077,-10.5645,970.284,1274.29,7.6789,96.6985,2350.24,-35.3348,36.4922
74,-33.4983,-26.239,0.0206669,-99.6379,107.184,-5.35857,-22.0912,9.0983,0.0886427,-13.0725,951.507,1276.75,7.92032,99.8737,2332.98,-35.148,36.7228
75,-33.6945,-26.8425,0.0203418,-101.143,107.31,-2.12087,-20.1623,9.05725,2.78368,-10.3791,927.345,1269.14,7.9762,100.728,2318.33,-35.1048,36.8701
76,-33.8322,-27.198,0.0197043,-101.836,104.132,-3.67151,-19.5833,9.70308,1.17838,-11.9304,951.57,1313.14,7.92839,97.6496,2332.14,-34.3784,37.0784
77,-34.1088,-27.2687,0.0177366,-93.4985,95.8092,-4.28741,-11.0976,6.55614,2.49819,-10.8449,974.435,1394.35,7.27678,80.9987,2361.57,-31.9698,37.0417
78,-35.0226,-27.9958,0.0138676,-40.5139,48.0606,5.36957,8.60159,-3.46955,9.97476,-11.8314,1675.62,2849.08,3.1952,14.2534,8514.0,-19.2501,35.4952
79,-37.16,-28.1988,0.0319892,-69.9589,67.1638,-2.63032,8.89347,2.87662,7.57224,-11.4404,1286.54,2196.09,4.22342,25.7283,4906.64,-23.2214,37.2657
80,-29.8999,-19.8208,0.0634877,8.34203,23.8313,-5.09294,29.2179,-3.83209,11.3706,-1.83867,3081.9,3660.25,1.4407,4.8982,9936.41,-14.145,32.1627
82,-22.4676,-15.9492,0.0685536,-30.2875,88.0579,-9.40504,21.0009,6.13163,22.414,2.30979,762.767,1447.73,5.17207,42.2369,2894.32,-32.1461,43.1718
83,-23.2794,-16.2199,0.0645921,-55.2344,100.135,-2.35679,15.0658,8.05404,22.2172,4.1433,632.641,1192.09,6.81841,75.698,2238.24,-34.8639,42.6795
84,-23.7964,-16.6572,0.0652153,-67.3108,102.671,0.2026,13.0212,16.9019,21.9108,9.77256,572.403,1066.58,7.84704,101.513,2207.53,-37.2644,42.7391
96,-27.9201,-18.7583,0.0379356,-87.6088,82.8488,21.0178,25.7051,7.12217,7.69469,-1.05271,532.551,1333.38,8.30373,89.655,1500.47,-32.4088,43.0433
