,loudness-0,loudness-1,loudness-2,bufmfcc_feats-0,bufmfcc_feats-1,bufmfcc_feats-2,bufmfcc_feats-3,bufmfcc_feats-4,bufmfcc_feats-5,bufmfcc_feats-6,spectral-0,spectral-1,spectral-2,spectral-3,spectral-4,spectral-5,spectral-6
1,-22.5301,-14.9333,0.0929539,30.3817,51.5606,-8.40229,20.3497,21.641,2.10017,-0.354697,1572.42,2752.73,3.75039,21.0518,6021.42,-18.9573,38.6757
2,-20.6346,-14.9333,0.090977,2.00313,79.7107,-30.6347,32.391,10.8878,5.6587,-0.536515,1163.55,1757.59,3.0573,18.6745,4566.1,-32.0402,41.5109
3,-20.8214,-15.134,0.086185,-8.004,82.8566,-33.1341,31.2646,10.3137,2.67622,0.21365,1143.35,1707.79,3.08455,19.5073,4535.04,-32.535,41.7886
4,-21.2914,-16.0667,0.0839645,-12.4854,84.351,-32.7984,28.5957,12.6026,1.53536,-0.640755,1100.03,1657.97,3.31128,22.7848,4259.35,-32.74,41.8652
5,-21.5181,-15.8398,0.0847471,-18.7687,88.9939,-32.2865,26.2254,14.7296,-3.07696,2.29625,1032.47,1587.28,3.57354,26.6364,4049.11,-33.6022,41.8282
6,-21.4375,-15.8398,0.0831183,-21.5405,89.276,-32.1315,24.0644,16.0149,-3.74518,1.19101,1021.59,1569.84,3.68679,28.3112,4036.33,-33.6568,41.9663
7,-21.6061,-16.15,0.0848364,-26.1009,92.7154,-31.5617,22.5231,19.7317,-5.81521,3.81622,987.053,1526.71,3.89842,31.8064,4011.97,-34.3773,42.1786
8,-21.4284,-16.15,0.0844716,-29.7609,94.7281,-30.3705,21.3609,17.7483,-3.93669,0.665907,932.85,1469.07,4.15697,35.7131,3972.0,-34.9884,42.4723
9,-21.4658,-16.2378,0.0824159,-31.8955,95.3135,-28.6798,18.9136,19.8443,-5.4237,0.984963,910.187,1454.26,4.43766,39.8615,3812.0,-34.9025,42.6806
10,-21.6798,-16.6106,0.0802759,-37.4358,99.1649,-26.3378,15.5691,23.0424,-5.34387,0.747435,857.666,1383.54,4.68963,44.4802,3767.94,-35.8254,42.7457
11,-21.9083,-16.6106,0.0777799,-38.2711,98.0794,-25.9914,14.4083,22.8195,-5.78179,-0.161984,864.28,1397.78,4.86424,47.0656,3753.75,-35.2385,42.7212
12,-22.1827,-16.9879,0.0778778,-42.0898,100.888,-25.0175,12.0543,25.2955,-6.20915,-1.06142,842.345,1366.49,5.01952,50.2004,3575.79,-35.7869,42.5912
13,-22.1717,-17.0279,0.0762883,-44.412,99.7657,-22.8496,9.69142,24.5805,-7.29871,-0.648774,816.958,1360.77,5.40429,55.7314,3546.64,-35.4861,42.6939
14,-22.3508,-17.2267,0.0778488,-47.8796,101.714,-21.2239,8.01238,26.5628,-6.36314,-1.26362,783.979,1322.74,5.62727,60.0936,3496.04,-36.2652,42.8302
15,-22.175,-16.4494,0.0764284,-49.4691,101.712,-22.0084,8.32471,24.9106,-6.53363,-2.16833,774.442,1304.43,5.60496,60.13,3378.74,-36.3176,43.0069
16,-22.3349,-16.4494,0.0737471,-53.2302,104.726,-20.6675,5.69897,26.4674,-7.1111,-3.20033,761.728,1278.69,5.89805,65.9984,3257.7,-36.8519,43.1574
19,-23.1851,-17.1287,0.0699001,-57.9363,103.167,-13.6666,1.59578,26.638,-4.40214,-3.6934,721.528,1281.28,6.7098,78.056,2993.09,-35.9015,42.9608
20,-23.1104,-17.574,0.069193,-61.432,104.001,-13.3789,2.53576,25.1182,-3.33346,-4.64771,701.276,1253.23,6.95579,83.5476,2831.64,-36.3826,43.2135
21,-23.1988,-17.7074,0.0702868,-63.0771,103.445,-11.3992,2.25907,24.8033,-1.72028,-5.66723,679.647,1226.33,7.07556,85.6832,2784.43,-36.5853,43.4217
23,-23.4049,-17.8365,0.0648049,-67.3859,103.111,-10.4644,0.867653,26.1991,-4.96408,-3.14036,666.037,1249.71,7.60123,94.1273,2617.45,-36.0706,43.5801
24,-23.7678,-18.0191,0.062144,-67.5129,100.533,-8.59044,0.728732,24.8285,-1.2994,-5.79045,671.353,1270.86,7.60775,92.6964,2617.92,-35.4444,43.5286
26,-24.1532,-18.8044,0.0628431,-72.583,102.096,-6.19295,-1.03017,25.3987,-0.433487,-6.46836,636.781,1234.05,7.9972,100.787,2561.54,-35.8316,43.3931
27,-24.0348,-18.5149,0.0621888,-74.8213,101.549,-1.71212,-3.16364,24.3951,1.79279,-6.29203,619.012,1232.79,8.45037,108.092,2342.78,-35.7832,43.6559
28,-24.1258,-18.3149,0.0622554,-74.7838,100.797,-1.27304,-1.61755,22.7446,2.17787,-3.28218,609.535,1231.46,8.61639,110.657,2154.45,-35.715,43.8203
29,-24.1165,-18.3149,0.0588901,-75.7543,100.049,1.10808,-3.27876,22.6186,3.3047,-4.90216,602.438,1255.99,8.76076,111.509,2143.07,-35.6546,43.7588
30,-24.5992,-18.5118,0.0560324,-73.0622,95.6087,1.96442,0.031029,16.123,8.45573,-5.14741,623.598,1297.66,8.36974,101.023,2147.78,-33.9148,43.8581
31,-25.0312,-19.2539,0.0539997,-81.1433,102.076,3.27493,-6.14532,21.2478,7.63979,-5.83752,600.664,1244.94,9.00806,117.07,2128.55,-35.5185,43.5724
32,-25.3522,-19.8705,0.0539506,-83.5273,101.608,2.47483,-6.72027,21.9829,4.17391,-3.11071,602.016,1260.22,9.14739,118.771,2126.32,-35.507,43.608
33,-25.3601,-19.8705,0.0544603,-86.5832,102.618,4.84779,-8.9927,20.6416,6.81387,-6.04135,592.553,1231.97,9.35171,123.592,2110.51,-36.04,43.7693
34,-25.2784,-19.6959,0.0535189,-87.8223,100.452,7.81056,-9.4798,18.9473,6.65525,-4.54429,580.258,1248.43,9.50262,123.747,2095.33,-35.4903,43.9369
35,-25.4299,-19.6959,0.0529311,-88.9042,100.913,9.36578,-9.71051,19.4081,8.08582,-3.73494,560.131,1228.97,9.71281,128.682,2081.9,-35.841,43.8463
36,-25.5258,-19.8841,0.0492236,-87.3424,100.19,7.38979,-5.35898,18.5571,7.63878,-1.9775,561.647,1230.31,9.52174,125.207,2085.11,-35.4118,43.7282
37,-26.1565,-20.2943,0.046609,-87.9334,97.5216,9.34749,-4.98667,15.5712,8.92104,-2.14665,588.549,1295.76,9.29935,116.681,2087.78,-34.3889,43.8994
38,-26.6306,-21.2526,0.0456809,-90.3273,98.0913,9.01652,-4.272,14.6745,9.23779,0.738021,581.16,1283.07,9.35276,118.626,2083.86,-34.4772,43.638
39,-26.8053,-21.6848,0.04605,-90.1209,96.1157,8.4251,-5.40529,15.5891,8.52047,-0.539864,591.469,1314.05,9.11907,112.244,2088.74,-34.0297,43.6041
40,-26.7354,-21.5453,0.0468194,-90.5195,96.0626,8.922,-3.17485,12.4181,9.69194,-0.21448,576.043,1280.09,9.29457,117.156,2071.64,-34.3646,43.6445
41,-26.5915,-21.4455,0.0457009,-91.8455,93.7066,12.7426,-5.21951,11.5853,10.6029,1.40261,586.244,1344.47,9.27126,112.384,2059.31,-33.6365,44.0135
42,-26.8015,-21.4455,0.0453331,-91.3163,92.6635,12.0936,-3.50262,10.7912,9.51457,2.46136,574.672,1330.48,9.2898,113.275,2042.43,-33.7837,43.8822
43,-26.8717,-21.8149,0.0419816,-93.8368,93.9453,13.733,-6.00073,10.9606,12.3907,-1.1826,587.7,1351.47,9.29232,112.561,2044.02,-33.6471,43.9662
44,-27.5388,-22.1853,0.0402342,-97.2647,96.2599,15.1035,-6.87639,11.1691,12.5683,1.75096,579.169,1320.1,9.47886,117.581,2037.88,-34.0189,43.7203
45,-27.9081,-21.5981,0.0402355,-98.4845,94.8706,14.9966,-7.25675,10.6039,12.1973,0.964797,581.745,1333.36,9.36594,114.728,2046.27,-33.8625,43.5651
46,-27.9078,-21.7439,0.0404398,-94.1352,88.8515,16.1723,-4.65227,7.19266,16.3398,-2.07974,606.501,1424.94,8.61591,96.1476,2070.8,-32.4889,43.6454
47,-27.8638,-22.7088,0.0411191,-100.5,94.5963,15.5814,-9.07696,11.5982,11.9095,-1.32861,586.953,1377.49,9.47974,114.789,2031.86,-33.7121,43.8671
48,-27.7191,-22.6852,0.0399266,-97.2754,94.2477,14.2727,-4.19907,12.6996,11.3273,2.92613,561.542,1332.36,9.47211,116.391,1994.29,-33.4526,43.6162
49,-27.9748,-23.0445,0.0393136,-101.591,96.1796,17.1453,-6.86089,13.5481,13.4164,1.38725,535.625,1305.58,9.87887,125.178,1883.99,-34.2061,43.4848
50,-28.1092,-23.2794,0.0361733,-102.209,95.8145,17.0796,-5.21801,11.5715,13.0089,3.28484,544.253,1339.96,9.77019,121.944,1887.35,-34.1564,43.3881
51,-28.8322,-23.6611,0.0348693,-107.171,97.1234,18.8229,-8.85404,13.8414,11.2903,1.71178,548.194,1368.0,9.89686,122.577,1878.85,-34.1521,43.3801
52,-29.1511,-23.19,0.0353636,-107.395,94.5352,18.5987,-9.17692,12.3056,12.3571,0.176383,581.227,1413.92,9.44873,111.763,1899.9,-33.4991,43.7037
53,-29.0289,-23.5134,0.0356462,-107.286,94.6932,20.6491,-9.54328,14.1778,10.8073,1.16708,571.458,1442.64,9.48028,110.789,1889.86,-33.1995,43.5327
54,-28.9597,-23.1963,0.0364204,-109.308,97.2798,20.9145,-8.00052,15.1132,10.9346,1.92523,519.67,1337.23,10.134,127.748,1846.98,-34.4914,43.2023
55,-28.7731,-23.1963,0.0348532,-110.869,97.139,23.5864,-9.47233,15.0517,12.1938,1.87633,503.627,1322.74,10.2527,129.78,1817.81,-34.5274,43.1623
56,-29.1551,-23.3351,0.0340188,-114.58,98.869,23.2238,-9.47319,12.9249,12.0822,3.21906,502.102,1320.77,10.5648,137.039,1682.11,-35.0632,43.2527
57,-29.3656,-23.7054,0.031146,-110.9,93.0618,23.9184,-8.24127,10.2556,14.3142,-0.258836,548.213,1418.2,9.5752,112.65,1843.87,-33.1409,43.4802
