,loudness-0,loudness-1,loudness-2,bufmfcc_feats-0,bufmfcc_feats-1,bufmfcc_feats-2,bufmfcc_feats-3,bufmfcc_feats-4,bufmfcc_feats-5,bufmfcc_feats-6,spectral-0,spectral-1,spectral-2,spectral-3,spectral-4,spectral-5,spectral-6
4,-35.6675,-26.7929,0.0154668,-111.076,33.5291,37.3366,42.2988,9.36785,15.6717,12.089,990.772,2728.39,4.05927,20.9991,7223.87,-21.5007,42.2025
5,-36.212,-26.7929,0.00967989,-164.271,59.975,30.5144,37.6799,23.1635,16.9378,15.2633,377.778,1545.23,8.70606,91.3448,621.647,-30.8961,42.0662
6,-40.2826,-31.9038,0.00949157,-174.847,60.462,32.3566,30.6747,22.1214,12.5844,10.854,382.601,1635.2,8.5219,85.8526,802.002,-30.4634,42.2047
7,-40.4532,-33.7251,0.00775994,-183.911,45.6753,38.3574,34.5687,14.0048,19.5055,12.0795,471.395,1940.97,6.87414,55.9253,1123.44,-28.08,43.6282
8,-42.2028,-34.113,0.0064713,-202.638,36.5356,41.3567,40.3812,20.4603,21.1352,12.7286,457.727,1995.51,6.89991,55.71,620.338,-28.2554,42.9079
10,-45.6192,-39.2888,0.00454887,-225.777,27.1897,35.0603,37.1776,28.4367,20.4666,17.0725,593.247,2436.5,6.0506,42.1149,2220.69,-25.6723,44.4579
12,-48.6901,-41.8302,0.00284129,-231.491,28.2825,32.7247,33.0695,26.0508,13.5273,14.7673,699.212,2691.44,5.48573,34.7695,3709.41,-24.1806,44.2939
13,-50.9297,-43.0177,0.00257441,-238.44,19.9897,30.6005,32.4367,26.7798,11.693,13.0966,937.4,3186.52,4.54423,24.2278,6348.34,-21.4311,44.2764
15,-52.9103,-46.462,0.00210553,-196.313,34.3876,20.0022,19.3751,14.429,13.7353,11.0243,1344.53,3371.81,3.65678,17.1147,8541.63,-17.9607,43.1816
16,-53.5328,-46.5887,0.0016935,-207.965,30.9165,23.6818,21.2428,14.5277,11.9104,11.783,1409.97,3581.69,3.51128,15.6241,9314.79,-17.2015,43.3953
17,-55.4243,-47.5381,0.00145347,-217.722,22.349,20.4665,23.9084,18.928,16.1608,14.3263,1379.35,3613.14,3.48764,15.428,9570.84,-17.4062,41.7155
18,-56.7519,-47.0815,0.00122861,-222.287,18.2993,20.0142,25.1266,21.8299,18.5322,13.0903,1167.94,3395.83,3.80318,17.9459,8448.68,-18.5819,43.038
19,-58.2117,-46.7319,0.00108534,-227.077,16.805,16.976,21.447,23.9027,18.2868,12.4884,1025.97,3267.92,4.19469,21.309,7320.81,-19.948,43.6887
20,-59.2887,-47.2773,0.000804024,-229.178,19.0035,18.0247,21.7173,18.0178,15.4985,15.6521,1384.76,3703.48,3.46882,15.1782,9325.53,-17.0017,42.05
21,-61.8946,-51.8132,0.000834446,-233.189,15.2374,16.7092,17.7438,15.802,13.5923,13.4532,1955.5,4353.65,2.76388,10.1869,12936.5,-14.1818,39.376
22,-61.572,-52.3155,0.000531417,-225.604,17.9954,15.4924,16.858,12.3545,16.3944,16.5067,1817.41,4162.7,2.91893,11.2882,11966.2,-14.9032,39.0853
32,-63.0207,-49.8029,0.000950828,-198.927,22.5786,0.112312,4.05329,2.16028,14.0929,12.0284,2010.59,3945.03,2.79804,11.0508,11227.0,-14.1254,43.4889
33,-60.438,-49.8029,0.000776833,-173.627,39.6739,2.63556,13.0853,9.72553,14.1548,10.3782,1929.71,3548.68,3.0731,13.3732,9442.31,-14.7342,35.1764
34,-62.1934,-49.6653,0.00059278,-204.411,34.6117,14.8154,14.6272,12.0673,14.7392,13.5683,1429.39,3536.23,3.57738,16.4137,8644.41,-17.066,41.535
58,-63.4331,-50.349,0.000914086,-201.847,26.2977,3.73069,9.17071,10.0045,14.5541,10.352,2454.72,4292.16,2.51827,9.21942,12598.9,-12.2152,36.9504
59,-60.7803,-50.349,0.00145588,-180.649,34.3348,9.03878,14.3885,9.44151,13.4551,4.26012,1784.04,3649.42,3.02068,12.6839,10234.0,-15.448,39.6143
60,-56.7375,-47.3225,0.0246458,-169.923,29.1323,7.72411,16.1173,8.54132,19.6751,10.0161,2049.29,3790.27,2.68498,10.5372,10960.8,-14.564,36.3109
68,-24.4009,-17.3904,0.0563779,-7.42168,81.0789,-42.2448,33.5466,4.35053,11.7014,-0.160036,1454.82,1885.61,2.26856,11.3705,5169.85,-31.9252,40.8683
69,-24.9778,-18.1428,0.0528676,-14.1413,84.858,-41.8349,31.082,4.66028,10.4644,0.59,1380.57,1808.26,2.43137,13.0873,5113.6,-32.3503,40.9121
70,-25.5362,-18.9803,0.0494827,-18.7536,85.7904,-43.1741,28.296,6.48307,8.08892,0.681551,1383.42,1771.19,2.44993,13.8753,4968.76,-32.511,40.862
71,-26.1109,-18.9513,0.0474254,-23.5559,88.4336,-42.8029,25.1884,9.31819,6.67224,0.233072,1341.84,1709.56,2.54949,15.4665,4870.68,-32.9971,40.7146
72,-26.4798,-18.9513,0.0447068,-27.8006,89.6626,-41.8185,23.4979,10.2034,5.81085,0.359945,1306.31,1675.93,2.66149,16.7848,4491.61,-33.1097,40.7338
73,-26.9925,-20.1118,0.0434016,-32.0113,91.275,-41.9076,21.7737,11.1051,4.81929,1.07507,1295.95,1649.93,2.74273,18.0454,4298.07,-33.2812,40.8802
74,-27.2499,-20.3953,0.0412749,-37.0896,94.2571,-42.4974,19.1672,13.7105,2.3991,0.92392,1269.24,1609.16,2.90135,21.0588,4204.96,-33.4947,40.8234
75,-27.6863,-20.4454,0.0396326,-40.7171,95.2325,-41.0554,18.3773,13.9798,3.22666,0.865037,1228.43,1583.47,2.99751,22.0367,4048.63,-33.9007,40.9314
76,-28.0389,-20.5118,0.0385033,-45.1558,96.924,-40.4764,17.4866,13.1242,3.15091,-0.401314,1191.66,1556.86,3.12759,23.6816,4006.6,-34.0151,41.0333
77,-28.29,-21.8942,0.03652,-48.1883,96.6379,-38.8887,14.5569,15.4252,0.627272,0.523541,1163.35,1551.64,3.41929,27.751,3878.52,-33.6676,41.0663
78,-28.7494,-22.7539,0.0349124,-52.3993,96.7221,-38.518,11.3478,15.8027,-0.520025,-0.722157,1160.62,1525.89,3.46026,28.5215,3833.32,-33.8308,41.1929
79,-29.1404,-23.3335,0.032703,-54.8495,97.7636,-36.4474,9.3642,17.905,0.479244,-1.83858,1154.3,1516.47,3.61995,30.8703,3814.52,-33.5708,41.1039
80,-29.7083,-23.52,0.0313844,-56.7791,97.5507,-36.8314,9.06061,17.0328,1.47394,-1.92359,1160.08,1502.84,3.55936,30.3941,3797.59,-33.5055,40.9767
81,-30.0657,-23.52,0.0298704,-60.0473,98.9401,-35.9079,7.2501,17.2214,2.39504,-3.78596,1148.47,1493.91,3.79161,33.9815,3771.49,-33.5068,40.8738
82,-30.4952,-23.4229,0.0279157,-65.321,99.6505,-35.3693,4.36368,17.697,-0.247291,-2.10566,1132.78,1479.18,4.00371,37.0172,3762.06,-33.4772,41.0599
83,-31.083,-24.4679,0.0269236,-67.3554,98.7788,-35.0049,3.34036,16.1373,0.135412,-3.87026,1126.33,1479.27,4.10339,38.284,3714.97,-33.3259,41.0079
84,-31.3973,-25.4659,0.0254087,-68.0866,97.1966,-33.1205,1.81494,16.6579,1.3518,-5.24823,1135.9,1500.05,4.20767,39.1478,3605.28,-32.5469,40.9008
85,-31.9003,-25.58,0.0240821,-69.7246,96.03,-30.9881,0.33776,15.5094,2.63012,-6.38076,1131.29,1503.11,4.32094,40.0232,3569.07,-32.1959,40.9086
86,-32.3661,-26.8874,0.0226943,-73.0158,98.7334,-30.2296,-0.603832,18.2818,0.522206,-3.03593,1118.09,1487.75,4.44354,42.3008,3517.79,-32.4709,40.7074
