,loudness-0,loudness-1,loudness-2,bufmfcc_feats-0,bufmfcc_feats-1,bufmfcc_feats-2,bufmfcc_feats-3,bufmfcc_feats-4,bufmfcc_feats-5,bufmfcc_feats-6,spectral-0,spectral-1,spectral-2,spectral-3,spectral-4,spectral-5,spectral-6
3,-23.6486,-14.095,0.0968577,13.408,27.6407,12.6778,22.063,3.68758,16.8104,5.78348,2038.6,3592.96,2.35165,8.31873,10505.5,-15.9486,36.3881
4,-20.2773,-10.133,0.155457,9.82608,48.847,12.5369,34.1703,-2.10574,19.7243,7.12356,1067.26,2459.05,3.39796,15.7357,7192.14,-24.0779,41.1368
5,-16.1678,-8.05756,0.164413,14.9746,50.8444,14.0585,33.8032,3.76567,23.2245,6.86277,778.088,2103.6,4.29499,23.6733,5177.82,-27.467,42.963
6,-15.6813,-8.05756,0.129295,-4.52131,58.1298,6.50027,28.2182,1.37109,23.3008,5.64156,636.214,1819.52,4.88645,30.5077,3543.99,-30.4605,44.472
7,-17.7683,-10.8892,0.132981,-19.473,78.2842,11.8475,36.6659,1.84072,20.7504,1.33629,492.573,1405.24,6.07995,47.9793,2138.39,-35.4463,42.0566
8,-17.5242,-9.3117,0.126315,-27.0978,85.5207,10.3838,40.1219,2.29862,22.3442,3.21904,409.124,1179.05,7.09669,66.6644,1470.48,-38.376,41.1122
9,-17.9709,-9.3117,0.124669,-37.2635,87.6556,9.00386,40.5368,1.92308,18.774,4.9489,421.371,1185.63,6.95091,66.0833,1560.6,-38.1761,42.6804
10,-18.0849,-10.1223,0.11292,-41.2617,93.098,10.1197,45.0716,1.84399,12.4618,1.05808,389.202,1054.99,7.63126,80.8664,1094.26,-39.9914,41.9643
11,-18.9446,-11.2039,0.105921,-43.8745,96.0755,6.45845,40.3179,1.78226,12.0813,5.23249,434.489,1092.63,7.14017,73.6219,1547.15,-39.1131,41.0646
12,-19.5004,-9.70948,0.114437,-45.7787,98.969,6.68061,37.4993,2.63518,8.6474,5.35263,438.32,1090.3,7.32467,79.6932,1555.05,-39.1135,40.7496
13,-18.8287,-9.70948,0.0743537,-48.3402,101.811,10.4193,42.1513,5.42368,9.11633,6.74535,349.314,894.725,9.0917,121.293,986.192,-42.0327,42.7912
