,loudness-0,loudness-1,loudness-2,bufmfcc_feats-0,bufmfcc_feats-1,bufmfcc_feats-2,bufmfcc_feats-3,bufmfcc_feats-4,bufmfcc_feats-5,bufmfcc_feats-6,spectral-0,spectral-1,spectral-2,spectral-3,spectral-4,spectral-5,spectral-6
0,-65.4886,-46.713,0.00145798,-174.997,13.2351,15.9148,7.9941,7.53143,5.63665,1.47927,2825.09,5217.4,2.09958,6.43282,16363.1,-10.8459,40.8743
1,-56.725,-37.7994,0.0020992,-174.809,4.00709,3.95498,13.8823,6.7418,2.43767,2.68015,1842.17,4221.18,2.82123,10.7053,12212.6,-14.8037,47.0177
2,-53.5589,-37.7994,0.001699,-78.4085,10.8436,-29.7972,29.1095,-1.51093,7.47133,-5.67239,3240.16,3561.25,1.56729,6.59851,9395.52,-13.8575,38.9388
3,-55.3961,-38.8822,0.00111577,-132.535,27.8616,-5.78275,14.1672,10.6824,0.654578,-2.92114,1678.18,3501.59,3.23652,14.6892,8471.87,-16.4481,44.8466
4,-59.0485,-42.2466,0.00139375,-168.043,17.2484,8.55635,13.6398,11.1978,3.69431,-0.459718,2207.16,4475.62,2.59939,9.32474,13573.8,-13.0112,41.9377
5,-57.1163,-39.5179,0.00100116,-186.743,12.7126,20.8711,20.1526,16.9173,6.1372,6.00724,1298.14,3835.15,3.57121,15.4947,10117.4,-17.7743,46.5705
6,-59.99,-39.5179,0.000488992,-198.849,3.60243,20.1939,13.8563,10.9781,7.09361,8.30775,845.11,3172.77,4.46649,23.2992,6724.7,-21.6683,49.192
7,-66.214,-39.7604,0.000967835,-202.695,4.09423,26.9973,16.7128,12.3529,6.99657,8.61351,985.649,3494.77,4.1096,19.7473,8601.84,-20.812,48.8668
8,-60.284,-40.9317,0.00135734,-206.931,1.05402,21.7732,14.8569,14.629,12.1818,10.3391,1600.6,4314.52,3.04101,11.5273,12969.0,-16.3786,46.8114
9,-57.3462,-42.3625,0.000978374,-206.852,2.01472,20.8027,12.6737,12.6212,12.8806,9.66017,1643.2,4373.01,3.0065,11.3006,13174.3,-16.0664,45.789
10,-60.1899,-39.3536,0.000752877,-210.206,1.02156,25.1641,16.4988,13.8244,13.1599,13.0263,925.256,3402.19,4.26575,21.1661,7961.4,-21.3131,49.0468
11,-62.4655,-39.3536,0.000890478,-201.279,2.13874,16.7024,16.0521,17.6531,11.8918,11.2529,963.694,3398.63,4.19217,20.6722,7642.45,-20.7353,48.7568
12,-61.0075,-41.4405,0.00160196,-207.706,-0.809627,20.2632,18.8375,18.744,14.6818,12.7516,1324.01,3997.87,3.47647,14.5853,11158.4,-18.2147,47.1525
13,-55.9069,-42.8489,0.000916574,-203.566,1.51632,17.8812,13.0421,10.432,7.89569,12.5671,2972.2,5466.83,1.96138,5.73294,16973.6,-10.9167,41.0958
14,-60.7566,-48.3,0.000580994,-184.11,13.9049,22.721,12.0583,3.54941,0.129766,-0.0350066,2820.81,5245.45,2.07858,6.29921,16428.7,-11.1536,40.5376
15,-64.7166,-46.7213,0.000581816,-180.888,18.2504,22.573,13.2672,5.86363,2.54948,-3.98265,2132.54,4645.07,2.59218,8.9694,14218.3,-13.491,45.0812
16,-64.7043,-46.3693,0.000550939,-190.215,11.4779,25.5682,15.7382,10.0406,5.90248,1.66085,1996.47,4684.46,2.65701,9.19503,14440.1,-14.3088,46.2029
17,-65.1779,-45.9593,0.000761818,-195.118,6.15693,20.1175,12.2881,9.01293,7.03787,2.61362,1707.82,4405.52,2.94672,10.9852,12965.9,-15.5477,47.7561
18,-62.363,-45.9593,0.000898098,-193.08,5.61881,22.9205,19.0749,14.499,9.71814,6.73366,1823.31,4430.59,2.77868,10.0136,13235.3,-14.8632,44.6415
20,-59.5254,-47.6039,0.000944111,-199.183,-0.768126,18.9703,16.418,10.3838,12.3515,16.6802,2501.76,5059.85,2.23107,7.05189,15583.8,-12.2559,40.8625
24,-60.1251,-45.3837,0.0005121,-202.496,-4.201,13.0648,12.5849,12.3272,13.0613,6.93687,1684.54,4342.84,2.9421,11.0453,12677.6,-15.7177,47.2546
25,-65.8129,-45.1783,0.000604069,-202.722,-5.56669,19.0876,19.831,13.3327,13.9982,14.19,1736.18,4358.81,2.83183,10.3804,12757.9,-15.5571,47.3987
26,-64.3783,-44.9656,0.000656421,-206.357,-11.6314,12.6603,10.3444,11.5814,14.0001,11.1219,1647.43,4331.78,2.93711,10.9309,13116.0,-16.119,47.8152
27,-63.6563,-43.8698,0.00050126,-198.59,-0.276345,17.4201,15.9076,12.6545,8.95242,8.38371,1696.61,4352.17,2.91922,10.8609,13110.4,-15.8664,47.9231
28,-65.9987,-43.8698,0.000461856,-199.636,-0.787567,22.1454,16.3249,9.21106,9.24595,1.87178,1763.51,4467.19,2.83449,10.3098,13266.9,-15.5959,47.526
29,-66.7099,-47.4799,0.000983928,-204.738,-8.50215,15.1678,12.438,9.62642,9.23352,10.6924,2796.94,5394.17,2.02364,5.99142,16734.2,-11.4507,43.959
30,-60.1407,-43.1116,0.000935354,-205.148,-5.06576,12.8274,11.8027,10.763,8.60578,7.82193,2498.29,5148.46,2.2402,7.02807,16094.8,-12.3715,45.999
31,-60.5805,-42.0189,0.000382785,-203.096,-4.12732,16.7522,12.1697,13.6482,10.9483,11.7062,1262.19,3871.0,3.51156,14.8948,10980.1,-18.3987,48.3292
32,-68.3409,-42.0189,0.000907669,-200.09,-1.0284,14.5909,13.3621,11.8656,8.32857,7.2238,1180.65,3707.6,3.68871,16.4148,9684.6,-18.8264,48.6257
33,-60.8415,-42.6762,0.000879166,-203.136,-0.334909,21.0571,17.7311,17.2092,12.9891,12.8781,2000.28,4746.44,2.62776,8.98435,14749.3,-14.4733,45.1957
35,-63.2657,-48.2081,0.000594581,-202.51,-2.6501,19.2837,21.4534,13.5358,9.86304,8.49028,2104.58,4715.43,2.50093,8.45952,14385.3,-13.8613,46.544
36,-64.5158,-48.2407,0.000586602,-207.234,-4.9385,14.8846,10.6095,13.853,12.7591,11.2353,2910.28,5451.75,1.97098,5.75926,17122.2,-11.168,41.7847
39,-67.2296,-51.4242,0.000587989,-203.937,4.275,22.4842,11.8127,8.55186,5.33621,5.81337,2662.19,5282.42,2.11748,6.36864,16612.3,-11.653,44.2605
41,-61.2922,-47.1906,0.000887083,-203.099,7.50134,25.5545,9.63574,13.8993,11.3298,11.4901,2004.5,4806.17,2.63304,8.90631,15340.0,-14.3766,45.0994
43,-56.3706,-41.4296,0.000529148,-206.679,4.40095,21.8185,11.8269,14.8571,10.6162,13.7146,1131.0,3765.81,3.83573,17.2764,10124.9,-19.4192,48.2642
44,-65.5285,-41.4296,0.000990963,-211.595,-1.03517,20.9811,9.23882,15.9271,10.4223,8.86377,1122.94,3719.07,3.75501,16.6007,10415.4,-19.4564,49.0598
45,-60.0788,-43.1217,0.00183953,-204.111,8.39273,25.221,12.2165,11.586,14.4647,8.01072,1696.51,4381.55,2.95509,10.9888,13415.4,-15.52,45.4573
