,loudness-0,loudness-1,loudness-2,bufmfcc_feats-0,bufmfcc_feats-1,bufmfcc_feats-2,bufmfcc_feats-3,bufmfcc_feats-4,bufmfcc_feats-5,bufmfcc_feats-6,spectral-0,spectral-1,spectral-2,spectral-3,spectral-4,spectral-5,spectral-6
1,-58.0268,-39.2987,0.00148798,-163.148,8.66394,12.3227,8.24607,5.51319,8.0797,9.40376,2122.57,4610.46,2.55716,8.8532,13981.2,-13.2525,45.7129
3,-55.2715,-37.9935,0.000916143,-169.999,0.197961,14.1315,20.519,16.9352,15.6333,11.2763,1380.69,3906.14,3.36427,14.1528,10605.7,-17.528,48.0127
8,-57.1142,-39.61,0.0019353,-174.115,2.43181,18.0778,14.3018,7.4927,5.79169,10.3214,2063.31,4733.97,2.57912,8.81162,14656.6,-14.2454,46.4934
9,-54.265,-39.5092,0.00176467,-175.069,1.54736,19.3351,17.7246,12.6831,10.8078,12.8088,1448.41,4092.63,3.28009,13.2712,11693.8,-17.4098,46.2498
10,-55.0667,-39.8487,0.00223053,-176.732,-3.07744,15.5957,15.5021,14.4011,13.7786,8.82981,1752.6,4395.15,2.84863,10.4424,13178.1,-15.5573,46.0738
14,-56.0111,-39.9236,0.00184376,-140.808,12.2603,1.72202,3.72611,-5.05553,6.70822,1.56942,2941.33,4812.15,2.03943,6.59109,13898.4,-10.7832,40.2362
15,-54.6859,-39.6094,0.000747686,-164.844,-2.06923,9.57475,15.6565,10.4187,8.4865,10.5715,1480.64,3968.23,3.18654,12.9249,11012.6,-16.767,47.9279
18,-51.472,-37.727,0.000944637,-159.644,0.97149,4.35067,15.8999,9.84992,4.72636,9.95053,1375.55,3736.37,3.3716,14.5058,9962.89,-17.2044,47.8105
24,-56.2515,-36.4136,0.000678009,-144.5,-4.64215,9.21824,16.3577,-3.27854,9.03572,7.01492,1544.87,3835.05,2.90787,11.3944,10877.7,-16.9234,47.8009
26,-58.0574,-36.1156,0.00362539,-141.337,-1.01883,10.584,17.4569,2.02983,12.7754,3.41456,1544.25,3799.32,2.87518,11.1512,10918.5,-16.6867,47.2217
29,-53.6921,-34.9784,0.00215992,-134.52,7.08287,0.703884,17.0881,-5.3496,0.149557,4.24488,1873.54,3972.25,2.73759,10.7684,10266.4,-15.0179,46.6986
30,-53.3112,-36.1895,0.00196444,-79.4138,25.3783,-18.624,-3.28431,-11.8281,3.2316,-3.36451,2350.27,3541.63,2.51491,10.1547,10059.5,-14.2169,39.8073
31,-54.1352,-36.1895,0.0010775,-116.72,18.9315,0.7689,11.3091,2.84431,1.91692,3.02199,1867.36,3867.17,2.81706,11.1728,10667.3,-14.5065,44.6858
36,-57.6014,-38.4635,0.000978808,-155.523,7.91325,16.6839,15.5525,7.09378,9.63255,10.1091,1578.62,4032.58,3.05268,12.017,11422.9,-15.9239,46.2426
38,-56.7155,-36.8204,0.00155092,-147.461,-4.31193,5.28812,18.8981,4.7886,14.472,6.22676,1480.78,3704.87,3.01612,12.2797,10311.1,-16.8402,47.5051
39,-56.1882,-37.6504,0.002826,-154.818,-1.39366,8.33328,17.766,11.2361,14.9305,12.0445,2038.67,4356.08,2.53017,8.98072,12629.6,-13.5684,45.2931
40,-50.9766,-40.1102,0.00147554,-155.132,-4.78295,11.7348,17.0558,8.14223,15.7452,4.69919,2414.03,4701.46,2.17415,7.03439,13422.5,-12.323,44.0558
45,-52.6514,-39.6848,0.000736724,-163.263,-0.273502,10.4153,14.6177,7.29033,10.0756,10.314,1488.31,3927.38,3.15909,12.8108,10962.2,-16.483,47.1992
49,-56.7561,-44.3516,0.00811553,-149.93,9.99526,5.85369,19.9582,19.935,16.37,10.3277,2894.69,4918.69,2.13264,6.93413,15392.5,-10.9923,35.157
50,-41.8137,-21.1129,0.113916,-119.576,23.2068,-2.52014,7.60073,9.12214,14.2414,10.0539,2401.18,4149.18,2.5538,9.60841,11870.4,-12.7955,40.2836
52,-16.052,-8.31055,0.147446,101.453,13.3859,-6.8582,6.76507,0.109954,8.56913,-10.4924,3448.85,3877.89,1.85908,6.31367,12010.4,-15.5745,30.2584
53,-16.6274,-8.8802,0.135584,73.5785,9.42707,-14.0424,9.7088,3.86948,12.1221,-9.56516,3409.73,3517.63,2.00452,7.38634,11367.6,-18.6056,32.7735
54,-17.3558,-10.1404,0.128453,56.6351,12.1858,-15.4632,16.055,6.76142,13.4635,-11.9999,3143.79,3183.47,2.14385,8.36381,10052.2,-22.9522,33.5586
55,-17.8251,-11.6122,0.121081,48.8955,6.72663,-18.9392,15.962,4.77516,13.192,-9.2231,3138.14,3190.02,2.20518,8.89774,10035.3,-21.77,34.0693
56,-18.3385,-11.8745,0.114831,32.6005,9.51211,-27.9772,14.0487,2.09708,13.5498,-10.2213,2887.16,2865.67,2.35913,10.1972,9279.61,-25.9328,35.0742
57,-18.7988,-13.0368,0.111978,24.1529,15.7964,-33.2565,18.1008,2.86536,15.4605,-11.6193,2690.02,2618.21,2.5636,12.1814,8041.11,-29.0285,35.6069
58,-19.0174,-13.5952,0.10728,15.0682,14.9311,-40.7849,19.7079,1.60454,16.8397,-12.7675,2679.43,2460.7,2.49819,11.9926,7980.16,-30.9172,35.9244
59,-19.3896,-13.922,0.101856,18.3948,6.59412,-34.2409,13.1145,8.26937,15.4324,-8.46189,2803.99,2746.19,2.73061,13.1477,8659.16,-26.6528,35.8038
60,-19.8403,-14.3863,0.0973323,12.2648,10.7402,-36.2281,12.7487,6.7623,17.9446,-12.6058,2705.33,2679.12,2.75275,13.6315,8591.81,-28.9678,35.9226
61,-20.2349,-15.047,0.0937909,5.06644,14.5438,-37.9626,10.3383,9.60547,17.4481,-13.6847,2550.3,2518.05,2.99913,15.9112,7953.83,-29.6287,36.2269
62,-20.5568,-16.1542,0.0900038,-4.37337,23.2896,-44.2279,12.2115,7.11729,18.5505,-14.5823,2428.91,2226.13,3.04449,17.2667,6672.38,-31.8837,36.6461
63,-20.9148,-16.1787,0.0862659,-11.2699,21.1063,-48.2262,11.5736,3.81415,18.881,-15.7884,2438.21,2182.77,3.04003,17.4954,6644.59,-31.7621,36.7781
64,-21.2832,-16.6135,0.0844593,-17.6978,22.5964,-48.7566,8.70943,3.74644,20.6088,-15.1019,2326.39,2117.13,3.09343,18.4322,5988.57,-32.3987,36.7178
65,-21.4671,-17.1046,0.0816676,-21.0883,23.3587,-51.1164,3.89076,1.72411,16.4819,-16.0081,2262.84,2051.24,3.16026,19.387,5923.75,-32.1451,36.6813
66,-21.759,-17.3089,0.0772681,-23.9058,22.9685,-53.6032,3.87697,-1.00819,14.3513,-16.4134,2318.78,2012.97,3.16828,19.4038,5937.66,-32.6244,36.9403
67,-22.24,-17.906,0.0748768,-27.2893,22.3223,-54.9318,4.98576,-0.835897,13.7434,-15.0505,2318.68,1996.3,3.16953,19.724,5938.48,-32.4275,36.9528
68,-22.5131,-18.4302,0.071968,-30.6829,25.5256,-55.5641,7.21912,1.30567,13.74,-13.2938,2197.19,1951.32,3.14373,20.5554,5262.86,-32.6986,36.5906
69,-22.8572,-18.5828,0.0671455,-34.9355,20.6782,-58.5669,3.31151,0.274769,10.7279,-13.5844,2209.48,1957.93,3.21635,21.2726,5255.04,-32.3104,36.5186
70,-23.4597,-18.5828,0.0647346,-36.2638,21.9712,-57.3521,3.92996,2.03982,11.5547,-11.673,2247.42,1942.23,3.29755,22.0475,5224.56,-32.1775,36.5052
71,-23.7773,-18.2397,0.062831,-38.0718,23.561,-58.3151,-2.03233,-2.17635,4.83425,-16.0969,2257.68,1917.8,3.54707,24.6683,4663.83,-31.3088,36.5394
72,-24.0365,-18.1323,0.0590152,-24.0997,41.8693,-48.1109,0.216904,-1.24389,4.07259,-15.0433,2177.38,1883.21,3.55358,24.8806,4652.09,-30.2092,35.956
73,-24.5807,-18.0153,0.0570831,-33.5957,36.6186,-50.8481,2.52499,-0.646551,3.71424,-13.4851,2148.75,1873.47,3.42828,24.3707,4655.43,-31.0424,35.969
74,-24.8699,-17.6584,0.056675,-39.4939,34.0455,-51.0246,2.25441,3.54353,6.32795,-12.3419,2010.27,1876.23,3.43531,25.2125,4632.12,-31.7288,35.5405
75,-24.9322,-17.5528,0.0554862,-40.1517,33.7443,-49.1837,0.53223,3.32159,8.74598,-10.8778,1947.17,1888.43,3.39183,24.4412,4629.3,-30.4064,35.3761
76,-25.1163,-17.8405,0.0549961,-48.1412,29.5023,-53.8996,-2.20929,4.30005,8.83823,-8.81925,2040.08,1843.55,3.78203,28.8431,4610.64,-30.6807,36.1208
77,-25.1934,-18.3283,0.0504297,-47.5187,24.1829,-58.293,-7.99923,2.39843,3.69948,-11.2128,2143.82,1867.03,3.92344,29.6018,4631.12,-28.0614,36.3123
78,-25.9463,-19.1292,0.0338838,18.9562,2.28249,-32.8177,-7.02917,1.50939,9.44521,-8.23577,3008.28,3393.47,2.40162,9.3459,10864.3,-14.8131,33.9545
79,-29.4002,-20.3686,0.0156985,5.16193,21.7386,-25.4405,0.217517,-2.4805,7.76572,-4.27084,2648.3,3209.21,2.3426,9.31493,9642.5,-15.1825,31.8646
83,-14.6077,-4.99708,0.162383,83.8855,25.8838,-9.8963,16.7716,-5.54711,0.354468,-13.6129,2428.7,3093.45,2.33413,9.23913,9151.85,-22.4723,36.6509
84,-15.7892,-7.27378,0.161144,66.057,33.504,-12.9595,21.0862,-8.2965,2.88568,-12.3139,2179.58,2750.32,2.4113,9.90163,8434.82,-26.3869,37.014
85,-15.8557,-8.18554,0.154886,54.0827,30.4819,-18.5272,22.6154,-6.68623,-1.07156,-12.6277,2121.96,2605.09,2.51419,11.0371,7423.74,-27.0561,37.9816
86,-16.1998,-8.69745,0.146877,43.1985,36.2403,-21.8967,25.5723,-7.15463,-3.41685,-14.6314,1937.78,2369.88,2.6247,12.1814,6824.94,-30.0256,38.7929
87,-16.6609,-9.33474,0.140688,33.4766,40.8797,-26.1035,27.638,-9.11743,-2.37501,-16.0618,1811.19,2221.59,2.68573,12.8816,6263.14,-31.0699,38.9069
88,-17.0349,-10.2986,0.136993,25.6752,45.69,-26.0818,28.7395,-7.91491,-2.64906,-16.0039,1711.09,2101.53,2.82869,14.5028,5741.8,-32.321,39.0997
89,-17.266,-10.5975,0.13036,20.5608,47.163,-26.7063,27.7651,-7.72283,-4.2683,-16.4793,1672.78,2044.43,2.96554,15.9786,5277.58,-32.7423,39.5858
90,-17.6971,-11.3358,0.125432,16.7495,49.8567,-29.2853,29.1277,-7.16726,-6.4928,-12.8566,1626.68,1992.54,2.9442,16.4101,5304.93,-32.5445,39.2925
91,-18.0318,-11.7437,0.120223,14.6238,50.0989,-29.7617,28.4536,-7.65862,-6.82337,-12.1358,1589.74,1977.18,2.97235,16.6629,5737.86,-33.12,39.3806
92,-18.4002,-12.1295,0.114689,9.11542,51.9072,-29.9967,27.0681,-8.80188,-8.40005,-10.6121,1548.89,1932.24,3.08226,17.9518,5739.95,-32.8912,39.628
93,-18.8096,-12.3543,0.111413,2.74177,54.7062,-30.2021,24.8233,-10.7881,-8.96232,-10.4226,1543.46,1869.8,3.13878,18.6048,5300.81,-33.4713,39.7158
94,-19.0613,-13.1779,0.108096,-1.84635,53.2091,-31.438,21.8253,-12.5584,-9.01218,-9.66628,1523.69,1836.72,3.2648,19.9941,5254.01,-33.3624,39.8943
95,-19.3238,-13.5282,0.104558,-2.45194,53.7073,-33.3925,22.4743,-10.2085,-10.3514,-12.3519,1588.03,1837.65,3.20709,19.9512,5233.29,-33.3288,39.5834
96,-19.6129,-13.5653,0.100589,-2.23985,52.6285,-37.1854,20.5611,-8.43498,-10.9353,-11.5732,1608.87,1843.71,3.14321,19.8077,5236.04,-33.1994,39.3423
97,-19.949,-13.8853,0.0961201,-4.49701,51.5183,-39.9826,18.3831,-8.7011,-13.5994,-8.06801,1584.4,1850.68,3.10113,19.6174,5252.44,-33.6308,39.2956
98,-20.3437,-14.2374,0.0927698,-6.69317,55.3673,-38.4698,18.579,-8.02037,-11.6159,-6.35483,1534.76,1842.33,3.29819,22.0683,4784.77,-33.7819,39.1155
99,-20.6519,-14.6192,0.0881923,-13.0061,52.9472,-41.2983,13.1969,-11.7278,-14.2789,-7.05571,1490.14,1809.45,3.44865,23.5964,4755.94,-33.8783,39.6922
100,-21.0914,-15.0804,0.0838936,-15.2816,55.6589,-36.5046,11.9924,-10.2002,-11.5767,-6.7173,1481.21,1790.64,3.73324,26.5944,4722.22,-32.6616,40.0802
101,-21.5254,-15.9865,0.0817884,-21.292,49.8935,-38.5479,4.28107,-13.8406,-14.1982,-10.6213,1501.98,1800.19,3.98375,28.9293,4701.51,-31.7942,40.5756
102,-21.7462,-16.5226,0.0790117,-24.4056,50.6784,-38.087,4.49578,-13.0988,-13.9342,-9.92082,1436.56,1800.69,4.22639,31.7966,4672.93,-31.8652,40.9503
103,-22.0462,-16.6652,0.0762076,-29.9408,53.1516,-37.033,3.47566,-10.4582,-15.1274,-10.251,1326.69,1720.71,4.38769,34.4216,4206.11,-32.6786,40.8922
104,-22.36,-16.6652,0.0733729,-35.8665,56.8652,-34.8874,3.01587,-5.79883,-15.0921,-9.73409,1237.91,1655.4,4.71394,39.5827,4152.02,-33.1528,40.9813
111,-24.6808,-19.034,0.0568463,-49.6813,55.1668,-21.7637,-13.8538,-1.99144,-16.6778,-11.4997,1260.76,1823.08,5.84452,48.1405,3717.83,-29.0612,41.9319
112,-24.906,-19.1315,0.0551871,-48.2178,51.2604,-26.2727,-14.348,-3.84128,-14.2916,-14.5382,1288.48,1839.05,5.62995,45.499,3727.14,-28.6089,41.5571
113,-25.1632,-19.4324,0.0536582,-50.5584,53.1047,-26.0302,-16.4113,-1.44098,-13.4421,-12.0049,1218.71,1772.98,5.73929,48.3494,3694.61,-29.3857,41.0022
114,-25.4073,-19.6948,0.053573,-39.634,60.8013,-33.1684,-8.83024,-9.9734,-15.6544,-5.94342,1250.36,1724.92,5.0911,42.3984,3818.08,-28.7157,40.3525
115,-25.4211,-19.913,0.0532527,-58.173,57.8091,-30.1279,-12.9638,-7.52203,-12.5767,-12.8477,1143.82,1621.48,5.88882,53.9386,3673.68,-31.1804,41.082
118,-25.8006,-20.5577,0.0503233,-69.6527,53.7399,-26.7948,-12.8823,-7.22513,-15.6486,-8.17356,1139.44,1670.44,6.32987,58.466,3666.47,-31.2359,42.0261
119,-25.9646,-20.9509,0.0488377,-70.0574,46.3957,-23.8436,-17.1239,-9.87774,-17.0186,-11.3093,1129.62,1804.1,6.19135,53.0192,3666.88,-29.5196,42.0976
120,-26.2249,-21.4309,0.046996,-58.2896,40.9389,-15.2043,-13.518,-9.20188,-12.01,-14.6881,1225.14,2066.45,5.30929,37.6286,4133.94,-26.5104,42.1555
121,-26.5588,-21.4309,0.0457877,-67.6014,47.9806,-19.0254,-13.6939,-8.86907,-16.2534,-16.2037,1154.06,1858.99,5.8326,47.0245,3690.35,-28.8205,42.3007
