,loudness-0,loudness-1,loudness-2,bufmfcc_feats-0,bufmfcc_feats-1,bufmfcc_feats-2,bufmfcc_feats-3,bufmfcc_feats-4,bufmfcc_feats-5,bufmfcc_feats-6,spectral-0,spectral-1,spectral-2,spectral-3,spectral-4,spectral-5,spectral-6
1,-29.4856,-21.6474,0.0310766,-6.45159,47.041,-14.3923,14.4989,-5.72762,5.95039,3.65931,2040.41,2635.42,2.83573,13.5735,7118.5,-23.989,35.6454
2,-30.1513,-21.7791,0.0289662,-17.1951,41.1763,-18.5772,18.2694,-2.8284,10.4499,1.89733,2114.46,2646.29,2.75065,13.1438,7407.66,-23.5606,36.239
3,-30.7622,-23.7079,0.0269832,-22.1292,40.1736,-19.9772,17.9646,-1.39433,10.6715,3.67112,2127.63,2606.62,2.72443,13.0638,7101.75,-23.243,36.0136
4,-31.3781,-24.0873,0.0253582,-33.4199,36.2066,-25.2867,14.167,-0.252019,10.8181,3.13294,2139.46,2559.18,2.79254,13.8659,7072.73,-23.4556,36.0525
5,-31.9176,-24.9087,0.0240927,-40.1313,35.5819,-28.9788,13.6943,-0.813786,12.428,2.13678,2100.67,2513.14,2.79462,14.1204,7066.94,-23.9476,35.7429
6,-32.3623,-25.0926,0.0228636,-46.1303,34.1541,-30.8818,14.6388,0.687509,12.9863,-0.264884,2207.27,2516.42,2.82315,14.3987,7073.83,-23.5358,36.0244
7,-32.8171,-25.5851,0.0218714,-42.9111,35.8104,-25.6353,15.9323,-1.72421,15.2786,-2.29889,2089.68,2596.3,2.70649,12.863,7747.61,-23.3851,34.8813
8,-33.2025,-26.5188,0.0208791,-48.6699,37.35,-25.7734,10.5149,-1.45706,11.2425,-2.79228,1998.91,2495.73,3.00491,15.4556,6980.37,-23.8753,35.1592
9,-33.6058,-26.2714,0.0198901,-56.3079,40.8549,-28.095,8.42355,0.911765,7.9878,-1.69351,1934.25,2365.24,3.35927,19.2795,6174.15,-24.6369,35.867
10,-34.0273,-26.2714,0.0188893,-58.7408,44.9882,-28.1738,9.71593,2.19356,7.71199,0.199211,1745.94,2271.47,3.51023,21.4187,5744.07,-25.868,35.5218
11,-34.4757,-26.5953,0.018405,-59.4655,43.2308,-31.4929,8.7429,-1.67515,2.99472,-1.73016,1944.08,2341.33,3.40088,20.1834,6162.84,-24.7452,36.4146
12,-34.7013,-27.3571,0.0179344,-57.6187,44.8412,-30.3605,8.59593,-2.27773,1.217,0.26665,1868.71,2353.93,3.4429,20.6343,6145.76,-24.7804,35.957
13,-34.9263,-27.9371,0.0174323,-60.4159,41.6843,-32.1757,6.01568,-3.71214,-2.82477,-0.195506,1943.45,2367.96,3.38211,19.8956,6165.64,-24.9551,36.3234
14,-35.1729,-28.1988,0.0170355,-64.2545,42.1069,-35.5927,4.88958,-6.63681,-5.13277,-2.55938,1918.79,2312.12,3.39508,20.3712,5833.31,-25.6344,36.5134
15,-35.3729,-27.7896,0.0166468,-50.314,52.6052,-28.8568,10.9219,-3.973,-3.41399,-1.03472,1909.82,2342.13,3.30099,19.3878,6051.05,-23.3109,35.9685
16,-35.5734,-27.7896,0.0163182,-59.4334,52.4493,-26.9334,8.9064,-1.84425,-3.84353,0.234878,1803.17,2322.01,3.62531,22.3564,5764.5,-25.0524,36.6121
17,-35.7465,-27.6446,0.0159899,-63.1437,53.0155,-24.6177,8.32884,-0.120525,-3.53705,1.74206,1728.9,2356.51,3.89211,24.6217,5737.34,-25.2573,36.4599
18,-35.9231,-27.6435,0.0159163,-67.0033,54.115,-25.4115,6.62245,-0.788521,-4.57699,-1.78761,1708.34,2295.97,4.0009,25.7814,5702.07,-25.1552,36.8758
19,-35.9632,-27.7148,0.0160325,-66.3081,51.0666,-26.5138,1.95382,-4.5993,-7.91537,-6.09467,1742.59,2347.75,3.97968,25.0204,5726.72,-23.8282,37.3152
20,-35.9,-27.7148,0.0157496,-68.5262,49.6541,-26.3926,1.01857,-4.52751,-9.35154,-7.69539,1698.03,2358.36,4.04433,25.5428,5715.8,-23.7035,37.3873
21,-36.0546,-27.9174,0.0156266,-72.2249,48.5235,-27.7903,-1.49438,-6.46769,-11.9896,-10.4722,1661.33,2311.7,4.09449,26.2238,5699.46,-24.3284,37.8938
22,-36.1227,-27.8254,0.0157536,-75.8242,46.4469,-29.0346,-2.27646,-2.85273,-9.48091,-8.79251,1746.49,2374.28,4.08696,25.882,5707.3,-23.4671,38.4735
23,-36.0524,-27.7731,0.0161536,-74.8778,47.6952,-25.9147,-3.62467,-2.07898,-11.2197,-12.9285,1752.04,2406.18,4.13629,26.0993,5346.73,-23.2638,38.7607
24,-35.8346,-27.3934,0.0170074,-81.5422,47.1964,-30.5089,-3.6995,0.577231,-10.6161,-11.2236,1714.85,2294.46,4.17783,27.8758,5289.17,-24.8695,38.5758
25,-35.3872,-27.3835,0.0169076,-76.8907,51.9547,-24.5099,1.68439,4.66865,-8.57632,-6.99861,1650.81,2274.07,4.18819,28.2272,5059.2,-24.7722,38.065
26,-35.4384,-27.3835,0.0162767,-82.4979,52.0258,-25.984,-3.7581,3.06666,-11.9721,-10.4693,1667.68,2263.53,4.34007,29.6577,4954.73,-25.4981,38.4787
27,-35.7687,-28.5136,0.0156639,-78.8867,54.8975,-25.671,-6.09474,2.29975,-12.4329,-14.0971,1553.75,2246.13,4.42655,30.9262,4055.01,-25.2914,37.5719
28,-36.102,-28.3432,0.0149969,-71.6504,63.5795,-16.2274,1.27757,3.27642,-11.7459,-11.876,1429.21,2197.8,4.4538,31.4049,4034.27,-25.5166,36.9031
29,-36.4799,-28.3432,0.0145169,-81.1026,58.1065,-19.8739,3.74473,8.49927,-8.67387,-8.21177,1547.68,2262.98,4.29443,29.6098,4579.29,-25.4181,37.7711
30,-36.7625,-28.391,0.0136961,-79.2437,52.3921,-16.4253,7.20209,10.288,-3.23475,-7.58063,1487.91,2358.75,4.13529,26.9981,5181.06,-24.5733,37.2665
31,-37.2681,-28.2076,0.0127923,-82.0899,54.8503,-17.7849,1.32036,7.06578,-7.95215,-9.05365,1270.01,2199.68,4.51701,31.6356,3998.6,-26.0983,40.1144
32,-37.861,-28.2076,0.0122066,-89.5211,51.3835,-21.7959,-2.88466,5.75163,-7.10389,-8.61001,1231.27,2206.64,4.77856,34.2794,3975.22,-26.1092,39.9634
33,-38.2681,-29.1427,0.0121095,-92.5196,48.9033,-23.2974,-2.60196,4.44052,-9.40619,-8.96793,1517.35,2405.53,4.4965,29.7934,4729.22,-24.1334,37.6813
34,-38.3375,-30.0818,0.0120469,-98.4354,51.7172,-22.0132,-6.15394,6.08917,-9.98217,-10.4521,1490.58,2319.87,4.69349,32.0304,4005.97,-25.1589,38.5788
35,-38.3825,-29.4394,0.0119887,-100.386,51.8829,-18.8408,-5.51331,8.13151,-7.33676,-8.94926,1324.59,2328.23,4.96489,34.6396,3962.04,-25.4479,38.0738
36,-38.4245,-29.4086,0.0116694,-100.437,50.1995,-17.5437,-4.11627,8.2745,-6.52194,-7.06156,1183.81,2220.42,5.04711,36.1329,3936.82,-26.5247,38.8878
37,-38.6591,-29.2524,0.011443,-103.505,51.2521,-17.7731,-4.6643,7.28617,-9.60439,-8.44013,1180.26,2194.22,5.11658,37.2154,3933.94,-26.592,39.1309
38,-38.8292,-29.7436,0.0113361,-104.636,49.365,-19.0167,-4.72555,7.43349,-10.4022,-9.85539,1263.99,2291.89,5.03956,35.5478,3966.53,-25.2574,38.0072
39,-38.9107,-31.1258,0.0112065,-97.6754,52.84,-12.1611,-1.94521,6.52002,-8.80091,-12.2704,1476.71,2427.69,4.63671,29.9108,4800.43,-23.0195,39.2232
40,-39.0106,-30.7176,0.0109246,-102.013,52.6924,-14.2655,-3.21933,6.48529,-8.746,-11.5169,1332.25,2344.65,4.86403,32.9698,4004.6,-24.079,38.3748
41,-39.2319,-30.7176,0.010704,-106.741,50.5919,-16.9035,-8.47832,4.92498,-11.8028,-10.7591,1219.67,2268.27,5.10066,35.9784,3944.37,-25.018,37.6748
42,-39.4091,-31.0635,0.0105839,-105.805,44.2803,-18.7026,-8.45698,-0.130662,-10.0492,-14.4662,1418.95,2449.74,4.65092,29.9692,4375.66,-23.1075,38.693
43,-39.5071,-32.0965,0.0103246,-102.853,46.6421,-10.8591,-2.82196,4.11928,-6.34948,-12.892,1355.16,2504.02,4.64407,29.3592,4427.76,-22.8923,38.2882
44,-39.7225,-32.7034,0.0100985,-100.307,49.39,-10.4211,-3.41491,3.56032,-11.161,-13.3595,1476.25,2574.94,4.49018,27.5103,5283.26,-22.2724,38.546
45,-39.9149,-33.3542,0.00988669,-91.7302,47.8921,-2.48206,4.50936,4.65479,-4.056,-12.83,1631.24,2804.19,3.99849,21.9055,6175.68,-20.0143,38.3617
46,-40.099,-32.0523,0.00929627,-80.548,43.1101,-8.10202,7.18693,0.382399,-1.08753,-9.00247,1580.23,2808.74,3.76663,20.2235,6724.97,-19.5933,37.2238
47,-40.6338,-32.0523,0.00851091,-83.7469,46.7604,-5.36672,6.25126,-2.85243,2.08745,-11.9621,1505.86,2736.45,3.79562,20.5449,6733.58,-20.3622,36.9985
48,-41.4005,-32.4449,0.00818049,-90.4449,36.731,-4.75012,4.65107,-0.577899,5.36562,-15.1264,1778.13,3102.02,3.25433,15.1616,9246.6,-18.5673,37.4981
