,loudness-0,loudness-1,loudness-2,bufmfcc_feats-0,bufmfcc_feats-1,bufmfcc_feats-2,bufmfcc_feats-3,bufmfcc_feats-4,bufmfcc_feats-5,bufmfcc_feats-6,spectral-0,spectral-1,spectral-2,spectral-3,spectral-4,spectral-5,spectral-6
2,-60.3737,-44.5097,0.00139142,-175.953,37.57,10.4141,-8.3506,2.85598,5.93978,8.73752,1678.15,3835.08,3.32465,14.0374,11095.7,-15.7788,43.3329
3,-57.1308,-44.5097,0.00136382,-156.451,48.0704,-0.505108,-8.48972,8.32209,-0.957467,2.35898,1791.52,3526.56,3.51446,16.1025,8991.76,-16.0158,35.8078
4,-57.3048,-44.9293,0.0010765,-175.172,30.9115,8.09292,2.93764,9.31025,8.56643,10.5641,1732.35,3957.71,3.18948,13.1591,11292.2,-15.4898,42.9188
5,-59.3597,-44.9293,0.00100772,-186.718,33.4185,17.6856,3.78422,10.614,4.07724,2.43543,1637.38,4001.79,3.25307,13.2813,11901.9,-15.3964,42.1637
6,-59.9332,-48.0308,0.000846998,-203.393,18.6612,25.2062,12.2807,12.3045,1.7661,2.23596,1707.21,4292.28,2.97423,11.1453,13254.8,-15.1055,44.1137
7,-61.4424,-48.4985,0.000618338,-211.742,12.519,18.2137,9.7205,11.7753,9.54427,9.67645,2433.26,4973.86,2.34192,7.5712,15605.0,-12.0572,42.4056
9,-63.1753,-49.8266,0.0006477,-216.011,5.70737,18.3701,11.0302,6.12482,5.20854,14.9098,2451.85,5011.58,2.29907,7.3643,15555.1,-12.1755,44.2365
10,-63.7725,-49.1764,0.000228832,-210.794,6.29961,14.6296,7.64311,6.53701,0.374932,5.10214,1732.12,4303.89,2.90424,10.8119,13276.5,-15.1698,47.0337
11,-72.8097,-49.1764,0.00023012,-215.095,13.2715,24.2212,8.65707,7.28633,5.60619,9.18711,1542.15,4198.0,3.15512,12.2815,12664.1,-16.3346,47.487
12,-72.7609,-49.0198,0.000406282,-214.307,9.27531,20.395,8.00149,7.51332,3.33899,9.48737,1621.35,4260.63,3.03664,11.5594,12845.4,-16.017,47.3922
13,-67.8234,-49.0198,0.000883696,-210.497,9.76688,17.7564,6.45187,8.03511,4.44638,1.41077,2204.66,4807.57,2.48387,8.29283,14535.7,-13.1026,44.36
14,-61.0739,-46.4465,0.000686837,-218.305,11.1484,21.5512,7.35223,3.15229,0.510511,10.2202,2104.76,4797.34,2.58816,8.78897,15144.7,-13.8114,45.7663
15,-63.2629,-46.4465,0.000339226,-214.331,11.8725,21.1514,6.9609,10.4755,11.2588,11.4066,1279.65,3838.56,3.54608,15.1747,10874.6,-17.8575,47.4327
16,-69.3902,-47.567,0.000427136,-216.137,11.903,19.4493,9.9747,9.43567,2.1464,6.0406,1488.29,4142.08,3.2694,13.1082,12357.7,-16.704,47.3613
17,-67.3887,-48.6533,0.000352965,-209.741,18.0726,22.9647,10.4132,7.30193,4.47541,11.0432,1831.79,4432.48,2.86739,10.5272,13637.7,-14.5185,45.0073
21,-62.3628,-49.4304,0.000430083,-211.014,10.9857,17.3843,8.1234,9.85269,6.76272,8.7083,1857.14,4500.12,2.82347,10.2223,13954.8,-14.4329,45.5818
22,-67.329,-49.4304,0.000446908,-210.38,8.40013,18.524,11.8741,10.0996,5.67268,1.33007,2159.86,4771.76,2.51635,8.48413,15151.8,-13.2654,46.4394
23,-66.9956,-50.137,0.000560092,-220.263,8.94669,24.2792,9.68363,7.63463,2.35091,6.33285,2459.49,5133.1,2.27782,7.11111,16023.6,-12.4428,42.7924
24,-65.0348,-46.4056,0.000784308,-212.933,13.9163,20.5485,5.90818,6.38161,4.30259,8.65602,2072.29,4770.9,2.63253,9.0285,15093.4,-13.7935,45.4387
25,-62.1103,-45.6481,0.00024249,-215.468,10.6455,22.9264,12.3,10.5009,7.75872,10.7676,1131.05,3601.48,3.77781,17.0878,9546.5,-18.9828,48.1922
26,-72.3061,-45.7949,0.000326787,-211.586,10.7939,22.4435,13.0075,5.33929,2.85089,3.7767,1269.34,3796.06,3.54466,15.3269,10418.8,-17.8256,48.3222
27,-69.7147,-46.6078,0.000332218,-207.099,15.1321,23.1072,9.88273,3.78042,4.24238,3.84937,1431.42,3984.3,3.31511,13.6104,11242.5,-16.9944,47.8784
28,-69.5715,-47.7668,0.000654915,-199.579,13.5526,13.2451,7.70833,7.62675,6.2142,8.10595,1753.13,4305.94,2.96477,11.2604,12763.4,-14.728,46.518
29,-63.6763,-50.4845,0.00110395,-206.186,16.5388,20.1975,7.43712,9.52794,6.53417,7.24679,2411.09,4912.3,2.35566,7.62651,15434.0,-12.1494,41.0017
30,-59.141,-46.8453,0.000464256,-214.403,14.4783,23.4801,12.5211,12.6861,6.34725,7.15474,1524.82,4161.98,3.21137,12.7405,12280.0,-16.432,46.7527
31,-66.6648,-46.7913,0.000579934,-208.68,12.8557,19.6286,6.71131,8.65287,5.65727,9.41092,1331.33,3871.26,3.46419,14.63,11074.2,-17.5124,47.4579
32,-64.7324,-46.7913,0.000307287,-215.311,13.2305,24.8222,10.9125,11.0856,4.7501,8.02669,2004.14,4759.4,2.68992,9.31419,15081.0,-14.3095,45.8455
34,-65.7,-50.8464,0.000490649,-190.204,28.0798,7.04316,-11.0653,-3.6713,1.70889,12.8026,2683.71,4781.95,2.46621,8.30158,15797.3,-11.593,37.5321
35,-66.1846,-48.7254,0.000567215,-198.615,14.3903,4.81997,-8.49047,-1.17271,9.64835,15.4342,2170.26,4473.71,2.63802,9.35661,13852.4,-13.1604,44.4946
36,-64.925,-48.7254,0.000879086,-210.116,12.9821,18.9065,3.85523,5.05669,11.2939,10.6549,1603.38,4217.79,3.11113,12.1125,12346.6,-15.8482,46.9053
37,-61.1194,-49.0198,0.000967923,-174.526,31.8708,18.0096,4.59465,1.99556,6.81414,2.18888,2264.54,4414.81,2.60554,9.29952,13374.4,-12.5747,38.0527
38,-60.2832,-49.1621,0.00050089,-183.258,22.3204,23.7818,6.60958,-6.6989,2.81278,6.00086,2421.89,4669.85,2.38395,7.98026,14273.0,-12.2159,40.1473
41,-60.442,-47.0788,0.000582905,-194.614,0.434934,24.4946,26.469,2.95194,8.51948,2.64032,2048.97,4456.5,2.46841,8.59032,12544.2,-14.1337,45.4837
42,-64.688,-47.1975,0.000797727,-198.374,-8.66897,18.0682,28.7657,8.31377,7.92297,2.02683,1992.08,4396.57,2.50512,8.81993,12419.8,-14.4725,46.7775
45,-66.7422,-46.1242,0.000419088,-206.47,-10.6642,17.4255,27.715,6.50391,11.0681,9.73619,1715.13,4112.01,2.7469,10.2506,11551.8,-15.9211,47.3713
50,-19.3661,-8.94434,0.0845699,45.5129,64.5765,-18.4341,28.5523,-12.131,17.1847,-0.15914,1634.56,2207.76,2.62623,11.6462,6435.88,-30.4438,33.232
51,-21.4557,-14.0073,0.0775836,27.0075,60.1192,-29.2566,26.9708,-12.1086,18.1774,2.35614,1852.21,2194.56,2.38304,10.4748,6705.36,-31.2121,35.1988
52,-22.2046,-14.7866,0.0743853,16.3035,60.7159,-34.6274,25.8469,-10.2003,19.1652,4.11515,1809.7,2080.15,2.47015,11.5666,6249.84,-32.7839,34.9437
53,-22.5703,-16.2383,0.0711458,7.3978,65.4754,-38.2563,25.9114,-11.8791,15.1701,2.98893,1777.02,1987.58,2.53924,12.8296,6186.93,-33.8854,35.3466
64,-26.5178,-19.5615,0.051479,-44.1245,66.9901,-37.8426,2.48457,-4.14868,-5.8546,-3.25144,1443.34,1608.65,4.16163,34.0021,4228.56,-32.1465,35.8956
67,-22.4829,-15.3591,0.0745436,14.9072,49.1729,-5.00109,8.53211,-19.5161,2.65776,-3.97187,1512.13,2496.37,3.30257,15.2955,6971.62,-22.6024,41.0555
68,-22.5518,-15.3591,0.0630866,-28.6876,71.2096,-7.64376,8.63113,-12.2771,2.76976,-6.32695,955.063,1625.92,5.416,41.8763,3310.95,-29.0302,42.6111
69,-24.0013,-16.8899,0.0611938,-57.8757,81.2166,-2.43618,1.74457,-2.29053,2.03519,-4.83309,797.845,1378.96,7.16949,73.5324,2226.26,-31.9447,41.8778
70,-24.2659,-17.9244,0.0611646,-73.2303,86.2631,-1.2285,-1.41387,-6.43117,-2.43132,-3.98986,730.607,1225.32,8.5244,103.997,2158.37,-34.1161,42.5187
71,-24.27,-17.9244,0.0617363,-83.7273,90.7983,1.76094,-3.9047,-2.84895,-2.23633,-0.688985,691.788,1148.2,9.80392,134.791,1819.7,-35.7172,43.1981
72,-24.1892,-18.2916,0.060207,-95.4571,92.1577,5.18415,-11.6357,-3.70877,-4.46917,-2.01768,678.43,1110.21,10.7562,156.202,1495.19,-36.7812,43.6073
73,-24.4071,-17.9064,0.0602588,-100.04,92.9007,8.20103,-14.2496,-3.8081,-4.59708,-2.42131,654.41,1095.41,11.2678,168.165,1447.64,-36.9507,43.6775
74,-24.3996,-17.7273,0.0580817,-104.554,94.1284,9.30245,-12.7734,-5.60112,-1.28907,-3.50774,626.514,1050.04,11.6426,181.781,1392.64,-37.8518,43.6169
75,-24.7192,-19.1036,0.0577588,-107.91,92.5995,12.7415,-14.4433,-5.36072,-4.82754,-0.311583,624.14,1102.96,11.8029,179.319,1172.13,-37.309,43.6718
78,-25.0722,-19.3541,0.0551602,-118.829,93.8301,19.1008,-18.561,-7.04374,0.708117,-3.60563,606.184,1069.91,12.3954,193.818,1151.8,-38.4225,44.0325
79,-25.1675,-19.3541,0.0535191,-119.435,92.1405,21.8971,-15.7974,-9.47314,0.534474,-1.49503,589.596,1080.25,12.3337,190.822,1142.93,-37.896,43.8757
81,-26.8605,-19.2668,0.0269147,-50.1844,54.4182,-1.13428,8.50895,-17.1739,-0.348375,-11.782,1050.42,2010.32,4.67432,29.2727,4487.2,-25.3774,42.4483
82,-31.4002,-21.6595,0.0123375,-79.8728,67.6714,1.05033,7.55927,-10.3154,-9.47636,-10.5701,947.701,1799.71,5.86071,46.7757,3435.3,-26.5427,41.6907
83,-38.1755,-29.3253,0.00349902,-128.547,68.4264,19.1161,4.76532,-2.80402,-3.54694,-0.1068,912.149,2125.76,6.20563,47.2819,2878.38,-24.7973,40.3219
84,-49.1211,-36.0273,0.006359,-159.163,48.6215,24.3202,9.96896,2.45576,3.83719,5.41737,1452.42,3450.35,3.78062,17.8491,8627.76,-17.6425,36.581
85,-43.9322,-27.1397,0.0427287,-164.119,43.5882,23.0069,16.3559,9.05777,4.73555,1.76187,852.667,2721.87,4.95677,29.7172,4918.78,-21.7858,43.3395
86,-27.3856,-16.4759,0.0534473,-0.697295,66.0859,7.85417,25.7005,-7.83731,8.84358,7.00685,1122.22,2152.15,3.83816,20.9856,5866.1,-25.6232,34.4949
87,-25.4415,-16.4759,0.0386733,-9.38738,74.8483,-0.655283,26.8408,-4.55359,11.568,2.98556,1030.33,1845.25,4.18616,26.218,5001.46,-31.5966,34.7541
88,-28.2518,-16.9535,0.0297441,-28.7315,69.5895,-7.53542,24.6183,-6.06933,13.0558,4.72634,1225.44,1967.35,3.75597,22.365,5439.45,-31.8914,33.893
89,-30.532,-20.243,0.0286566,-40.972,66.8576,-13.4007,21.5221,-5.26083,14.972,10.9745,1282.17,1960.26,3.6951,22.63,5439.99,-31.8246,34.3719
90,-30.8555,-21.5804,0.0272763,-46.1268,67.4204,-16.0482,18.4055,-7.79972,10.4701,9.17379,1301.6,1927.23,3.83143,24.6828,5427.47,-31.3132,34.6047
91,-31.2843,-22.2655,0.0260606,-51.7241,71.6042,-18.5665,18.2354,-6.85115,7.60753,9.16981,1276.07,1832.83,4.00408,27.5134,5380.23,-32.2659,35.1003
92,-31.6803,-21.8155,0.0249117,-57.535,69.1004,-22.068,13.3566,-9.40837,4.09214,7.81728,1365.86,1851.14,4.10695,29.067,5399.38,-31.612,36.0845
93,-32.0719,-24.4023,0.0246497,-58.5052,68.2032,-21.6163,10.8424,-9.23045,4.12908,7.03441,1298.07,1854.01,4.3059,31.3717,5026.64,-30.1541,35.7933
94,-32.1638,-24.4757,0.0231044,-63.382,68.9873,-20.4443,7.39843,-8.83196,0.525535,8.62954,1237.44,1784.96,4.57633,35.0059,4562.22,-30.8342,35.8068
95,-32.7261,-24.8324,0.0213041,-66.825,70.587,-22.3186,8.44727,-7.6161,0.377926,8.94301,1252.67,1764.18,4.49397,34.4353,4575.76,-30.5542,35.6593
96,-33.4307,-26.4904,0.0262398,-65.0029,61.9752,-19.6759,4.47015,-5.5326,3.6989,4.13499,1392.03,1970.8,4.42006,31.1312,5352.93,-26.8973,36.3185
97,-31.6208,-21.6044,0.028247,-5.65204,20.3982,-6.62919,-5.37011,-16.6213,9.68434,-4.17429,2908.55,3876.01,1.94936,6.1889,11990.2,-15.1787,33.7468
98,-30.9806,-21.4136,0.0204234,5.84592,21.5569,-13.6509,-8.77947,-20.1077,7.98698,-3.81254,2631.23,3523.76,2.23784,7.75702,11130.5,-15.8789,34.5923
99,-33.7974,-21.4136,0.0108574,-55.8396,54.0074,-11.4655,-3.47651,-14.0095,5.68733,-2.41421,1515.89,2356.31,3.82924,21.0151,6166.11,-22.1499,38.4888
100,-39.2854,-28.842,0.00604315,-108.127,61.0639,4.12747,-6.81462,-8.71112,4.84334,-0.3045,1095.39,2213.43,5.18233,35.0662,3991.62,-23.7124,39.6503
101,-44.3747,-32.8401,0.00288499,-137.79,57.1593,13.3348,-3.14395,-5.38023,4.26835,3.4274,1084.81,2525.26,4.98677,31.1437,4345.34,-22.173,37.9885
102,-50.7971,-39.6568,0.00157963,-152.993,50.8608,14.0551,-5.89597,-1.40832,2.89804,7.73993,1541.06,3263.96,3.94313,19.3584,7952.44,-17.906,36.8604
