,loudness-0,loudness-1,loudness-2,bufmfcc_feats-0,bufmfcc_feats-1,bufmfcc_feats-2,bufmfcc_feats-3,bufmfcc_feats-4,bufmfcc_feats-5,bufmfcc_feats-6,spectral-0,spectral-1,spectral-2,spectral-3,spectral-4,spectral-5,spectral-6
3,-79.0207,-62.1322,0.000121651,-268.583,0.129107,14.0786,8.62045,7.19032,-0.0849351,1.36542,3072.16,5452.38,1.8938,5.49013,16881.4,-10.406,44.9898
5,-77.5309,-64.9345,0.000126643,-263.443,9.82373,17.8094,7.52012,11.5704,7.23282,10.8685,3348.75,5676.41,1.81424,5.11211,17580.8,-9.29398,38.473
7,-76.013,-57.9443,0.000196982,-266.729,9.81592,21.0705,12.9915,12.4802,2.25687,6.24553,2811.66,5334.39,2.08999,6.29659,16749.6,-10.9985,43.2917
8,-74.1115,-56.4674,9.26378e-05,-263.804,8.96867,21.7982,9.37252,9.3574,5.54473,8.99876,1770.62,4491.34,2.88825,10.5452,13916.8,-15.2045,46.9992
9,-80.6642,-56.4674,0.000119384,-261.417,7.28433,11.5787,5.12784,10.1343,2.96858,7.87305,1701.48,4321.25,2.992,11.324,13233.6,-15.3836,47.3598
10,-78.4611,-57.5712,0.000151157,-260.965,8.88828,16.7613,3.87327,6.86103,4.80573,4.59155,2132.03,4763.8,2.53177,8.50705,15038.5,-13.4169,46.6801
11,-76.4114,-59.7521,0.000136833,-255.334,6.77807,13.6621,1.75933,-0.0977836,2.6325,6.10365,3168.04,5434.39,1.87121,5.4312,16512.9,-9.88898,43.7881
12,-77.2762,-63.7387,0.000178445,-248.151,13.9856,15.6024,11.4901,9.50323,3.44921,5.56236,2933.08,5189.2,2.06211,6.31264,16515.1,-10.5459,41.203
13,-74.9699,-63.7387,0.00022359,-248.617,11.7435,16.1678,4.01493,8.81762,7.2186,5.79422,3807.97,5750.23,1.61579,4.43981,17560.4,-8.40168,36.2004
14,-73.0109,-58.3778,0.00020557,-255.533,7.91306,14.5719,4.82886,10.3577,4.22626,1.28693,2802.89,5256.34,2.08257,6.27442,16776.4,-11.2882,43.1434
15,-73.7408,-54.12,0.000351127,-228.307,9.07282,12.5948,7.6344,6.1163,14.8942,3.1262,2133.48,4458.53,2.45967,8.4587,12810.3,-13.1506,45.2838
16,-69.0907,-52.6163,0.000405493,-217.337,27.6394,10.6988,10.4774,10.7578,8.36639,5.46802,1650.58,3872.14,3.18624,13.2331,11048.0,-15.3389,44.8441
17,-67.8403,-52.6163,0.000385582,-225.642,31.0963,20.1949,12.9067,13.0933,7.70243,2.63536,1588.13,3898.27,3.27178,13.5869,11038.8,-15.8023,43.1214
18,-68.2777,-55.4497,0.000398857,-228.815,21.3377,12.8764,10.101,8.92359,11.2684,10.7528,1960.99,4293.83,2.82004,10.5923,12585.3,-14.0164,43.5418
19,-67.9837,-55.4497,0.00512848,-229.717,23.7133,22.2551,14.9832,10.8628,9.69015,5.16081,2133.88,4458.33,2.61804,9.27103,13483.6,-13.1742,40.8024
21,-27.7648,-14.1084,0.0913199,49.7083,7.01904,-0.93434,16.2199,5.70697,15.7072,-4.38186,4214.75,4512.83,1.16375,3.49152,13417.8,-9.9271,27.3918
23,-19.5113,-10.1812,0.093725,106.608,16.6179,-3.15111,10.1454,-8.1807,-3.16769,-8.82711,3464.25,4112.5,1.65495,5.26174,12584.9,-12.6965,29.5829
24,-20.5629,-12.104,0.088488,87.6375,24.7857,-4.03412,12.6619,-8.14459,-4.93222,-11.3675,3000.58,3763.48,1.90518,6.47948,11369.0,-15.4664,30.4872
25,-21.0623,-12.104,0.0813394,77.4481,31.1052,-6.48025,18.7664,-12.1387,-7.36673,-14.8945,2650.13,3373.29,2.03206,7.38555,10699.7,-18.6157,31.1311
39,-34.588,-26.5666,0.0153812,-24.0412,23.4783,-18.7354,6.92761,-6.86242,-1.5404,-9.83127,2773.74,3253.62,2.21632,8.35776,9903.33,-19.6813,31.3729
40,-36.2602,-27.5062,0.013578,-35.0733,19.3821,-14.1843,6.12329,-3.47558,2.18731,-14.5667,2890.14,3488.54,2.09426,7.3485,11125.2,-20.9839,32.434
42,-37.5709,-29.4811,0.0112131,-45.2667,12.5121,-24.1405,12.0272,4.3492,-3.09713,-14.4352,3201.25,3337.43,2.1135,8.10137,10997.9,-19.9656,33.1821
43,-39.0055,-29.4811,0.00664066,-53.1603,14.6755,-27.026,8.9708,-0.697595,1.60339,-9.46365,3061.71,3265.41,2.15692,8.32451,10526.2,-18.8552,34.6265
44,-43.5558,-33.104,0.00268026,-83.7488,25.0441,-29.2437,10.8814,-1.35697,0.115894,-0.947061,2910.8,3074.11,2.22981,9.50513,8807.14,-16.9298,34.0024
45,-51.4364,-42.9024,0.001808,-141.728,44.1674,-12.9206,9.25666,-4.55657,0.534244,4.5182,2032.1,2864.14,3.20643,16.0001,7580.62,-19.0557,35.7206
46,-54.856,-45.4961,0.00123533,-166.337,51.2854,0.0731129,7.83332,1.11659,-2.09976,1.31885,1571.7,2849.31,3.96272,21.6251,6500.24,-19.5431,35.3002
47,-58.1643,-47.3567,0.00101514,-182.983,51.6923,6.49829,0.167704,1.66381,3.49754,7.99016,1524.48,3083.33,3.96837,20.5874,6858.94,-18.4606,37.5567
48,-59.8695,-48.6335,0.00095153,-189.929,49.8076,11.9536,8.05156,4.45955,2.22646,10.3093,1697.69,3306.31,3.58841,17.0559,8230.11,-17.139,35.4828
49,-60.4316,-51.1901,0.000904551,-197.137,48.958,8.6513,4.08016,7.76147,0.59072,6.07542,1689.33,3343.26,3.62386,17.2803,8130.57,-16.8699,34.524
50,-60.8713,-50.9723,0.000830332,-199.753,51.3401,12.5664,4.18973,9.08165,2.05546,5.62593,1505.76,3360.52,3.88762,19.1613,7595.19,-17.9498,37.7198
51,-61.615,-50.6292,0.000830683,-200.356,52.3444,14.1145,2.93902,7.00054,2.03908,8.51318,1370.1,3153.83,4.04987,20.7335,6681.98,-18.6013,38.779
52,-61.6113,-48.9686,0.000851865,-204.729,53.7551,16.1508,1.59768,10.3571,4.52736,9.27118,1195.33,3030.58,4.41318,24.0376,5381.44,-20.058,40.8591
53,-61.3926,-48.8932,0.000799691,-205.221,50.0406,14.1154,3.68971,10.2424,-0.375494,6.84967,1452.58,3332.71,3.90797,19.1437,7321.09,-18.047,39.5527
54,-61.9416,-51.5721,0.00080218,-205.588,52.793,16.5,-0.0242864,10.2502,0.448644,5.75409,1509.5,3396.99,3.83601,18.3318,7939.89,-17.5067,36.1173
55,-61.9146,-53.625,0.000833852,-206.067,51.0746,19.1899,2.88574,2.76997,0.924999,7.14586,1669.18,3545.78,3.5993,16.4236,9333.48,-16.5215,35.8406
56,-61.5782,-54.1149,0.000746069,-204.19,50.645,16.5409,3.39341,5.93199,1.15926,5.35262,1692.74,3497.54,3.55392,16.1559,9194.26,-16.4807,36.8251
