,loudness-0,loudness-1,loudness-2,bufmfcc_feats-0,bufmfcc_feats-1,bufmfcc_feats-2,bufmfcc_feats-3,bufmfcc_feats-4,bufmfcc_feats-5,bufmfcc_feats-6,spectral-0,spectral-1,spectral-2,spectral-3,spectral-4,spectral-5,spectral-6
0,-5.23169,-0.664039,0.777555,138.51,19.2362,-20.8505,-30.4169,-10.9067,6.70408,13.4406,2858.88,3819.85,3.09117,12.349,12432.4,-11.9243,35.5059
1,-2.18538,-0.660653,0.774785,-232.739,57.1986,-49.6955,-105.675,-40.2889,26.4646,46.2643,1545.61,150.503,92.0897,10073.9,1587.98,-70.674,47.4543
2,-2.21638,-0.396465,0.772575,-227.808,62.1393,-44.0607,-101.341,-36.9536,28.1368,47.8515,1545.6,151.652,90.7073,9767.88,1587.98,-70.2246,47.4541
3,-2.24118,-0.666004,0.775104,-227.779,64.168,-42.3438,-99.6479,-39.1444,30.7624,47.9291,1545.54,149.523,92.022,10137.7,1587.98,-70.6246,47.454
4,-2.2128,-0.183808,0.777582,-228.721,59.701,-45.5183,-101.985,-39.0902,27.8754,48.4644,1545.58,148.518,90.6737,9824.59,1587.98,-70.4732,47.4542
5,-2.18507,-0.664007,0.775334,-232.626,55.9342,-50.066,-105.713,-41.3029,25.9071,46.9766,1545.59,148.274,91.8169,10075.8,1587.98,-70.7812,47.4544
6,-2.21023,-0.535993,0.7726,-229.976,63.5278,-42.9423,-102.401,-37.6166,30.7041,47.5273,1545.55,149.894,92.613,10211.7,1587.98,-70.9838,47.4542
7,-2.2409,-0.666183,0.774558,-228.083,65.3504,-39.7124,-101.443,-36.7744,32.2439,46.835,1545.56,151.17,91.2935,9915.02,1587.98,-70.5142,47.454
8,-2.21892,-0.282356,0.777498,-230.531,64.0949,-44.3579,-102.31,-36.5306,28.9857,47.75,1545.48,145.867,93.7258,10540.6,1587.98,-71.0057,47.4542
9,-2.18602,-0.66616,0.77587,-232.954,56.5583,-51.1349,-104.867,-42.0531,27.0969,44.6387,1545.54,145.223,93.2958,10502.3,1587.98,-71.0083,47.4544
10,-2.20422,-0.548638,0.772745,-230.092,61.6734,-45.0857,-103.018,-38.1223,29.305,45.7835,1545.57,150.243,92.281,10152.1,1587.98,-70.8021,47.4542
11,-2.23928,-0.532819,0.774037,-227.137,63.2632,-40.4639,-101.066,-38.4914,31.8484,46.5118,1545.56,149.56,90.2196,9759.54,1587.98,-70.4982,47.454
12,-2.22477,-0.439219,0.777297,-227.759,61.134,-43.405,-100.936,-39.7326,31.1542,46.4889,1545.56,148.173,90.7765,9929.31,1587.98,-70.4373,47.4541
13,-2.18825,-0.584737,0.776368,-232.535,56.0011,-49.3471,-106.351,-40.7829,26.5173,45.4398,1545.61,148.922,91.1259,9905.99,1587.98,-70.6746,47.4543
14,-2.19865,-0.656971,0.773001,-229.531,60.3582,-44.4265,-102.714,-39.1798,30.5847,46.4321,1545.57,148.413,91.0427,9931.52,1587.98,-70.9262,47.4542
15,-2.2364,-0.340246,0.773565,-227.773,64.7324,-39.5752,-101.368,-37.0294,31.9854,47.6157,1545.59,152.299,90.5117,9729.1,1587.98,-70.5159,47.454
16,-2.23006,-0.66618,0.776991,-227.744,62.8308,-40.8393,-102.506,-36.2544,30.6887,46.8756,1545.58,150.543,90.0445,9663.47,1587.98,-70.4711,47.4541
17,-2.19168,-0.528555,0.776805,-232.259,58.5484,-49.4689,-104.77,-38.8525,26.2908,46.3637,1545.57,148.548,92.7242,10259.1,1587.98,-70.8499,47.4543
18,-2.19376,-0.666167,0.773358,-231.68,60.6238,-46.9859,-104.421,-37.7184,27.0015,46.996,1545.57,149.727,92.3413,10138.5,1587.98,-70.9696,47.4543
19,-2.23239,-0.211889,0.773166,-227.263,63.2018,-42.2366,-100.298,-38.283,30.2109,47.3729,1545.56,149.817,91.0696,9923.9,1587.98,-70.4751,47.454
20,-2.23455,-0.66617,0.776593,-228.226,64.0514,-44.445,-99.4301,-38.1711,28.8921,48.3342,1545.51,147.566,93.0843,10404.2,1587.98,-70.8708,47.4541
21,-2.19613,-0.497012,0.777159,-231.731,57.9368,-46.8621,-105.467,-40.3138,29.145,45.3359,1545.65,152.387,90.8006,9778.6,1587.98,-70.579,47.4543
22,-2.18981,-0.658704,0.773796,-231.173,59.1128,-47.2925,-104.004,-39.488,29.141,45.3076,1545.55,146.587,92.3329,10257.5,1587.98,-70.7246,47.4543
23,-2.22747,-0.174993,0.772858,-228.72,65.4737,-42.6127,-99.7649,-37.7837,31.1188,48.2023,1545.48,146.831,93.5628,10512.2,1587.98,-71.0158,47.4541
24,-2.23801,-0.66618,0.776122,-227.859,64.6844,-41.3976,-100.125,-37.8944,31.9603,47.1875,1545.49,146.289,92.0871,10225.3,1587.98,-70.8559,47.4541
25,-2.2014,-0.287511,0.777413,-229.317,58.2128,-46.2454,-101.707,-41.5611,29.8739,48.4739,1545.58,147.376,91.0416,9974.27,1587.98,-70.4742,47.4543
26,-2.18697,-0.666183,0.774296,-232.257,57.5528,-48.5987,-105.015,-41.0704,28.0646,45.659,1545.6,149.788,91.9542,10075.7,1587.98,-70.6382,47.4543
27,-2.22186,-0.242456,0.772657,-227.731,62.598,-43.4223,-101.121,-37.3092,28.8257,47.2926,1545.59,151.146,90.6854,9797.14,1587.98,-70.4858,47.4541
28,-2.24026,-0.666039,0.775601,-228.318,65.0327,-42.8909,-100.347,-37.3593,30.2008,46.7268,1545.55,151.281,92.5074,10202.7,1587.98,-70.646,47.454
29,-2.20723,-0.185277,0.777555,-230.469,60.2711,-46.4063,-103.458,-38.3998,27.9149,46.6144,1545.62,152.02,91.6172,9972.99,1587.98,-70.6697,47.4542
30,-2.18538,-0.659697,0.774833,-232.127,55.6804,-46.7862,-106.983,-41.4336,29.1476,45.1635,1545.72,155.376,89.3168,9421.91,1587.98,-70.2455,47.4543
31,-2.21583,-0.416616,0.772574,-227.423,62.1954,-42.4376,-100.531,-38.0825,29.9551,49.6259,1545.6,151.232,90.2365,9700.84,1587.98,-70.4138,47.4541
32,-2.24121,-0.666004,0.775056,-226.498,64.5621,-42.001,-97.7497,-38.9001,31.2941,49.6524,1545.48,145.019,92.3009,10316.7,1587.98,-70.7214,47.454
33,-2.21333,-0.188264,0.77758,-229.564,62.254,-45.4749,-101.75,-37.1681,28.4706,47.4892,1545.53,147.591,92.6252,10281.6,1587.98,-70.7868,47.4542
34,-2.18509,-0.666011,0.775381,-232.123,55.2347,-50.2522,-105.408,-42.1743,26.9184,45.3333,1545.67,152.236,91.1524,9885.52,1587.98,-70.3077,47.4543
35,-2.20969,-0.532609,0.772608,-228.769,61.423,-44.2592,-101.718,-38.9429,29.8426,46.8341,1545.59,150.843,91.4542,9979.48,1587.98,-70.4748,47.4541
36,-2.24082,-0.666001,0.77451,-227.76,64.0726,-40.7924,-101.958,-36.2699,29.0097,48.8642,1545.61,153.649,90.0892,9577.33,1587.98,-70.455,47.454
37,-2.21946,-0.296165,0.777485,-230.606,62.8456,-44.0418,-103.804,-36.5899,28.0281,47.7869,1545.5,146.443,92.3978,10201.3,1587.98,-71.0581,47.4542
38,-2.18616,-0.665981,0.775917,-234.552,57.2679,-49.9819,-107.623,-40.1011,25.8436,45.4668,1545.55,147.35,92.9461,10290.7,1587.98,-70.9867,47.4544
