,loudness-0,loudness-1,loudness-2,bufmfcc_feats-0,bufmfcc_feats-1,bufmfcc_feats-2,bufmfcc_feats-3,bufmfcc_feats-4,bufmfcc_feats-5,bufmfcc_feats-6,spectral-0,spectral-1,spectral-2,spectral-3,spectral-4,spectral-5,spectral-6
1,-4.08313,-3.84932,0.623847,-253.414,5.86075,-90.2399,-73.5426,41.2413,53.5048,-9.61102,2354.18,175.992,75.4261,6767.57,2400.87,-66.5143,46.276
2,-4.09843,-3.39783,0.624921,-250.421,10.0579,-86.861,-71.5054,42.2659,54.4001,-10.4664,2354.12,173.989,75.4351,6805.67,2400.87,-66.5096,46.2759
3,-4.08351,-3.84932,0.623876,-253.116,7.61669,-88.8968,-73.2572,42.2065,54.582,-10.3667,2354.11,172.996,75.8123,6876.4,2400.87,-66.7604,46.276
4,-4.09803,-3.52896,0.62489,-249.35,9.72219,-86.3664,-70.5962,42.5889,54.3762,-9.09906,2354.21,177.887,74.4501,6586.62,2400.87,-66.2357,46.2758
5,-4.08393,-3.84932,0.623911,-251.793,7.85412,-89.6016,-70.5732,40.2041,55.188,-9.4248,2354.13,174.553,76.0977,6926.17,2400.87,-66.4799,46.2759
6,-4.09754,-3.68997,0.624851,-251.259,10.3063,-88.9814,-70.0226,41.1304,54.5607,-10.1891,2353.99,167.996,77.3266,7254.56,2400.86,-66.7691,46.2759
7,-4.08446,-3.84974,0.623953,-250.424,7.92227,-88.515,-69.8507,40.1933,56.2163,-10.2868,2354.11,171.834,75.542,6888.93,2400.87,-66.4092,46.2759
8,-4.09697,-3.83097,0.624807,-251.901,10.374,-88.5173,-71.2071,42.7851,53.6045,-8.99874,2354.06,171.904,76.6366,7026.64,2400.86,-66.7205,46.276
9,-4.08507,-3.84932,0.623997,-252.243,9.69543,-88.4908,-71.7403,41.882,54.5567,-10.1958,2354.06,171.821,76.5849,7030.9,2400.86,-66.6736,46.276
10,-4.09634,-3.84932,0.624759,-251.812,8.60376,-88.563,-71.9835,41.9071,53.973,-10.0697,2354.16,175.68,75.8154,6851.32,2400.87,-66.6808,46.2759
11,-4.08575,-3.84932,0.624049,-251.471,10.0628,-88.9607,-70.703,42.5122,53.2284,-8.92688,2354.09,173.283,76.6008,7020.24,2400.86,-66.7526,46.2759
12,-4.09563,-3.84932,0.624706,-251.789,8.14947,-88.7039,-72.2029,43.0538,53.0165,-8.66902,2354.19,177.11,74.9909,6681.64,2400.87,-66.3968,46.2759
13,-4.08649,-3.84932,0.624104,-252.977,11.2733,-88.5505,-72.6954,43.5348,52.4108,-9.5732,2353.99,169.622,77.4265,7186.33,2400.86,-67.2761,46.276
14,-4.09486,-3.84331,0.624648,-253.443,9.09792,-90.0015,-72.3932,42.9881,52.6795,-9.08377,2354.08,172.991,76.6346,7003.11,2400.86,-66.9826,46.276
15,-4.08729,-3.84932,0.624163,-252.204,12.8222,-88.0362,-71.4047,44.0313,52.7039,-9.30121,2354.01,171.294,77.4792,7174.68,2400.86,-67.1316,46.276
16,-4.09404,-3.83285,0.624589,-252.761,7.25653,-90.313,-71.5966,41.2513,54.3423,-9.39785,2354.15,174.729,75.8889,6869.51,2400.87,-66.7347,46.2759
